index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
0,0.0,17,0.0,0.0,136,0.0,0.0,0.0,914.7313214223165,2.7775412236404557,0.0,0.0,50.458694,14.347101,1458889110.0
1,0.0,17,0.0,0.0,136,0.21243819398049224,0.0,0.0,716.8089223627168,3.240697281931716,0.0,0.0,50.458694,14.347098,1458889111.0
2,0.0,17,0.0,0.0,136,0.6080120452783653,0.0,0.0,592.2752766581709,3.63038097323747,0.0,0.0,50.458691,14.347095,1458889112.0
3,0.0,15,0.0,0.0,88,2.340981414271572,0.0,0.0,516.7414510282582,4.079999717506364,0.0,0.0,50.458683,14.347074,1458889116.0
4,0.0,15,0.0,0.0,88,3.061313099286045,0.0,0.0,450.4581001186969,4.635796247699908,0.0,0.0,50.458679,14.347066,1458889117.0
5,0.0,15,0.0,0.0,88,3.984115848702241,0.0,0.0,394.49075247370945,5.145384558605062,0.0,0.0,50.458673,14.347057,1458889118.0
6,0.0,17,0.0,0.0,88,6.008136675891384,0.0,0.0,354.14773154697525,5.631928224954136,0.0,0.0,50.45866,14.347037,1458889119.0
7,0.0,17,0.0,0.0,88,8.19662879286605,0.0,0.0,322.6442941133732,6.218747403501661,0.0,0.0,50.458645,14.347017,1458889120.0
8,0.0,17,0.0,0.0,88,10.17449870918031,0.0,0.0,291.3821410563184,6.789928864024446,0.0,0.0,50.45863,14.347002,1458889121.0
9,0.0,17,0.0,0.0,88,12.23189887415797,0.0,0.0,266.2698311486339,7.2685082658788644,0.0,0.0,50.458615,14.346985,1458889122.0
10,0.0,19,0.0,0.0,98,15.250446232413273,0.0,0.0,248.33714621777708,7.871199132635409,0.0,0.0,50.458594,14.346958,1458889123.0
11,0.0,19,0.0,0.0,98,18.18376793492459,0.0,0.0,228.92155374035661,8.389932289292712,0.0,0.0,50.458574,14.346931,1458889124.0
12,0.0,19,0.0,0.0,98,20.651764646527695,0.0,0.0,214.48837098663375,8.814154281334917,0.0,0.0,50.458555,14.346913,1458889125.0
13,0.0,17,0.0,0.0,105,23.499350026897357,0.0,0.0,203.97132636738206,9.056352500566444,0.0,0.0,50.458534,14.34689,1458889126.0
14,0.0,17,0.0,0.0,105,26.648863697994106,0.0,0.0,193.42852705999672,9.461695592718394,0.0,0.0,50.458512,14.346862,1458889127.0
15,0.0,17,0.0,0.0,105,29.536530793123312,0.0,0.0,184.24754480929408,9.729127203008831,0.0,0.0,50.458492,14.346836,1458889128.0
16,0.0,17,0.0,0.0,105,32.2936115691014,0.0,0.0,178.3677149132271,9.80560187954954,0.0,0.0,50.458472,14.346813,1458889129.0
17,0.0,17,0.0,0.0,106,35.61892024753738,0.0,0.0,175.6616874800837,9.937763212902556,0.0,0.0,50.458448,14.346785,1458889130.0
18,0.0,17,0.0,0.0,106,38.855615190499826,0.0,0.0,172.86290099101072,10.12920417072425,0.0,0.0,50.458425,14.346757,1458889131.0
19,0.0,17,0.0,0.0,106,41.56756513434153,0.0,0.0,169.16379592330009,10.203720392005094,0.0,0.0,50.458406,14.346733,1458889132.0
20,0.0,17,0.0,0.0,107,44.98281337929529,0.0,0.0,167.55351478713666,10.269102378139278,0.0,0.0,50.458381,14.346705,1458889133.0
21,0.0,17,0.0,0.0,107,48.13473946100049,0.0,0.0,165.96882845984126,10.346635005739879,0.0,0.0,50.458358,14.346679,1458889134.0
22,0.0,17,0.0,0.0,107,50.93423793387086,0.0,0.0,165.60991284647602,10.412974714186578,0.0,0.0,50.458338,14.346655,1458889135.0
23,0.0,18,0.0,0.0,107,54.03966387850938,0.0,0.0,165.2920025375383,10.528624619894286,0.0,0.0,50.458316,14.346628,1458889136.0
24,0.0,18,0.0,0.0,107,57.33612045343845,0.0,0.0,164.3261192903652,10.505258038732933,0.0,0.0,50.458291,14.346603,1458889137.0
25,0.0,18,0.0,0.0,107,60.04807341448052,0.0,0.0,164.20451722975443,10.422450459337533,0.0,0.0,50.458272,14.346579,1458889138.0
