Time,Distance (m),Speed (m/s),Pace (/500m),Avg Speed (m/s),Avg Pace (/500m),Strokes,Stroke Rate (SPM),Lat,Lon,Check,Bounce,HR (BPM),Practice Elapsed Time (s),m/str
00:00.0,0,0,00:00.0,0,00:00.0,0,0,49.249931,16.493051,0,0,0,1588.758,0
00:00.1,0,0.28,29:54.4,0.19,44:01.1,0,0,49.249932,16.493051,0,0,0,1588.847,0
00:00.2,0,0.33,25:24.2,0.27,31:02.9,0,0,49.249932,16.493051,0,0,0,1588.947,0
00:00.3,0,0.38,21:48.2,0.33,24:56.4,0,0,49.249932,16.493051,0,0,0,1589.05,0
00:00.4,0,0.41,20:06.6,0.37,22:16.9,0,0,49.249933,16.493051,0,0,0,1589.147,0
00:00.5,0,0.43,19:19.9,0.4,20:59.5,0,0,49.249933,16.493051,0,0,0,1589.247,0
00:00.6,0,0.39,21:19.7,0.37,22:47.8,0,0,49.249933,16.493051,0,0,0,1589.358,0
00:00.7,0,0.34,24:43.3,0.33,25:07.9,0,0,49.249933,16.493051,0,0,0,1589.447,0
00:00.9,0,0.23,35:32.1,0.3,27:35.6,0,0,49.249933,16.493051,0,0,0,1589.628,0
00:01.0,0,0.16,53:41.0,0.36,22:57.7,0,0,49.249933,16.493051,0,0,0,1589.669,0
00:01.0,0,0,00:00.0,0.42,19:44.4,0,0,49.249932,16.493052,0,0,0,1589.746,0
00:01.1,1,0.11,13:07.2,0.48,17:21.2,0,0,49.249931,16.493053,0,0,0,1589.846,0
00:01.2,1,0.19,43:01.3,0.54,15:22.9,0,0,49.24993,16.493054,0,0,0,1589.947,0
00:01.3,1,0.29,28:55.8,0.61,13:38.7,0,0,49.24993,16.493056,0,0,0,1590.047,0
00:01.4,1,0.39,21:20.9,0.69,12:04.6,0,0,49.249928,16.493057,0,0,0,1590.146,0
00:01.5,1,0.49,16:57.8,0.77,10:50.6,0,0,49.249927,16.493059,0,0,0,1590.247,0
00:01.6,1,0.59,14:04.7,0.85,09:48.4,1,0,49.249926,16.493061,2,6,115,1590.347,0
00:01.7,2,0.7,11:55.8,0.94,08:52.5,1,0,49.249924,16.493064,2,6,115,1590.447,0
00:01.9,2,0.76,10:59.0,0.97,08:33.5,1,0,49.249923,16.493066,2,6,115,1590.64,0
00:01.9,2,0.88,09:28.2,1.09,07:38.6,1,0,49.249921,16.493069,2,6,115,1590.659,0
00:02.0,2,0.96,08:42.7,1.16,07:12.4,1,0,49.24992,16.493071,2,6,115,1590.747,0
00:02.2,3,1.01,08:17.3,1.19,06:59.3,1,0,49.249919,16.493074,2,6,115,1590.873,0
00:02.2,3,1.07,07:46.3,1.25,06:39.3,1,0,49.249918,16.493076,2,6,115,1590.947,0
00:02.3,3,1.12,07:27.2,1.29,06:27.8,1,0,49.249917,16.493078,2,6,115,1591.048,0
00:02.4,3,1.16,07:10.1,1.33,06:17.0,1,0,49.249915,16.493081,2,6,115,1591.149,0
00:02.5,3,1.21,06:52.5,1.37,06:05.2,1,0,49.249914,16.493083,2,6,115,1591.247,0
00:02.6,4,1.27,06:33.7,1.42,05:51.9,1,0,49.249913,16.493086,2,6,115,1591.346,0
00:02.7,4,1.33,06:15.3,1.48,05:38.5,1,0,49.249911,16.49309,2,6,115,1591.447,0
00:02.9,4,1.36,06:07.2,1.5,05:33.9,1,0,49.24991,16.493094,2,6,115,1591.627,0
00:02.9,5,1.46,05:41.3,1.6,05:12.9,1,0,49.249908,16.493098,2,6,115,1591.66,0
00:03.0,5,1.54,05:24.0,1.67,04:59.0,1,0,49.249906,16.493102,2,6,115,1591.748,0
00:03.1,5,1.62,05:09.2,1.74,04:47.2,1,0,49.249904,16.493106,2,6,115,1591.849,0
00:03.2,6,1.69,04:55.9,1.81,04:36.5,1,0,49.249902,16.49311,2,6,115,1591.948,0
00:03.3,6,1.76,04:44.4,1.87,04:27.0,1,0,49.2499,16.493115,2,6,115,1592.048,0
00:03.4,7,1.82,04:34.1,1.93,04:18.5,1,0,49.249898,16.493119,2,6,115,1592.148,0
00:03.5,7,1.88,04:25.3,1.99,04:11.1,1,0,49.249896,16.493123,2,6,115,1592.248,0
00:03.6,7,1.94,04:17.5,2.05,04:04.5,1,0,49.249893,16.493127,2,6,115,1592.348,0
00:03.7,8,1.99,04:11.8,2.09,03:59.8,1,0,49.249891,16.493131,2,6,115,1592.459,0
00:03.9,8,1.99,04:11.2,2.09,03:59.7,1,0,49.249889,16.493135,2,6,115,1592.629,0
00:03.9,9,2.06,04:02.3,2.16,03:51.8,1,0,49.249887,16.493139,2,6,115,1592.658,0
00:04.0,9,2.1,03:58.5,2.19,03:48.5,1,0,49.249885,16.493142,2,6,115,1592.751,0
00:04.1,9,2.13,03:55.0,2.22,03:45.5,1,0,49.249883,16.493145,2,6,115,1592.849,0
00:04.2,9,2.16,03:51.9,2.24,03:42.9,1,0,49.249881,16.493149,2,6,115,1592.948,0
00:04.3,10,2.18,03:48.9,2.27,03:40.4,1,0,49.249879,16.493152,2,6,115,1593.049,0
00:04.4,10,2.22,03:45.6,2.3,03:37.4,1,0,49.249877,16.493156,2,6,115,1593.148,0
00:04.5,11,2.25,03:42.1,2.33,03:34.4,1,0,49.249875,16.49316,2,6,115,1593.25,0
00:04.6,11,2.29,03:38.2,2.37,03:30.9,1,0,49.249872,16.493164,2,6,115,1593.348,0
00:04.7,11,2.33,03:34.7,2.41,03:27.8,1,0,49.24987,16.493168,2,6,115,1593.447,0
00:04.9,12,2.33,03:34.8,2.4,03:28.1,1,0,49.249867,16.493173,2,6,115,1593.629,0
00:05.0,12,2.39,03:28.8,2.47,03:22.6,1,0,49.249865,16.493177,2,6,115,1593.669,0
00:05.1,13,2.43,03:25.6,2.5,03:19.7,2,17.7,49.249863,16.493182,45,33,119,1593.768,0
00:05.1,13,2.48,03:21.8,2.55,03:16.3,2,17.7,49.24986,16.493186,45,33,119,1593.848,0
00:05.2,13,2.51,03:19.4,2.58,03:14.1,2,17.7,49.249858,16.493191,45,33,119,1593.949,0
00:05.3,14,2.54,03:17.1,2.6,03:12.1,2,17.7,49.249856,16.493195,45,33,119,1594.048,0
00:05.4,14,2.56,03:15.4,2.62,03:10.5,2,17.7,49.249854,16.493199,45,33,119,1594.148,0
00:05.5,15,2.58,03:14.0,2.64,03:09.3,2,17.7,49.249852,16.493203,45,33,119,1594.248,0
00:05.6,15,2.59,03:13.0,2.65,03:08.4,2,17.7,49.24985,16.493207,45,33,119,1594.349,0
