index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
0,0.0,-1,0.0,0.0,0.0,14445.0,112,0.0,0.0,0.0,656.77482096,-98.7416654702,0.0,0.0,42.356375,-71.115917,1445082399.0
1,0.0,-1,0.0,0.0,0.0,14446.0,113,1.78157443798,0.0,0.0,298.255284607,-100.666288709,0.0,0.0,42.356391,-71.115916,1445082400.0
2,0.0,-1,0.0,0.0,0.0,14447.0,114,3.89653907832,0.0,0.0,243.933835753,-108.181290869,0.0,0.0,42.35641,-71.115915,1445082401.0
3,0.0,18,0.0,0.0,0.0,14448.0,114,7.18917971266,0.0,0.0,198.910557824,-39.8659697895,0.0,0.0,42.356438,-71.115928,1445082402.0
4,0.0,18,0.0,0.0,0.0,14449.0,115,9.41984207221,0.0,0.0,211.247500946,-20.2237822423,0.0,0.0,42.356458,-71.115926,1445082403.0
5,0.0,18,0.0,0.0,0.0,14450.0,115,13.2540414678,0.0,0.0,184.215182685,-11.1894054738,0.0,0.0,42.356485,-71.115955,1445082404.0
6,0.0,16,0.0,0.0,0.0,14451.0,115,14.8134268936,0.0,0.0,229.627925169,-3.7342081272,0.0,0.0,42.356499,-71.115954,1445082405.0
7,0.0,16,0.0,0.0,0.0,14452.0,116,17.4702547668,0.0,0.0,214.831931319,-0.44483997855,0.0,0.0,42.356515,-71.115978,1445082406.0
8,0.0,16,0.0,0.0,0.0,14453.0,116,19.130367109,0.0,0.0,241.89340102,2.26295494746,0.0,0.0,42.356529,-71.115985,1445082407.0
9,0.0,16,0.0,0.0,0.0,14454.0,118,20.8911995569,0.0,0.0,242.535253329,4.3284729621,0.0,0.0,42.356543,-71.115995,1445082408.0
10,0.0,17,0.0,0.0,0.0,14455.0,118,22.9871505129,0.0,0.0,232.851217864,5.66588200423,0.0,0.0,42.35656,-71.116006,1445082409.0
11,0.0,17,0.0,0.0,0.0,14456.0,119,25.388464807,0.0,0.0,223.520573507,6.2151746099,0.0,0.0,42.35658,-71.116017,1445082410.0
12,0.0,17,0.0,0.0,0.0,14457.0,119,27.4502923537,0.0,0.0,228.212265013,6.59760003197,0.0,0.0,42.356597,-71.116027,1445082411.0
13,0.0,18,0.0,0.0,0.0,14458.0,119,29.2006490478,0.0,0.0,230.301075496,7.72715040545,0.0,0.0,42.35661,-71.116039,1445082412.0
14,0.0,18,0.0,0.0,0.0,14459.0,120,31.9424906348,0.0,0.0,204.994360759,8.29231581566,0.0,0.0,42.356633,-71.116051,1445082413.0
15,0.0,18,0.0,0.0,0.0,14460.0,120,34.984307723,0.0,0.0,196.758754631,7.96801284654,0.0,0.0,42.356658,-71.116066,1445082414.0
16,0.0,18,0.0,0.0,0.0,14461.0,121,37.2829588156,0.0,0.0,209.587252589,8.36975857954,0.0,0.0,42.356677,-71.116077,1445082415.0
17,0.0,18,0.0,0.0,0.0,14462.0,121,40.0530765529,0.0,0.0,204.321068547,7.95648182357,0.0,0.0,42.356701,-71.116086,1445082416.0
18,0.0,13,0.0,0.0,0.0,14463.0,121,42.0878040253,0.0,0.0,221.872337253,8.58527907549,0.0,0.0,42.356717,-71.116098,1445082417.0
19,0.0,13,0.0,0.0,0.0,14464.0,121,44.1260539816,0.0,0.0,225.262670994,9.02490977353,0.0,0.0,42.356731,-71.116114,1445082418.0
20,0.0,13,0.0,0.0,0.0,14465.0,122,46.6652403391,0.0,0.0,217.497113682,8.1153796811,0.0,0.0,42.356749,-71.116133,1445082419.0
21,0.0,21,0.0,0.0,0.0,14466.0,123,48.5356133139,0.0,0.0,233.307165548,7.23504266866,0.0,0.0,42.356765,-71.11614,1445082420.0
22,0.0,21,0.0,0.0,0.0,14467.0,123,50.7189411375,0.0,0.0,227.643982493,6.93438560336,0.0,0.0,42.356776,-71.116162,1445082421.0
23,0.0,21,0.0,0.0,0.0,14468.0,123,52.932468498,0.0,0.0,226.779785983,6.64296916144,0.0,0.0,42.356793,-71.116176,1445082422.0
24,0.0,21,0.0,0.0,0.0,14469.0,124,54.9820414058,0.0,0.0,229.427878018,6.53064372245,0.0,0.0,42.356798,-71.1162,1445082423.0
25,0.0,21,0.0,0.0,0.0,14470.0,124,56.9682495932,0.0,0.0,228.073185945,6.8764307447,0.0,0.0,42.356812,-71.116215,1445082424.0
