index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
0,0.0,0,0,0,69,0,0.0,0,0.0,0,0,0,1456044738.0
1,0.0,0,0,0,70,0,0.0,0,0.0,0,0,0,1456044741.0
2,0.0,0,0,0,71,0,0.0,0,0.0,0,0,0,1456044744.0
3,0.0,0,0,0,73,0,0.0,0,0.0,0,0,0,1456044746.0
4,0.0,0,0,0,72,0,0.0,0,0.0,0,0,0,1456044747.0
5,0.0,0,0,0,73,0,0.0,0,0.0,0,0,0,1456044749.0
6,0.0,0,0,0,74,0,0.0,0,0.0,0,0,0,1456044750.0
7,0.0,0,0,0,75,0,0.0,0,0.0,0,0,0,1456044751.0
8,0.0,0,0,0,76,0,0.0,0,0.0,0,0,0,1456044752.0
9,0.0,0,0,0,77,0,0.0,0,0.0,0,0,0,1456044753.0
10,0.0,0,0,0,78,0,0.0,0,0.0,0,0,0,1456044754.0
11,0.0,0,0,0,77,0,0.0,0,0.0,0,0,0,1456044755.0
12,0.0,0,0,0,75,0,0.0,0,0.0,0,0,0,1456044759.0
13,0.0,0,0,0,73,0,0.0,0,0.0,0,0,0,1456044761.0
14,0.0,0,0,0,74,0,0.0,0,0.0,0,0,0,1456044764.0
15,0.0,0,0,0,75,0,0.0,0,0.0,0,0,0,1456044765.0
16,0.0,0,0,0,74,0,0.0,0,0.0,0,0,0,1456044774.0
17,0.0,0,0,0,75,0,0.0,0,0.0,0,0,0,1456044780.0
18,0.0,0,0,0,76,0,0.0,0,0.0,0,0,0,1456044781.0
19,0.0,0,0,0,77,0,0.0,0,0.0,0,0,0,1456044783.0
20,0.0,0,0,0,75,0,0.0,0,0.0,0,0,0,1456044784.0
21,0.0,0,0,0,76,0,0.0,0,0.0,0,0,0,1456044786.0
