index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
0,0.0,0,0,0,58,0,0.0,0,0.0,0,0,0,1459269668.0
1,0.0,0,0,0,59,0,0.0,0,0.0,0,0,0,1459269673.0
2,0.0,0,0,0,60,0,0.0,0,0.0,0,0,0,1459269675.0
3,0.0,0,0,0,61,0,0.0,0,0.0,0,0,0,1459269675.0
4,0.0,0,0,0,62,0,0.0,0,0.0,0,0,0,1459269677.0
5,0.0,0,0,0,63,0,0.0,0,0.0,0,0,0,1459269678.0
6,0.0,0,0,0,64,0,0.0,0,0.0,0,0,0,1459269680.0
7,0.0,0,0,0,65,0,0.0,0,0.0,0,0,0,1459269680.0
8,0.0,0,0,0,67,0,0.0,0,0.0,0,0,0,1459269681.0
9,0.0,0,0,0,68,0,0.0,0,0.0,0,0,0,1459269686.0
10,0.0,0,0,0,70,0,0.0,0,0.0,0,0,0,1459269686.0
11,0.0,0,3,830,71,0,0.0,86,160.0,8,1726,0,1459269687.0
12,0.0,23,4,898,73,8,0.0,115,145.0,11,2181,0,1459269689.0
13,0.0,21,3,741,80,19,0.0,133,138.0,11,2031,0,1459269692.0
14,0.0,22,2,670,84,30,0.0,153,132.0,10,2104,0,1459269695.0
15,0.0,21,3,671,90,40,0.0,160,130.0,11,2180,0,1459269698.0
16,0.0,22,4,749,96,51,0.0,166,128.0,11,2024,0,1459269701.0
17,0.0,21,3,672,100,62,0.0,171,127.0,11,2101,0,1459269703.0
18,0.0,22,3,681,102,73,0.0,168,127.5,11,2021,0,1459269706.0
19,0.0,22,3,672,101,84,0.0,167,128.0,11,2101,0,1459269709.0
20,0.0,22,3,682,101,95,0.0,170,127.0,10,2023,0,1459269712.0
21,0.0,21,3,673,99,105,0.0,168,127.5,12,2247,0,1459269714.0
22,0.0,21,3,680,102,117,0.0,170,127.0,11,2094,0,1459269717.0
23,0.0,21,2,681,107,128,0.0,168,128.0,11,2250,0,1459269720.0
24,0.0,21,3,672,111,139,0.0,164,129.0,11,2180,0,1459269723.0
25,0.0,21,3,750,116,150,0.0,163,129.0,11,2022,0,1459269726.0
26,0.0,22,3,671,119,161,0.0,168,127.5,11,2103,0,1459269729.0
27,0.0,22,3,680,120,172,0.0,170,127.5,10,2022,0,1459269731.0
28,0.0,21,3,671,122,182,0.0,167,128.0,12,2251,0,1459269734.0
29,0.0,21,3,681,123,194,0.0,168,128.0,11,2093,0,1459269737.0
30,0.0,22,3,680,124,205,0.0,169,127.5,10,2023,0,1459269740.0
31,0.0,21,3,680,125,215,0.0,167,128.0,12,2249,0,1459269742.0
32,0.0,21,3,671,126,227,0.0,167,128.0,11,2104,0,1459269745.0
33,0.0,21,2,671,126,238,0.0,167,128.0,11,2179,0,1459269748.0
34,0.0,22,3,742,127,249,0.0,170,127.5,11,2031,0,1459269751.0
35,0.0,22,2,672,128,260,0.0,164,129.0,10,2102,0,1459269754.0
36,0.0,21,3,673,129,270,0.0,168,128.0,11,2032,0,1459269757.0
37,0.0,22,3,670,130,281,0.0,168,127.5,11,2250,0,1459269759.0
38,0.0,21,3,524,131,292,0.0,164,128.5,11,2250,0,1459269762.0
39,0.0,21,3,680,132,303,0.0,169,127.5,11,2171,0,1459269765.0
40,0.0,21,4,750,132,314,0.0,171,127.0,11,2025,0,1459269768.0
41,0.0,21,3,677,133,325,0.0,169,127.5,11,2103,0,1459269771.0
42,0.0,22,3,672,133,336,0.0,171,127.0,11,2180,0,1459269773.0
43,0.0,22,4,749,133,347,0.0,169,127.5,11,2023,0,1459269776.0
44,0.0,21,3,672,134,358,0.0,170,127.5,12,2249,0,1459269779.0
45,0.0,21,3,681,132,370,0.0,167,128.0,10,2025,0,1459269782.0
46,0.0,21,3,749,133,380,0.0,168,127.5,12,2170,0,1459269785.0
47,0.0,22,2,525,134,392,0.0,176,125.5,11,2257,0,1459269788.0
48,0.0,21,3,672,136,403,0.0,178,125.0,12,2249,0,1459269790.0
49,0.0,21,2,526,137,415,0.0,168,128.0,10,2178,0,1459269793.0
50,0.0,21,3,672,137,425,0.0,161,129.5,11,2103,0,1459269796.0
51,0.0,22,3,670,136,436,0.0,165,128.5,11,2250,0,1459269799.0
52,0.0,21,3,679,135,447,0.0,169,127.5,12,2250,0,1459269802.0
53,0.0,21,2,671,135,459,0.0,165,128.5,11,2182,0,1459269805.0
54,0.0,21,3,751,137,470,0.0,163,129.0,11,2021,0,1459269807.0
55,0.0,21,2,671,135,481,0.0,169,127.5,10,2105,0,1459269810.0
56,0.0,21,3,680,135,491,0.0,164,128.5,12,2395,0,1459269813.0
57,0.0,21,2,524,133,503,0.0,164,128.5,11,2173,0,1459269816.0
58,0.0,21,3,677,133,514,0.0,166,128.0,12,2400,0,1459269819.0
59,0.0,20,3,750,132,526,0.0,161,129.5,10,2022,0,1459269822.0
60,0.0,21,3,681,130,536,0.0,165,128.5,12,2249,0,1459269825.0
61,0.0,21,3,672,130,548,0.0,163,129.0,11,2251,0,1459269828.0
62,0.0,21,3,671,131,559,0.0,167,128.0,12,2250,0,1459269830.0
63,0.0,21,3,680,132,571,0.0,170,127.5,10,2030,0,1459269833.0
64,0.0,21,3,673,132,581,0.0,169,127.5,12,2249,0,1459269836.0
65,0.0,21,3,672,132,593,0.0,169,127.5,11,2101,0,1459269839.0
66,0.0,21,3,674,132,604,0.0,174,126.5,11,2178,0,1459269842.0
67,0.0,21,3,752,131,615,0.0,169,127.5,11,2172,0,1459269845.0
68,0.0,21,3,671,131,626,0.0,171,127.0,12,2257,0,1459269848.0
69,0.0,21,3,672,132,638,0.0,172,126.5,11,2249,0,1459269850.0
70,0.0,21,3,672,132,649,0.0,164,129.0,11,2102,0,1459269853.0
71,0.0,21,3,678,133,660,0.0,165,128.5,12,2400,0,1459269856.0
72,0.0,21,2,523,132,672,0.0,162,129.5,11,2400,0,1459269859.0
73,0.0,20,3,678,132,683,0.0,159,130.0,11,2172,0,1459269862.0
74,0.0,20,3,750,132,694,0.0,159,130.0,12,2180,0,1459269865.0
75,0.0,20,3,897,132,706,0.0,164,129.0,11,2173,0,1459269868.0
76,0.0,20,4,748,132,717,0.0,163,129.0,11,2026,0,1459269871.0
77,0.0,21,3,679,132,728,0.0,161,129.5,12,2250,0,1459269874.0
78,0.0,21,2,672,132,740,0.0,168,127.5,11,2252,0,1459269877.0
79,0.0,21,3,676,130,751,0.0,164,129.0,11,2251,0,1459269880.0
80,0.0,21,3,672,130,762,0.0,163,129.0,11,2023,0,1459269883.0
81,0.0,22,3,681,130,773,0.0,168,128.0,11,2249,0,1459269885.0
82,0.0,21,3,672,131,784,0.0,167,128.0,12,2251,0,1459269888.0
83,0.0,21,3,677,132,796,0.0,167,128.0,11,2249,0,1459269891.0
84,0.0,20,3,675,132,807,0.0,166,128.5,11,2249,0,1459269894.0
85,0.0,21,3,680,132,818,0.0,163,129.0,11,2171,0,1459269897.0
86,0.0,21,4,749,133,829,0.0,161,129.5,12,2173,0,1459269900.0
87,0.0,20,4,906,131,841,0.0,167,128.0,12,2173,0,1459269903.0
88,0.0,20,3,749,132,853,0.0,165,128.5,11,2172,0,1459269906.0
89,0.0,21,3,681,134,864,0.0,163,129.0,11,2099,0,1459269909.0
90,0.0,21,3,672,135,875,0.0,163,129.0,11,2251,0,1459269912.0
91,0.0,21,3,680,134,886,0.0,167,128.0,12,2250,0,1459269914.0
92,0.0,21,3,672,133,898,0.0,160,130.0,12,2397,0,1459269917.0
93,0.0,20,2,680,133,910,0.0,161,129.5,11,2250,0,1459269920.0
94,0.0,20,3,672,133,921,0.0,160,130.0,12,2397,0,1459269923.0
95,0.0,20,2,524,132,933,0.0,162,129.0,11,2407,0,1459269926.0
96,0.0,20,3,673,131,944,0.0,158,130.5,12,2398,0,1459269929.0
97,0.0,20,2,530,130,956,0.0,162,129.5,11,2399,0,1459269932.0
98,0.0,19,3,673,131,967,0.0,163,129.0,12,2398,0,1459269935.0
99,0.0,20,3,679,132,979,0.0,162,129.5,11,2248,0,1459269938.0
