index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
0,0.0,0.0,0.0,0.0,98.0,3.338683,0.0,153.0634,131.74445,0.0,0.0,0.0,863.0
1,0.0,43.0,0.0,0.0,98.0,9.699512,0.0,257.8919,110.71594999999999,0.0,0.0,0.0,2267.0
2,0.0,35.0,0.0,0.0,101.0,17.68869,0.0,287.3182,106.79925000000001,0.0,0.0,0.0,3967.0
3,0.0,31.0,0.0,0.0,105.0,26.691259999999996,0.0,305.0308,104.69069999999999,0.0,0.0,0.0,5859.0
4,0.0,27.0,0.0,0.0,110.0,36.86143,0.0,277.4944,108.045,0.0,0.0,0.0,8059.0
5,0.0,25.0,0.0,0.0,116.0,47.896370000000005,0.0,239.7697,113.43785000000001,0.0,0.0,0.0,10554.0
6,0.0,25.0,0.0,0.0,121.0,58.43509,0.0,234.7164,114.24614999999999,0.0,0.0,0.0,12961.0
7,0.0,26.0,0.0,0.0,125.0,68.52561,0.0,240.9479,113.25260000000002,0.0,0.0,0.0,15254.0
8,0.0,25.0,0.0,0.0,129.0,78.98391,0.0,232.0831,114.67660000000001,0.0,0.0,0.0,17653.0
9,0.0,25.0,0.0,0.0,132.0,89.50284,0.0,233.8488,114.38725,0.0,0.0,0.0,20057.0
10,0.0,26.0,0.0,0.0,135.0,99.66216999999999,0.0,242.104,113.07205,0.0,0.0,0.0,22356.0
11,0.0,25.0,0.0,0.0,137.0,110.5397,0.0,226.8992,115.54335,0.0,0.0,0.0,24862.0
12,0.0,25.0,0.0,0.0,138.0,120.3993,0.0,225.2755,115.8203,0.0,0.0,0.0,27154.0
13,0.0,25.0,0.0,0.0,140.0,131.0606,0.0,240.0092,113.40010000000001,0.0,0.0,0.0,29568.0
14,0.0,26.0,0.0,0.0,142.0,141.1446,0.0,240.1752,113.37395,0.0,0.0,0.0,31860.0
15,0.0,25.0,0.0,0.0,143.0,151.5932,0.0,233.3883,114.46244999999999,0.0,0.0,0.0,34250.0
16,0.0,25.0,0.0,0.0,144.0,162.1834,0.0,236.2484,113.99865,0.0,0.0,0.0,36661.0
17,0.0,26.0,0.0,0.0,144.0,172.4064,0.0,247.2907,112.27594999999998,0.0,0.0,0.0,38958.0
18,0.0,25.0,0.0,0.0,145.0,182.9909,0.0,239.4332,113.49095,0.0,0.0,0.0,41361.0
19,0.0,25.0,0.0,0.0,145.0,193.4878,0.0,234.1284,114.34169999999999,0.0,0.0,0.0,43760.0
20,0.0,24.0,0.0,0.0,146.0,204.4913,0.0,237.5737,113.78625,0.0,0.0,0.0,46260.0
