index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
0,0.0,18,0.0,0.0,0.0,1.0,142,0.0,0.0,0.0,10000.0,2.01551307773e-13,0.0,0.0,49.240004,16.511673,1459588509.0
1,0.0,18,0.0,0.0,0.0,2.0,142,0.0,0.0,0.0,10000.0,3.0232696166e-13,0.0,0.0,49.240004,16.511673,1459588510.0
2,0.0,18,0.0,0.0,0.0,3.0,142,0.0,0.0,0.0,10000.0,4.5349044249e-13,0.0,0.0,49.240004,16.511673,1459588511.0
3,0.0,18,0.0,0.0,0.0,4.0,142,0.0,0.0,0.0,10000.0,6.80235663734e-13,0.0,0.0,49.240004,16.511673,1459588512.0
4,0.0,18,0.0,0.0,0.0,5.0,142,0.0,0.0,0.0,10000.0,1.0203534956e-12,0.0,0.0,49.240004,16.511673,1459588513.0
5,0.0,18,0.0,0.0,0.0,6.0,142,0.0,0.0,0.0,10000.0,1.5305302434e-12,0.0,0.0,49.240004,16.511673,1459588514.0
6,0.0,18,0.0,0.0,0.0,7.0,142,0.0,0.0,0.0,10000.0,2.2957953651e-12,0.0,0.0,49.240004,16.511673,1459588515.0
7,0.0,18,0.0,0.0,0.0,8.0,142,0.0,0.0,0.0,10000.0,3.44369304765e-12,0.0,0.0,49.240004,16.511673,1459588516.0
8,0.0,18,0.0,0.0,0.0,9.0,142,0.0,0.0,0.0,10000.0,5.16553957148e-12,0.0,0.0,49.240004,16.511673,1459588517.0
9,0.0,18,0.0,0.0,0.0,10.0,142,0.0,0.0,0.0,10000.0,7.74830935722e-12,0.0,0.0,49.240004,16.511673,1459588518.0
10,0.0,18,0.0,0.0,0.0,11.0,142,0.0,0.0,0.0,10000.0,1.16224640358e-11,0.0,0.0,49.240004,16.511673,1459588519.0
11,0.0,18,0.0,0.0,0.0,12.0,142,0.0,0.0,0.0,10000.0,1.74336960538e-11,0.0,0.0,49.240004,16.511673,1459588520.0
12,0.0,18,0.0,0.0,0.0,13.0,142,0.0,0.0,0.0,10000.0,2.61505440806e-11,0.0,0.0,49.240004,16.511673,1459588521.0
13,0.0,18,0.0,0.0,0.0,14.0,142,0.0,0.0,0.0,10000.0,3.92258161209e-11,0.0,0.0,49.240004,16.511673,1459588522.0
14,0.0,18,0.0,0.0,0.0,15.0,142,0.0,0.0,0.0,10000.0,5.88387241814e-11,0.0,0.0,49.240004,16.511673,1459588523.0
15,0.0,18,0.0,0.0,0.0,16.0,142,0.0,0.0,0.0,10000.0,8.82580862721e-11,0.0,0.0,49.240004,16.511673,1459588524.0
16,0.0,18,0.0,0.0,0.0,17.0,142,0.0,0.0,0.0,10000.0,1.32387129408e-10,0.0,0.0,49.240004,16.511673,1459588525.0
17,0.0,18,0.0,0.0,0.0,18.0,142,0.0,0.0,0.0,10000.0,1.98580694112e-10,0.0,0.0,49.240004,16.511673,1459588526.0
18,0.0,18,0.0,0.0,0.0,19.0,142,0.0,0.0,0.0,10000.0,2.97871041168e-10,0.0,0.0,49.240004,16.511673,1459588527.0
19,0.0,18,0.0,0.0,0.0,20.0,142,0.0,0.0,0.0,10000.0,4.46806561753e-10,0.0,0.0,49.240004,16.511673,1459588528.0
20,0.0,18,0.0,0.0,0.0,21.0,142,0.0,0.0,0.0,10000.0,6.70209842629e-10,0.0,0.0,49.240004,16.511673,1459588529.0
21,0.0,18,0.0,0.0,0.0,22.0,142,0.0,0.0,0.0,10000.0,1.00531476394e-09,0.0,0.0,49.240004,16.511673,1459588530.0
22,0.0,18,0.0,0.0,0.0,23.0,142,0.0,0.0,0.0,10000.0,1.50797214592e-09,0.0,0.0,49.240004,16.511673,1459588531.0
23,0.0,18,0.0,0.0,0.0,24.0,142,0.0,0.0,0.0,10000.0,2.26195821887e-09,0.0,0.0,49.240004,16.511673,1459588532.0
24,0.0,18,0.0,0.0,0.0,25.0,142,0.0,0.0,0.0,10000.0,3.39293732831e-09,0.0,0.0,49.240004,16.511673,1459588533.0
25,0.0,18,0.0,0.0,0.0,26.0,142,0.0,0.0,0.0,10000.0,5.08940599246e-09,0.0,0.0,49.240004,16.511673,1459588534.0
26,0.0,18,0.0,0.0,0.0,27.0,142,0.0,0.0,0.0,10000.0,7.6341089887e-09,0.0,0.0,49.240004,16.511673,1459588535.0
27,0.0,18,0.0,0.0,0.0,28.0,142,0.0,0.0,0.0,10000.0,1.1451163483e-08,0.0,0.0,49.240004,16.511673,1459588536.0
28,0.0,18,0.0,0.0,0.0,29.0,142,0.0,0.0,0.0,10000.0,1.71767452246e-08,0.0,0.0,49.240004,16.511673,1459588537.0
29,0.0,18,0.0,0.0,0.0,30.0,142,0.0,0.0,0.0,10000.0,2.57651178368e-08,0.0,0.0,49.240004,16.511673,1459588538.0
30,0.0,18,0.0,0.0,0.0,31.0,142,0.0,0.0,0.0,10000.0,3.86476767553e-08,0.0,0.0,49.240004,16.511673,1459588539.0
31,0.0,18,0.0,0.0,0.0,32.0,142,0.0,0.0,0.0,10000.0,5.79715151329e-08,0.0,0.0,49.240004,16.511673,1459588540.0
32,0.0,18,0.0,0.0,0.0,33.0,142,0.0,0.0,0.0,10000.0,8.69572726994e-08,0.0,0.0,49.240004,16.511673,1459588541.0
33,0.0,18,0.0,0.0,0.0,34.0,142,0.0,0.0,0.0,10000.0,1.30435909049e-07,0.0,0.0,49.240004,16.511673,1459588542.0
34,0.0,18,0.0,0.0,0.0,35.0,142,0.0,0.0,0.0,10000.0,1.95653863574e-07,0.0,0.0,49.240004,16.511673,1459588543.0
35,0.0,18,0.0,0.0,0.0,36.0,142,0.0,0.0,0.0,10000.0,2.9348079536e-07,0.0,0.0,49.240004,16.511673,1459588544.0
36,0.0,18,0.0,0.0,0.0,37.0,142,0.0,0.0,0.0,10000.0,4.40221193041e-07,0.0,0.0,49.240004,16.511673,1459588545.0
