index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec),bearing,vwind,winddirection,nowindpace
0,0.0,0.0,0.0,0.0,1.0,74,0.0,0.0,0.0,611.524142219,2.46338671706,0.0,0.0,49.238819,16.513666,0.0,274.49650753,2.0,280.0,300.0
1,0.0,0.0,0.0,0.0,2.0,74,0.0726228007657,0.0,0.0,541.853333726,2.72269058201,0.0,0.0,49.238819,16.513665,1.0,251.34482401,2.0,280.0,300.0
2,0.0,0.0,0.0,0.0,3.0,74,0.295082467397,0.0,0.0,477.142289115,3.00928959065,0.0,0.0,49.238817,16.513665,2.0,251.95076331,2.0,280.0,300.0
3,0.0,27.0,0.0,0.0,4.0,71,3.20918851789,0.0,0.0,323.354779219,3.40111926868,0.0,0.0,49.238792,16.513653,3.0,275.393490733,2.0,280.0,300.0
4,0.0,27.0,0.0,0.0,5.0,71,3.44320215002,0.0,0.0,350.902384116,3.74140643027,0.0,0.0,49.238794,16.513652,4.0,268.678316969,2.0,280.0,300.0
5,0.0,27.0,0.0,0.0,6.0,71,3.57604097107,0.0,0.0,342.988649283,4.26242952099,0.0,0.0,49.238793,16.513651,5.0,278.892640044,2.0,280.0,300.0
6,0.0,27.0,0.0,0.0,7.0,71,4.30989986183,0.0,0.0,316.010233155,4.92547440229,0.0,0.0,49.238796,16.513642,6.0,284.551496387,2.0,280.0,300.0
7,0.0,18.0,0.0,0.0,8.0,71,6.08222846117,0.0,0.0,281.84647095,5.66169787028,0.0,0.0,49.238806,16.513623,7.0,288.469040089,2.0,280.0,300.0
8,0.0,18.0,0.0,0.0,9.0,71,8.10891170456,0.0,0.0,260.585777718,6.12921189829,0.0,0.0,49.238818,16.513602,8.0,291.204874209,2.0,280.0,300.0
9,0.0,18.0,0.0,0.0,10.0,71,10.0080297262,0.0,0.0,246.8524202,6.81907695462,0.0,0.0,49.238829,16.513582,9.0,293.114322878,2.0,280.0,300.0
10,0.0,16.0,0.0,0.0,11.0,71,12.9351266426,0.0,0.0,226.876053972,7.28519105997,0.0,0.0,49.238845,16.51355,10.0,294.896820616,2.0,280.0,300.0
11,0.0,16.0,0.0,0.0,12.0,71,15.6924331479,0.0,0.0,217.473901577,7.6087434277,0.0,0.0,49.238861,16.513521,11.0,296.293135368,2.0,280.0,300.0
12,66.5796593304,16.0,1.35,1215.0,13.0,71,18.340459113,0.0,106.994818112,209.998382617,8.08357261288,2535.0,0.0,49.238877,16.513494,12.0,297.125761671,2.0,280.0,188.83223744
13,68.5740580117,19.0,1.35,1196.96115288,14.0,71,21.7732433693,0.0,114.187253558,199.327519614,8.14555337418,2454.35463659,0.0,49.238897,16.513458,13.0,297.700937838,2.0,280.0,185.412159046
14,70.5684566931,19.0,1.35,1178.92230576,15.0,71,24.9521358444,0.0,121.379689003,194.951160258,8.24764629094,2373.70927318,0.0,49.238915,16.513424,14.0,298.258148134,2.0,280.0,181.992080653
15,72.5628553745,19.0,1.35,1160.88345865,16.0,71,27.8369536692,0.0,128.572124448,192.022715404,8.49750115251,2293.06390977,0.0,49.238932,16.513394,15.0,298.27087641,2.0,280.0,178.572002259
16,74.5572540559,19.0,1.35,1142.84461153,17.0,75,31.3708101805,0.0,135.764559894,185.951828064,8.55249935174,2212.41854637,0.0,49.238951,16.513355,16.0,298.447798957,2.0,280.0,175.151923865
17,76.5516527373,19.0,1.35,1124.80576441,18.0,75,34.6064326656,0.0,142.956995339,184.305008057,8.58366919362,2131.77318296,0.0,49.238969,16.51332,17.0,298.47167257,2.0,280.0,171.731845472
18,78.5460514187,19.0,1.35,1106.76691729,19.0,75,37.6024540496,0.0,150.149430784,183.162976434,8.70217085676,2051.12781955,0.0,49.238986,16.513288,18.0,298.305063854,2.0,280.0,168.311767078
19,77.9746542774,20.0,1.35,1107.26817043,20.0,96,40.9642194733,0.0,151.081495585,180.234489047,8.76461485389,2000.50125313,0.0,49.239005,16.513252,19.0,298.161457668,2.0,280.0,167.747127653
20,77.4032571361,20.0,1.35,1107.76942356,21.0,96,44.6525500875,0.0,152.013560385,177.87559724,8.67537376438,1949.87468672,0.0,49.239027,16.513214,20.0,297.690620098,2.0,280.0,167.182488227
21,76.8318599948,20.0,1.35,1108.27067669,22.0,96,47.7199845194,0.0,152.945625185,179.344482832,8.73410830512,1899.2481203,0.0,49.239045,16.513182,21.0,296.933925054,2.0,280.0,166.617848802
22,76.2604628536,20.0,1.35,1108.77192982,23.0,105,51.1959024589,0.0,153.877689985,177.767674696,8.64093264322,1848.62155388,0.0,49.239064,16.513144,22.0,296.443802338,2.0,280.0,166.053209376
23,75.6890657123,20.0,1.35,1109.27318296,24.0,105,54.2086890159,0.0,154.809754785,179.476353177,8.64702638351,1797.99498747,0.0,49.239082,16.513113,23.0,295.531422512,2.0,280.0,165.48856995
24,75.117668571,21.0,1.35,1109.77443609,25.0,108,57.4587779945,0.0,155.741819585,179.151297785,8.60787370817,1747.36842105,0.0,49.239101,16.513079,24.0,294.388331975,2.0,280.0,164.923930525
25,78.6160993769,21.0,1.35,1100.7518797,26.0,108,60.8773211912,0.0,156.344532458,179.324264518,8.49324672714,1946.86716792,0.0,49.23912,16.513042,25.0,293.264988465,2.0,280.0,165.898451528
