index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,0.0,17.0,0.0,0.0,136.0,0.0,0.0,0.0,914.7313214223165,2.777541223640456,0.0,0.0,50.458694,14.347101,1458889110.0,0.0,0.0,0.5466085923706533,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,0.0,17.0,0.0,0.0,136.0,0.2124381939804922,0.0,0.0,716.8089223627168,3.240697281931716,0.0,0.0,50.458694,14.347098,1458889111.0,1.0,0.0,0.6975359602834185,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.2124381939804922,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,0.0,17.0,0.0,0.0,136.0,0.6080120452783653,0.0,0.0,592.2752766581709,3.63038097323747,0.0,0.0,50.458691,14.347095,1458889112.0,2.0,0.0,0.8442020454089844,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.6080120452783653,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,0.0,15.0,0.0,0.0,88.0,2.340981414271572,0.0,0.0,516.7414510282582,4.079999717506364,0.0,0.0,50.458683,14.347074,1458889116.0,6.0,0.0,0.9676018809891396,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,2.340981414271572,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,0.0,15.0,0.0,0.0,88.0,3.061313099286045,0.0,0.0,450.4581001186969,4.635796247699908,0.0,0.0,50.458679,14.347066,1458889117.0,7.0,0.0,1.1099811500076227,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.061313099286045,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,0.0,15.0,0.0,0.0,88.0,3.984115848702241,0.0,0.0,394.4907524737095,5.145384558605062,0.0,0.0,50.458673,14.347057,1458889118.0,8.0,0.0,1.2674568335624599,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.984115848702241,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,0.0,17.0,0.0,0.0,88.0,6.008136675891384,0.0,0.0,354.1477315469753,5.631928224954136,0.0,0.0,50.45866,14.347037,1458889119.0,9.0,0.0,1.4118401883189202,0.0,0.0,1.0,4.0,2,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.008136675891384,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,0.0,17.0,0.0,0.0,88.0,8.19662879286605,0.0,0.0,322.6442941133732,6.218747403501661,0.0,0.0,50.458645,14.347017,1458889120.0,10.0,0.0,1.549694227117825,0.0,0.0,1.0,4.0,2,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,8.19662879286605,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,0.0,17.0,0.0,0.0,88.0,10.17449870918031,0.0,0.0,291.38214105631846,6.7899288640244455,0.0,0.0,50.45863,14.347002,1458889121.0,11.0,0.0,1.7159596610396235,0.0,0.0,1.0,4.0,3,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.17449870918031,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,0.0,17.0,0.0,0.0,88.0,12.23189887415797,0.0,0.0,266.2698311486339,7.268508265878864,0.0,0.0,50.458615,14.346985,1458889122.0,12.0,0.0,1.8777944081877458,0.0,0.0,1.0,4.0,3,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,12.23189887415797,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,10,0.0,19.0,0.0,0.0,98.0,15.250446232413273,0.0,0.0,248.33714621777716,7.87119913263541,0.0,0.0,50.458594,14.346958,1458889123.0,13.0,0.0,2.0133919053798306,0.0,0.0,1.0,4.0,3,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,15.250446232413273,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,11,0.0,19.0,0.0,0.0,98.0,18.18376793492459,0.0,0.0,228.9215537403566,8.389932289292712,0.0,0.0,50.458574,14.346931,1458889124.0,14.0,0.0,2.1841543176275193,0.0,0.0,1.0,4.0,4,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,18.18376793492459,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,12,0.0,19.0,0.0,0.0,98.0,20.651764646527692,0.0,0.0,214.48837098663375,8.814154281334918,0.0,0.0,50.458555,14.346913,1458889125.0,15.0,0.0,2.331128712013755,0.0,0.0,1.0,4.0,4,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.651764646527692,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,13,0.0,17.0,0.0,0.0,105.0,23.49935002689736,0.0,0.0,203.9713263673821,9.056352500566446,0.0,0.0,50.458534,14.34689,1458889126.0,16.0,0.0,2.4513249430923794,0.0,0.0,1.0,4.0,4,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.49935002689736,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,0.0,17.0,0.0,0.0,105.0,26.648863697994106,0.0,0.0,193.42852705999672,9.461695592718392,0.0,0.0,50.458512,14.346862,1458889127.0,17.0,0.0,2.58493412321189,0.0,0.0,1.0,4.0,4,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.648863697994106,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,0.0,17.0,0.0,0.0,105.0,29.536530793123312,0.0,0.0,184.2475448092941,9.729127203008831,0.0,0.0,50.458492,14.346836,1458889128.0,18.0,0.0,2.71374036770762,0.0,0.0,1.0,4.0,5,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.536530793123312,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,0.0,17.0,0.0,0.0,105.0,32.2936115691014,0.0,0.0,178.36771491322708,9.80560187954954,0.0,0.0,50.458472,14.346813,1458889129.0,19.0,0.0,2.803197878288914,0.0,0.0,1.0,4.0,5,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.2936115691014,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,0.0,17.0,0.0,0.0,106.0,35.61892024753738,0.0,0.0,175.6616874800837,9.937763212902556,0.0,0.0,50.458448,14.346785,1458889130.0,20.0,0.0,2.8463804895230176,0.0,0.0,1.0,4.0,5,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,35.61892024753738,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,18,0.0,17.0,0.0,0.0,106.0,38.85561519049983,0.0,0.0,172.8629009910107,10.12920417072425,0.0,0.0,50.458425,14.346757,1458889131.0,21.0,0.0,2.8924656310494363,0.0,0.0,1.0,4.0,6,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,38.85561519049983,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,19,0.0,17.0,0.0,0.0,106.0,41.56756513434153,0.0,0.0,169.16379592330009,10.203720392005094,0.0,0.0,50.458406,14.346733,1458889132.0,22.0,0.0,2.955715182855693,0.0,0.0,1.0,4.0,6,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.56756513434153,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,20,0.0,17.0,0.0,0.0,107.0,44.98281337929529,0.0,0.0,167.5535147871367,10.269102378139277,0.0,0.0,50.458381,14.346705,1458889133.0,23.0,0.0,2.9841212261957617,0.0,0.0,1.0,4.0,6,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,44.98281337929529,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,21,0.0,17.0,0.0,0.0,107.0,48.13473946100049,0.0,0.0,165.96882845984126,10.346635005739882,0.0,0.0,50.458358,14.346679,1458889134.0,24.0,0.0,3.0126139025014735,0.0,0.0,1.0,4.0,6,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.13473946100049,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,22,0.0,17.0,0.0,0.0,107.0,50.93423793387086,0.0,0.0,165.60991284647605,10.412974714186578,0.0,0.0,50.458338,14.346655,1458889135.0,25.0,0.0,3.0191429450452687,0.0,0.0,1.0,4.0,7,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.93423793387086,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,23,0.0,18.0,0.0,0.0,107.0,54.03966387850938,0.0,0.0,165.2920025375383,10.528624619894288,0.0,0.0,50.458316,14.346628,1458889136.0,26.0,0.0,3.0249497393949745,0.0,0.0,1.0,4.0,7,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,54.03966387850938,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,24,0.0,18.0,0.0,0.0,107.0,57.33612045343845,0.0,0.0,164.32611929036523,10.505258038732936,0.0,0.0,50.458291,14.346603,1458889137.0,27.0,0.0,3.042729921203196,0.0,0.0,1.0,4.0,7,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.33612045343845,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,25,0.0,18.0,0.0,0.0,107.0,60.04807341448052,0.0,0.0,164.20451722975443,10.422450459337536,0.0,0.0,50.458272,14.346579,1458889138.0,28.0,0.0,3.0449832223580158,0.0,0.0,1.0,4.0,8,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.04807341448052,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,26,0.0,18.0,0.0,0.0,107.0,62.93574646635174,0.0,0.0,165.0909240364122,10.439000387646532,0.0,0.0,50.458252,14.346553,1458889139.0,29.0,0.0,3.0286340870544817,0.0,0.0,1.0,4.0,8,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.93574646635174,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,27,0.0,18.0,0.0,0.0,107.0,66.04594141385478,0.0,0.0,164.38132101457887,10.39227406128908,0.0,0.0,50.458231,14.346524,1458889140.0,30.0,0.0,3.041708126652999,0.0,0.0,1.0,4.0,8,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.04594141385478,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,28,0.0,18.0,0.0,0.0,107.0,69.28880236629416,0.0,0.0,164.6106495634388,10.31775556971366,0.0,0.0,50.458207,14.346498,1458889141.0,31.0,0.0,3.0374705483882223,0.0,0.0,1.0,4.0,9,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,69.28880236629416,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,29,0.0,18.0,0.0,0.0,107.0,71.91432339807321,0.0,0.0,165.30921943565158,10.365410670436342,0.0,0.0,50.458188,14.346476,1458889142.0,32.0,0.0,3.024634691924309,0.0,0.0,1.0,4.0,9,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.91432339807321,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
