index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
21,0.0,0,2,898,80,0,0.0,80,164.0,7,1499,0,1459442909.0
22,0.0,26,4,899,87,7,0.0,120,143.0,11,1876,0,1459442912.0
23,0.0,22,3,680,91,18,0.0,174,126.0,11,2022,0,1459442914.0
24,0.0,22,3,750,98,29,0.0,195,121.5,12,2024,0,1459442917.0
25,0.0,22,3,672,105,41,0.0,204,119.5,11,2100,0,1459442920.0
26,0.0,22,3,680,109,52,0.0,202,120.0,11,2024,0,1459442923.0
27,0.0,22,3,525,111,63,0.0,198,121.0,11,2023,0,1459442925.0
28,0.0,23,3,747,115,74,0.0,204,120.0,12,2034,0,1459442928.0
29,0.0,22,3,672,119,86,0.0,204,119.5,11,2102,0,1459442931.0
30,0.0,22,3,672,121,97,0.0,199,120.5,11,1874,0,1459442934.0
31,0.0,22,3,679,123,108,0.0,197,121.0,12,2250,0,1459442936.0
32,0.0,22,2,524,125,120,0.0,201,120.5,11,2024,0,1459442939.0
33,0.0,22,3,678,126,131,0.0,206,119.5,11,2094,0,1459442942.0
34,0.0,22,3,680,126,142,0.0,200,120.5,12,2172,0,1459442944.0
35,0.0,22,2,530,127,154,0.0,199,121.0,11,2094,0,1459442947.0
36,0.0,22,3,679,129,165,0.0,199,120.5,11,2024,0,1459442950.0
37,0.0,22,3,674,130,176,0.0,198,121.0,11,2099,0,1459442952.0
38,0.0,23,3,524,132,187,0.0,202,120.0,11,2032,0,1459442955.0
39,0.0,22,3,669,134,198,0.0,201,120.5,12,2103,0,1459442958.0
40,0.0,23,3,671,135,210,0.0,202,120.0,11,2025,0,1459442961.0
41,0.0,22,2,532,136,221,0.0,197,121.0,11,2093,0,1459442963.0
42,0.0,22,3,680,137,232,0.0,198,121.0,11,2024,0,1459442966.0
43,0.0,22,3,680,138,243,0.0,200,120.5,11,2091,0,1459442969.0
44,0.0,22,3,533,139,254,0.0,197,121.0,11,2171,0,1459442971.0
45,0.0,22,3,672,141,265,0.0,194,121.5,11,1952,0,1459442974.0
46,0.0,22,3,674,142,276,0.0,192,122.0,12,2178,0,1459442977.0
47,0.0,22,2,524,142,288,0.0,200,120.5,11,2102,0,1459442980.0
48,0.0,22,3,673,143,299,0.0,199,121.0,11,2030,0,1459442982.0
49,0.0,22,3,672,144,310,0.0,200,120.5,11,2102,0,1459442985.0
50,0.0,22,3,671,144,321,0.0,200,120.5,13,2250,0,1459442988.0
51,0.0,22,2,522,145,334,0.0,198,121.0,10,2032,0,1459442991.0
52,0.0,22,3,673,145,344,0.0,198,121.0,12,2099,0,1459442993.0
53,0.0,22,3,673,145,356,0.0,201,120.5,11,2030,0,1459442996.0
54,0.0,22,3,673,145,367,0.0,198,121.0,11,2103,0,1459442999.0
55,0.0,22,3,672,145,378,0.0,199,121.0,12,2024,0,1459443001.0
56,0.0,22,3,677,146,390,0.0,204,120.0,11,2103,0,1459443004.0
57,0.0,22,3,671,147,401,0.0,197,121.0,11,2024,0,1459443007.0
58,0.0,22,3,747,147,412,0.0,195,121.5,12,2033,0,1459443010.0
59,0.0,22,3,672,148,424,0.0,192,122.0,11,2101,0,1459443012.0
60,0.0,22,3,673,148,435,0.0,195,121.5,12,2181,0,1459443015.0
61,0.0,22,2,522,149,447,0.0,193,122.0,11,2102,0,1459443018.0
62,0.0,22,3,670,149,458,0.0,197,121.0,11,2026,0,1459443021.0
63,0.0,22,3,677,148,469,0.0,197,121.0,11,2102,0,1459443023.0
64,0.0,22,3,672,148,480,0.0,196,121.0,12,2250,0,1459443026.0
65,0.0,22,3,524,148,492,0.0,200,120.5,11,2022,0,1459443029.0
66,0.0,22,3,680,148,503,0.0,194,122.0,11,2102,0,1459443032.0
67,0.0,22,3,672,149,514,0.0,195,121.5,12,2172,0,1459443034.0
68,0.0,22,2,530,149,526,0.0,194,121.5,11,2105,0,1459443037.0
69,0.0,22,3,670,149,537,0.0,197,121.0,12,2249,0,1459443040.0
70,0.0,22,3,673,149,549,0.0,200,120.5,11,2031,0,1459443043.0
71,0.0,22,3,672,149,560,0.0,198,121.0,11,2100,0,1459443045.0
72,0.0,22,3,524,149,571,0.0,199,121.0,12,2171,0,1459443048.0
73,0.0,22,2,531,149,583,0.0,199,120.5,11,2103,0,1459443051.0
74,0.0,22,3,672,149,594,0.0,202,120.0,11,2023,0,1459443054.0
75,0.0,23,3,679,149,605,0.0,198,121.0,11,2093,0,1459443056.0
76,0.0,22,3,524,148,616,0.0,199,120.5,11,2032,0,1459443059.0
77,0.0,23,3,672,147,627,0.0,197,121.0,11,2102,0,1459443062.0
