index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
54,0.0,0,3,898,126,0,0.0,123,141.5,9,1352,0,1459445462.0
55,0.0,28,3,672,129,9,0.0,184,124.0,10,1875,0,1459445464.0
56,0.0,23,3,672,133,19,0.0,208,119.0,12,2102,0,1459445467.0
57,0.0,22,3,678,135,31,0.0,212,118.0,11,2023,0,1459445469.0
58,0.0,22,4,751,139,42,0.0,200,120.5,12,2024,0,1459445472.0
59,0.0,22,3,680,142,54,0.0,190,122.5,11,2094,0,1459445475.0
60,0.0,22,3,678,144,65,0.0,188,123.0,11,2023,0,1459445478.0
61,0.0,22,3,672,146,76,0.0,192,122.0,11,2103,0,1459445480.0
62,0.0,22,3,671,148,87,0.0,199,120.5,11,1883,0,1459445483.0
63,0.0,22,3,674,149,98,0.0,211,118.5,12,2100,0,1459445486.0
64,0.0,22,3,672,151,110,0.0,199,120.5,11,2032,0,1459445488.0
65,0.0,22,3,668,153,121,0.0,199,120.5,11,2103,0,1459445491.0
66,0.0,22,3,671,156,132,0.0,199,120.5,12,2025,0,1459445494.0
67,0.0,22,3,677,158,144,0.0,203,120.0,11,2107,0,1459445497.0
68,0.0,22,3,520,160,155,0.0,200,120.5,11,2023,0,1459445499.0
69,0.0,22,3,672,161,166,0.0,200,120.5,11,2102,0,1459445502.0
70,0.0,22,3,679,162,177,0.0,201,120.5,12,2025,0,1459445505.0
71,0.0,23,3,672,163,189,0.0,207,119.0,11,1950,0,1459445507.0
72,0.0,22,2,674,164,200,0.0,201,120.0,11,2029,0,1459445510.0
73,0.0,22,3,673,165,211,0.0,195,121.5,11,2101,0,1459445513.0
74,0.0,23,3,524,165,222,0.0,205,119.5,11,2023,0,1459445515.0
75,0.0,22,3,681,165,233,0.0,198,121.0,11,2092,0,1459445518.0
76,0.0,23,2,454,166,244,0.0,195,121.5,11,2101,0,1459445521.0
77,0.0,22,3,674,166,255,0.0,208,119.0,11,1874,0,1459445523.0
78,0.0,23,3,680,167,266,0.0,203,120.0,11,2102,0,1459445526.0
79,0.0,23,2,522,167,277,0.0,198,121.0,11,2023,0,1459445529.0
80,0.0,23,3,679,167,288,0.0,207,119.0,11,2093,0,1459445531.0
81,0.0,22,3,680,168,299,0.0,201,120.0,11,2025,0,1459445534.0
82,0.0,22,3,672,169,310,0.0,195,121.5,11,1876,0,1459445537.0
83,0.0,23,3,747,169,321,0.0,199,120.5,12,2033,0,1459445539.0
84,0.0,23,2,522,170,333,0.0,205,119.5,10,2023,0,1459445542.0
85,0.0,22,3,674,170,343,0.0,205,119.5,12,2101,0,1459445545.0
86,0.0,22,2,533,170,355,0.0,201,120.5,11,2170,0,1459445547.0
87,0.0,22,2,523,170,366,0.0,198,121.0,11,2101,0,1459445550.0
88,0.0,22,3,673,170,377,0.0,205,119.5,11,2030,0,1459445553.0
89,0.0,22,3,526,170,388,0.0,201,120.5,11,2100,0,1459445555.0
90,0.0,22,3,671,170,399,0.0,192,122.0,11,2025,0,1459445558.0
91,0.0,22,3,678,170,410,0.0,198,121.0,12,2102,0,1459445561.0
92,0.0,23,2,523,170,422,0.0,195,121.5,10,2024,0,1459445563.0
93,0.0,23,3,672,171,432,0.0,203,120.0,12,2100,0,1459445566.0
94,0.0,22,3,680,171,444,0.0,200,120.5,10,1877,0,1459445569.0
95,0.0,22,3,668,171,454,0.0,202,120.0,12,2253,0,1459445571.0
96,0.0,22,3,523,171,466,0.0,204,119.5,11,2032,0,1459445574.0
97,0.0,22,3,670,172,477,0.0,198,121.0,11,2101,0,1459445577.0
98,0.0,22,4,673,172,488,0.0,196,121.5,12,2023,0,1459445580.0
99,0.0,22,2,531,172,500,0.0,206,119.5,11,2251,0,1459445582.0
100,0.0,21,3,670,172,511,0.0,193,122.0,12,2251,0,1459445585.0
101,0.0,22,3,674,172,523,0.0,184,124.0,11,2029,0,1459445588.0
102,0.0,22,3,673,173,534,0.0,186,123.5,11,2102,0,1459445591.0
103,0.0,22,3,521,173,545,0.0,193,122.0,11,2181,0,1459445593.0
104,0.0,21,3,671,173,556,0.0,189,122.5,12,2102,0,1459445596.0
105,0.0,22,3,673,173,568,0.0,189,122.5,11,2029,0,1459445599.0
106,0.0,22,3,749,173,579,0.0,192,122.0,11,2025,0,1459445602.0
107,0.0,22,3,672,173,590,0.0,193,122.0,11,2103,0,1459445604.0
108,0.0,22,3,672,173,601,0.0,190,122.5,11,1873,0,1459445607.0
109,0.0,23,3,679,173,612,0.0,188,123.0,11,2023,0,1459445610.0
110,0.0,23,3,749,173,623,0.0,192,122.0,11,1877,0,1459445612.0
111,0.0,23,3,681,173,634,0.0,194,122.0,11,2023,0,1459445615.0
112,0.0,22,3,670,172,645,0.0,191,122.5,10,1954,0,1459445618.0
113,0.0,23,3,672,172,655,0.0,188,123.0,12,2181,0,1459445620.0
114,0.0,22,2,523,172,667,0.0,189,123.0,11,2101,0,1459445623.0
115,0.0,22,3,672,172,678,0.0,193,122.0,11,2024,0,1459445626.0
116,0.0,22,3,679,172,689,0.0,193,122.0,11,1945,0,1459445629.0
117,0.0,22,2,680,172,700,0.0,192,122.0,11,2022,0,1459445631.0
118,0.0,22,3,674,173,711,0.0,197,121.0,11,2099,0,1459445634.0
119,0.0,22,2,524,173,722,0.0,192,122.0,11,2180,0,1459445637.0
120,0.0,22,2,523,172,733,0.0,188,123.0,11,2102,0,1459445639.0
121,0.0,23,3,672,172,744,0.0,193,122.0,11,2022,0,1459445642.0
122,0.0,22,2,534,172,755,0.0,194,121.5,10,2021,0,1459445645.0
123,0.0,22,3,750,171,765,0.0,189,122.5,12,2024,0,1459445647.0
124,0.0,23,2,524,171,777,0.0,194,122.0,10,2030,0,1459445650.0
125,0.0,23,3,673,171,787,0.0,190,122.5,11,1953,0,1459445653.0
126,0.0,22,3,670,171,798,0.0,190,122.5,11,2025,0,1459445655.0
127,0.0,22,3,680,172,809,0.0,191,122.5,11,2102,0,1459445658.0
128,0.0,22,2,521,172,820,0.0,192,122.0,11,2024,0,1459445661.0
129,0.0,23,2,673,172,831,0.0,194,121.5,11,2102,0,1459445663.0
130,0.0,22,3,680,172,842,0.0,193,122.0,10,1873,0,1459445666.0
131,0.0,23,3,673,172,852,0.0,195,121.5,11,2023,0,1459445669.0
132,0.0,23,3,532,172,863,0.0,190,122.5,11,2092,0,1459445671.0
133,0.0,23,3,680,172,874,0.0,194,122.0,11,2025,0,1459445674.0
134,0.0,23,3,522,172,885,0.0,190,122.5,11,2102,0,1459445677.0
135,0.0,22,3,672,172,896,0.0,194,122.0,11,2032,0,1459445679.0
136,0.0,23,3,671,172,907,0.0,192,122.0,11,2100,0,1459445682.0
137,0.0,22,3,525,172,918,0.0,194,121.5,11,2024,0,1459445685.0
138,0.0,23,3,677,172,929,0.0,196,121.5,11,2093,0,1459445687.0
139,0.0,23,2,455,172,940,0.0,195,121.5,11,2102,0,1459445690.0
140,0.0,22,3,672,172,951,0.0,191,122.5,11,2031,0,1459445693.0
141,0.0,23,3,750,172,962,0.0,191,122.5,11,1876,0,1459445695.0
142,0.0,23,3,672,172,973,0.0,192,122.0,10,1873,0,1459445698.0
143,0.0,23,3,671,171,983,0.0,194,122.0,11,2104,0,1459445700.0
144,0.0,23,3,677,171,994,0.0,188,123.0,11,2024,0,1459445703.0
145,0.0,21,3,672,171,1005,0.0,184,124.0,12,2250,0,1459445706.0
146,0.0,21,2,532,171,1017,0.0,178,125.5,11,2251,0,1459445709.0
147,0.0,22,3,672,171,1028,0.0,178,125.5,11,2022,0,1459445712.0
148,0.0,21,3,679,171,1039,0.0,177,125.5,11,2094,0,1459445714.0
149,0.0,21,3,681,171,1050,0.0,183,124.0,12,2250,0,1459445717.0
150,0.0,21,3,670,171,1062,0.0,181,124.5,11,2032,0,1459445720.0
151,0.0,21,2,672,171,1073,0.0,179,125.0,11,2101,0,1459445723.0
152,0.0,22,3,672,171,1084,0.0,181,124.5,11,2251,0,1459445725.0
153,0.0,22,3,680,171,1095,0.0,186,123.5,11,2022,0,1459445728.0
154,0.0,21,3,671,172,1106,0.0,179,125.0,11,2103,0,1459445731.0
155,0.0,22,3,680,171,1117,0.0,177,125.5,11,2024,0,1459445734.0
156,0.0,22,3,669,171,1128,0.0,183,124.0,11,2102,0,1459445737.0
157,0.0,22,3,681,171,1139,0.0,183,124.0,12,2240,0,1459445739.0
158,0.0,22,2,534,171,1151,0.0,178,125.5,10,2024,0,1459445742.0
159,0.0,22,3,671,172,1161,0.0,179,125.0,11,2102,0,1459445745.0
