index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,54,0.0,0.0,3.0,898.0,126.0,0.0,0.0,123.0,141.5,9.0,1352.0,0,1459445462.0,0.0,0.0,3.5335689045936394,0.0,0.0,1.0,4.0,0,inf,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,123.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,55,0.0,28.0,3.0,672.0,129.0,9.0,0.0,184.0,124.0,10.0,1875.0,0,1459445464.0,2.0,0.0,4.032258064516129,0.0,0.0,1.0,4.0,0,394.2857142857143,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,9.0,0.0,0.0,184.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,56,0.0,23.0,3.0,672.0,133.0,19.0,0.0,208.0,119.0,12.0,2102.0,0,1459445467.0,5.0,0.0,4.201680672268908,0.0,0.0,1.0,4.0,2,542.6086956521739,133.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,19.0,0.0,0.0,0.0,208.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,57,0.0,22.0,3.0,678.0,135.0,31.0,0.0,212.0,118.0,11.0,2023.0,0,1459445469.0,7.0,0.0,4.237288135593221,0.0,0.0,1.0,4.0,2,578.1818181818181,135.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,31.0,0.0,0.0,0.0,212.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,58,0.0,22.0,4.0,751.0,139.0,42.0,0.0,200.0,120.5,12.0,2024.0,0,1459445472.0,10.0,0.0,4.149377593360996,0.0,0.0,1.0,4.0,3,545.4545454545455,139.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.0,0.0,0.0,200.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,59,0.0,22.0,3.0,680.0,142.0,54.0,0.0,190.0,122.5,11.0,2094.0,0,1459445475.0,13.0,0.0,4.081632653061225,0.0,0.0,1.0,4.0,5,518.1818181818181,142.0,142.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,54.0,0.0,0.0,190.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,60,0.0,22.0,3.0,678.0,144.0,65.0,0.0,188.0,123.0,11.0,2023.0,0,1459445478.0,16.0,0.0,4.065040650406504,0.0,0.0,1.0,4.0,6,512.7272727272727,0.0,144.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,65.0,0.0,0.0,188.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,61,0.0,22.0,3.0,672.0,146.0,76.0,0.0,192.0,122.0,11.0,2103.0,0,1459445480.0,18.0,0.0,4.098360655737705,0.0,0.0,1.0,4.0,6,523.6363636363636,0.0,146.0,146.0,0.0,0.0,0.0,142,146,160,167,180,192,76.0,0.0,0.0,192.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,62,0.0,22.0,3.0,671.0,148.0,87.0,0.0,199.0,120.5,11.0,1883.0,0,1459445483.0,21.0,0.0,4.149377593360996,0.0,0.0,1.0,4.0,7,542.7272727272727,0.0,0.0,148.0,0.0,0.0,0.0,142,146,160,167,180,192,87.0,0.0,0.0,199.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,63,0.0,22.0,3.0,674.0,149.0,98.0,0.0,211.0,118.5,12.0,2100.0,0,1459445486.0,24.0,0.0,4.219409282700422,0.0,0.0,1.0,4.0,9,575.4545454545455,0.0,0.0,149.0,0.0,0.0,0.0,142,146,160,167,180,192,98.0,0.0,0.0,0.0,211.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,64,0.0,22.0,3.0,672.0,151.0,110.0,0.0,199.0,120.5,11.0,2032.0,0,1459445488.0,26.0,0.0,4.149377593360996,0.0,0.0,1.0,4.0,9,542.7272727272727,0.0,0.0,151.0,0.0,0.0,0.0,142,146,160,167,180,192,110.0,0.0,0.0,199.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
