index,index,timestamp, latitude, longitude,enhanced_speed,speed, Horizontal (meters), Cadence (stokes/min),total_cycles, HRCur (bpm), lapIdx,TimeStamp (sec), Stroke500mPace (sec/500m), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,2016-07-28 09:35:29,48.23625734075904,11.506552118808033,0.74,0.74,3.22,35.0,1,112.0,0,1469698529.0,675.6756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.22,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,2016-07-28 09:35:31,48.23629195801914,11.506601991131902,2.07,2.07,8.55,38.0,2,113.0,0,1469698531.0,241.5458937198068,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,1.0,4.0,2,0.0,113.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,8.55,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,2016-07-28 09:35:33,48.23633344843984,11.506663765758276,3.36,3.36,15.06,38.0,3,115.0,0,1469698533.0,148.80952380952382,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,1.0,4.0,3,0.0,115.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,15.06,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,2016-07-28 09:35:34,48.23637418448925,11.506724450737238,4.09,4.09,21.45,39.0,4,115.0,0,1469698534.0,122.24938875305624,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,1.0,4.0,4,0.0,115.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,21.45,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,2016-07-28 09:35:36,48.23642095550895,11.506794188171623,4.43,4.43,28.78,38.0,5,118.0,0,1469698536.0,112.8668171557562,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430000000000001,0.0,0.0,0.0,1.0,4.0,5,0.0,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,28.78,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,2016-07-28 09:35:37,48.23646764270961,11.506865518167617,4.64,4.64,36.2,37.0,6,125.0,0,1469698537.0,107.75862068965516,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.640000000000001,0.0,0.0,0.0,1.0,4.0,6,0.0,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,36.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,2016-07-28 09:35:38,48.23651022277773,11.506932321935892,4.66,4.66,43.06,36.0,7,130.0,0,1469698538.0,107.2961373390558,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.659999999999999,0.0,0.0,0.0,1.0,4.0,6,0.0,130.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.06,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,2016-07-28 09:35:40,48.23656579479575,11.50701865553856,4.76,4.76,51.96,34.0,8,135.0,0,1469698540.0,105.0420168067227,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,1.0,4.0,7,0.0,135.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.96,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,2016-07-28 09:35:42,48.236616672948,11.507097277790308,4.71,4.71,60.08,34.0,9,142.0,0,1469698542.0,106.15711252653928,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,1.0,4.0,9,0.0,142.0,142.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.08,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,2016-07-28 09:35:44,48.236667132005095,11.50717405602336,4.53,4.53,68.09,33.0,10,148.0,0,1469698544.0,110.37527593818984,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,0.0,1.0,4.0,10,0.0,0.0,0.0,148.0,0.0,0.0,0.0,142,146,160,167,180,192,68.09,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
