Workout data for: priit    Club: sõudespinning    Date: 2017-12-06 17:21
DateTime;workoutType;intervalType;intervalCount;strokeRate;currentHeartRate;workTime;restTime;lastSplitTime;workDistance;lastSplitDistance;stroke500MPace;splitAvg500MPace;totalAvg500MPace;strokePower;splitAvgPower;totalAvgPower;strokeCaloricBurnRate;strokeCount;strokeLength;strokeDriveTime;strokeSpeed;strokeAverageForce;strokePeakForce;dragFactor;;PowerCurve
2017-12-06T17:24:55.1+02:00;JustRowSplits;Distance;0;0;85;0:00:02;0:00:00;0:00:00.0;7;0;0:03:11;0:03:11.0;0:03:11.0;50;50;50;473;1;1,33;1,27;2,62;47;69;0;;
2017-12-06T17:24:56.1+02:00;JustRowSplits;Distance;0;0;88;0:00:03;0:00:00;0:00:00.0;10;0;0:03:11;0:03:11.0;0:03:11.0;50;50;50;473;1;1,33;1,27;2,62;47;69;0;;
2017-12-06T17:24:57.4+02:00;JustRowSplits;Distance;0;22;88;0:00:04;0:00:00;0:00:00.0;13;0;0:02:50;0:02:56.5;0:02:56.5;71;64;64;543;2;1,24;1,02;7,92;53;86;107;;
2017-12-06T17:24:58.5+02:00;JustRowSplits;Distance;0;22;88;0:00:05;0:00:00;0:00:00.0;17;0;0:02:50;0:02:56.5;0:02:56.5;71;64;64;543;2;1,24;1,02;7,92;53;86;107;;
2017-12-06T17:24:59.5+02:00;JustRowSplits;Distance;0;22;88;0:00:06;0:00:00;0:00:00.0;19;0;0:02:50;0:02:56.5;0:02:56.5;79;64;64;571;3;1,21;0,86;9,38;49;78;107;;
2017-12-06T17:25:00.5+02:00;JustRowSplits;Distance;0;23;88;0:00:07;0:00:00;0:00:00.0;22;0;0:02:44;0:02:51.5;0:02:51.5;79;69;69;571;3;1,21;0,86;9,38;49;78;108;;
2017-12-06T17:25:01.5+02:00;JustRowSplits;Distance;0;23;88;0:00:08;0:00:00;0:00:00.0;25;0;0:02:44;0:02:51.5;0:02:51.5;79;69;69;571;3;1,21;0,86;9,38;49;78;108;;
2017-12-06T17:25:03.4+02:00;JustRowSplits;Distance;0;23;92;0:00:10;0:00:00;0:00:00.0;32;0;0:02:38;0:02:47.5;0:02:47.5;88;74;74;604;4;1,21;0,83;9,83;54;84;107;;
2017-12-06T17:25:04.4+02:00;JustRowSplits;Distance;0;23;94;0:00:11;0:00:00;0:00:00.0;34;0;0:02:38;0:02:47.5;0:02:47.5;88;74;74;604;4;1,21;0,83;9,83;54;84;107;;
2017-12-06T17:25:05.5+02:00;JustRowSplits;Distance;0;22;97;0:00:12;0:00:00;0:00:00.0;39;0;0:02:33;0:02:44.0;0:02:44.0;98;79;79;637;5;1,27;0,84;10,55;61;99;107;;
