Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name:,5x1000M/:30,,,Name:,Blue,,,Firmware:,,,,Boat ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time:,09/21/16 06:32am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,67305472,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type:,Interval,,,Serial:,2136930,,,,,,,Port Starboard:,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
System of Units:,Meters/Speed,,,Firmware Version:,2.08.11,,,,,,,Oar Length:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed Input:,Impeller,,,Profile Version:,0.02,,,,,,,Inboard Length:,90760488,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hardware Version:,Rev 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LiNK Version:,1.26.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,77.24347826,76.73913043,76.70434783,74.7826087,73.72173913,,,283.5104348,276.4304348,282.066087,275.9965217,263.5269565,,,,4.165304348,4.074086957,4.028956522,4.024521739,4.032869565
Session Summary:,,,,,,,,,,,,,,,,,,,,,75.83826087,,,,,,,276.306087,,,,,,,,4.065147826,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force,Avg Force Max,Avg Force Max Angle,Avg Work,Avg Power,,,,,,,,,,,,,,,,,,,,,,,,
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Newtons),(Degrees),(Watts),(Joules),,,,,,,,,,,,,,,,,,,,,,,,
5,20:30.1,5000.2,02:03.1,4.06,28,161,577,1.5316e-322,2.44E-289,2.44E-289,2.44E-289,1.34E-304,3.70607e-313,2.122e-314,3.60739e-313,6.79039e-313,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary for Session Intervals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force,Avg Force Max,Avg Force Max Angle,Avg Work,Avg Power,,,,,,,,,,,,,,,,,,,,,,,,
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Newtons),(Degrees),(Watts),(Joules),,,,,,,,,,,,,,,,,,,,,,,,
