index, lapIdx,TimeStamp (sec), Horizontal (meters),Imp Split,GPS Speed, Cadence (stokes/min), HRCur (bpm),Stroke Count,catch,slip,finish,wash, AverageDriveForce (lbs), PeakDriveForce (lbs),Force Max Angle,driveenergy, Power (watts),Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,ImpellerSpeed,ImpellerDistance,cum_dist, Stroke500mPace (sec/500m), ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0.0,1474439521.2,4.9,,3.96,30.0,107.0,1,-62,5,39,16,39.61135015804074,74.61411530904496,38,334.0,167.0,,80.0,320.6,,80.0,81.0,87.0,79.0,82.0,,320.6,303.7,332.5,294.0,316.3,,3.96,3.79,3.07,4.0,3.93,,,,3.96,4.9,4.9,126.26262626262627,0.0,0.0,0.0,0.0,0.0,0.0,3.96,176.2,331.9,1.0,4.0,1,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,167.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,0.0,1474439523.2,13.4,,4.23,31.5,109.0,2,-61,4,38,16,36.5089856167186,71.46678896277612,40,293.7142857142857,154.2,,79.0,300.7,,79.0,79.0,80.0,64.0,80.0,,300.7,284.0,309.2,236.4,309.2,,4.23,4.12,3.84,4.01,4.18,,,,4.23,13.4,13.4,118.20330969267138,2.0,0.0,0.0,0.0,0.0,0.0,4.23,162.4,317.9,1.0,4.0,2,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,154.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,0.0,1474439525.2,21.9,,4.32,30.0,110.0,3,-63,5,41,18,36.891160958765525,68.09465359177378,35,307.4,153.7,,81.0,299.8,,81.0,77.0,79.0,78.0,76.0,,299.8,262.3,303.4,330.0,284.2,,4.32,4.16,4.15,3.99,4.21,,,,4.32,21.9,21.9,115.74074074074073,4.0,0.0,0.0,0.0,0.0,0.0,4.32,164.1,302.9,1.0,4.0,3,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,153.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,0.0,1474439527.2,30.5,,4.27,30.0,112.0,4,-63,2,38,15,37.385740813179204,67.57759283488677,32,297.4,148.7,,84.0,303.4,,84.0,78.0,79.0,81.0,79.0,,303.4,255.1,295.6,310.8,287.6,,4.27,4.19,4.19,3.99,4.16,,,,4.27,30.5,30.5,117.096018735363,6.0,0.0,0.0,0.0,0.0,0.0,4.27,166.3,300.6,1.0,4.0,4,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,148.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,0.0,1474439529.2,38.9,,4.19,29.0,115.0,5,-63,4,37,18,36.958603666185574,70.65747647373556,39,307.6551724137931,148.7,,78.0,299.0,,78.0,75.0,79.0,84.0,77.0,,299.0,262.1,284.6,302.1,283.8,,4.19,4.17,4.17,4.08,4.18,,,,4.19,38.9,38.9,119.33174224343675,8.0,0.0,0.0,0.0,0.0,0.0,4.19,164.4,314.29999999999995,1.0,4.0,5,115.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,148.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,0.0,1474439531.2,47.2,,4.2,30.0,118.0,6,-61,2,38,18,35.72215403015139,68.27450081156057,39,285.8,142.9,,79.0,287.2,,79.0,70.0,75.0,81.0,76.0,,287.2,263.7,273.0,313.2,267.7,,4.2,4.11,4.13,4.1,4.2,,,,4.2,47.2,47.2,119.04761904761904,10.0,0.0,0.0,0.0,0.0,0.0,4.2,158.9,303.7,1.0,4.0,6,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,142.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,0.0,1474439533.2,55.5,,4.17,30.0,121.0,7,-62,4,38,19,35.96944395735822,70.27530113168864,35,289.4,144.7,,77.0,290.9,,77.0,74.0,71.0,78.0,69.0,,290.9,255.3,270.1,301.6,238.0,,4.17,4.16,4.14,4.12,4.19,,,,4.17,55.5,55.5,119.90407673860912,12.0,0.0,0.0,0.0,0.0,0.0,4.17,160.0,312.6,1.0,4.0,7,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,144.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,0.0,1474439535.2,64.0,,4.17,30.0,124.0,8,-64,4,41,21,35.25005507821106,68.9264469832877,41,288.6,144.3,,80.0,298.9,,80.0,74.0,77.0,81.0,79.0,,298.9,251.7,303.3,310.3,278.3,,4.17,4.16,4.11,4.17,4.15,,,,4.17,64.0,64.0,119.90407673860912,14.0,0.0,0.0,0.0,0.0,0.0,4.17,156.8,306.6,1.0,4.0,8,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,144.3,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,0.0,1474439537.4,73.2,,4.21,29.0,127.0,9,-64,5,39,18,36.5089856167186,68.45434803134737,31,302.48275862068965,146.2,,80.0,298.4,,80.0,78.0,80.0,81.0,77.0,,298.4,259.3,300.8,299.0,277.6,,4.21,4.15,4.1,4.18,4.13,,,,4.21,73.2,73.20000000000002,118.76484560570071,16.200000047683716,0.0,0.0,0.0,0.0,0.0,4.21,162.4,304.5,1.0,4.0,9,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,146.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,0.0,1474439539.4,81.7,,4.22,30.0,129.0,10,-63,2,39,22,36.28417659198511,70.34274383910868,31,289.4,144.7,,78.0,295.3,,78.0,79.0,78.0,76.0,78.0,,295.3,272.6,286.0,294.3,286.6,,4.22,4.07,4.16,4.19,4.18,,,,4.22,81.7,81.70000000000002,118.48341232227489,18.200000047683716,0.0,0.0,0.0,0.0,0.0,4.22,161.4,312.90000000000003,1.0,4.0,10,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,144.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
