index, lapIdx, Horizontal (meters),Distance (IMP),TimeStamp (sec), Stroke500mPace (sec/500m),GPS Speed,Split (IMP),Speed (IMP), Cadence (stokes/min),Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP), HRCur (bpm), Power (watts),catch,slip,finish,wash, AverageDriveForce (lbs),driveenergy, PeakDriveForce (lbs),peakforceangle, latitude, longitude,GPSSpeed,GPSDistance,ImpellerSpeed,ImpellerDistance,cum_dist, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0.0,6.5,0,1508670664.4,657.8947368421052,0.76,,0,13.5,1,6.5,0,64.0,,,,,,,,,,41.2211734,-74.2888944,0.76,6.5,0,0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7600000000000001,,,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,0.0,14.3,0,1508670668.6,306.7484662576687,1.63,,0,13.5,2,7.9,0,70.0,,,,,,,,,,41.2211153,-74.2889477,1.63,14.3,0,0,14.3,4.199999809265137,0.0,0.0,0.0,0.0,0.0,1.63,,,1.0,4.0,1,70.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,0.0,23.0,0,1508670673.0,265.95744680851067,1.88,,0,14.5,3,8.6,0,75.0,,,,,,,,,,41.2210491,-74.2890013,1.88,23.0,0,0,23.0,8.599999904632568,0.0,0.0,0.0,0.0,0.0,1.88,,,1.0,4.0,2,75.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,0.0,31.4,0,1508670676.8,247.5247524752475,2.02,,0,14.5,4,8.4,0,78.0,,,,,,,,,,41.2209841,-74.289052,2.02,31.4,0,0,31.4,12.399999856948853,0.0,0.0,0.0,0.0,0.0,2.02,,,1.0,4.0,3,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,0.0,39.9,0,1508670680.8,239.23444976076556,2.09,,0,15.0,5,8.5,0,81.0,,,,,,,,,,41.2209158,-74.2890973,2.09,39.9,0,0,39.9,16.399999856948853,0.0,0.0,0.0,0.0,0.0,2.09,,,1.0,4.0,4,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,0.0,48.7,0,1508670685.0,231.48148148148147,2.16,,0,15.5,6,8.9,0,83.0,,,,,,,,,,41.2208443,-74.2891439,2.16,48.7,0,0,48.7,20.59999990463257,0.0,0.0,0.0,0.0,0.0,2.16,,,1.0,4.0,5,83.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,0.0,57.7,0,1508670688.6,223.2142857142857,2.24,,0,15.0,7,9.0,0,86.0,,,,,,,,,,41.2207716,-74.28919,2.24,57.7,0,0,57.7,24.199999809265137,0.0,0.0,0.0,0.0,0.0,2.24,,,1.0,4.0,6,86.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,0.0,67.9,0,1508670692.8,216.45021645021646,2.31,,0,15.0,8,10.3,0,88.0,,,,,,,,,,41.2206869,-74.2892384,2.31,67.9,0,0,67.9,28.399999856948853,0.0,0.0,0.0,0.0,0.0,2.31,,,1.0,4.0,7,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,0.0,76.8,0,1508670696.6,212.7659574468085,2.35,,0,15.0,9,8.9,0,90.0,,,,,,,,,,41.2206131,-74.289279,2.35,76.8,0,0,76.8,32.19999980926514,0.0,0.0,0.0,0.0,0.0,2.35,,,1.0,4.0,8,90.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,0.0,86.6,0,1508670700.6,210.0840336134454,2.38,,0,15.0,10,9.8,0,91.0,,,,,,,,,,41.2205322,-74.289325,2.38,86.6,0,0,86.6,36.19999980926514,0.0,0.0,0.0,0.0,0.0,2.38,,,1.0,4.0,9,91.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,0.0,96.3,0,1508670704.6,208.33333333333334,2.4,,0,15.5,11,9.7,0,91.0,,,,,,,,,,41.2204528,-74.2893712,2.4,96.3,0,0,96.3,40.19999980926514,0.0,0.0,0.0,0.0,0.0,2.4,,,1.0,4.0,10,91.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,0.0,105.2,0,1508670708.6,212.7659574468085,2.35,,0,15.0,12,8.9,0,89.0,,,,,,,,,,41.22038,-74.2894149,2.35,105.2,0,0,105.2,44.19999980926514,0.0,0.0,0.0,0.0,0.0,2.35,,,1.0,4.0,11,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
