TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (strokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, ElapsedTimeAtDrive (sec), HorizontalAtDrive (meters), WorkoutType, IntervalType, WorkoutState, RowingState, WorkoutDurationType, WorkoutIntervalCount
1571471226.6461005, 0, 0, 0, 1.47, 3.5, 0, 0, 74, 36, 0, 0, 1, 2.17, 0.88, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 128, 0
1571471229.7061806, 0, 0, 1, 4.48, 11.8, 214.03, 0, 75, 51, 0, 2.341, 2, 7.84, 1.33, 1110, 1730, 0, 66.6, 104, 122, 1.47, 3.5, 1, 1, 1, 1, 128, 0
1571471232.675381, 0, 0, 2, 7.47, 21.3, 190.96, 20, 76, 84, 0, 2.625, 3, 8.74, 1.21, 840, 1800, 0, 62.7, 98.4, 122, 4.48, 11.8, 1, 1, 1, 1, 128, 0
1571471238.7057412, 0, 0, 3, 13.48, 41.3, 147.9, 22, 80, 109, 1, 3.392, 5, 9.24, 1.12, 730, 1820, 0, 57.1, 85.2, 121, 7.47, 21.3, 1, 1, 1, 1, 128, 0
1571471242.6657512, 0, 0, 4, 17.49, 53.6, 147.9, 22, 83, 81, 1, 3.392, 6, 13.59, 1.27, 890, 3360, 0, 78.6, 125.2, 122, 13.48, 41.3, 1, 1, 1, 1, 128, 0
1571471245.725881, 0, 0, 5, 20.48, 63.7, 163.61, 14, 86, 107, 2, 3.065, 7, 9.76, 1.21, 780, 1940, 0, 69.3, 106.9, 121, 17.49, 53.6, 1, 1, 1, 1, 128, 0
1571471252.658681, 0, 0, 6, 27.46, 85.6, 162.11, 12, 90, 101, 3, 3.093, 9, 9.01, 1.3, 830, 1730, 0, 76.8, 120.8, 121, 20.48, 63.7, 1, 1, 1, 1, 128, 0
1571471255.7155206, 0, 0, 7, 30.48, 96.5, 151.7, 22, 92, 126, 4, 3.306, 10, 9.75, 1.24, 760, 1790, 0, 76.1, 116.9, 121, 27.46, 85.6, 1, 1, 1, 1, 128, 0
1571471258.6855407, 0, 0, 8, 33.48, 107.4, 140.97, 22, 94, 133, 5, 3.559, 11, 10.19, 1.24, 750, 1880, 0, 77.5, 119.6, 122, 30.48, 96.5, 1, 1, 1, 1, 128, 0
1571471261.6554406, 0, 0, 9, 36.49, 118.2, 138.51, 21, 96, 133, 5, 3.622, 12, 10.56, 1.3, 800, 1930, 0, 69, 110, 121, 33.48, 107.4, 1, 1, 1, 1, 128, 0
1571471267.6852806, 0, 0, 10, 42.49, 138.4, 155.84, 21, 99, 93, 7, 3.218, 14, 9.07, 1.33, 860, 1780, 0, 79.2, 124.3, 121, 36.49, 118.2, 1, 1, 1, 1, 128, 0
1571471269.6651607, 0, 0, 11, 44.49, 145.6, 155.84, 21, 100, 129, 7, 3.218, 15, 9.58, 1.24, 740, 1740, 0, 82, 125.5, 121, 42.49, 138.4, 1, 1, 1, 1, 128, 0
1571471272.7251909, 0, 0, 12, 47.49, 156.8, 139.82, 22, 101, 142, 7, 3.588, 16, 10.11, 1.27, 750, 1790, 0, 76.9, 125, 122, 44.49, 145.6, 1, 1, 1, 1, 128, 0
1571471277.5903907, 0, 0, 13, 52.36, 174.9, 135.15, 22, 102, 148, 8, 3.713, 18, 9.97, 1.27, 730, 1730, 0, 76.2, 114.9, 121, 47.49, 156.8, 1, 1, 1, 1, 128, 0
1571471280.6446908, 0, 0, 14, 55.49, 186.6, 133.74, 23, 102, 143, 9, 3.752, 19, 10.32, 1.27, 730, 1850, 0, 82.7, 120, 121, 52.36, 174.9, 1, 1, 1, 1, 128, 0
1571471283.7047007, 0, 0, 15, 58.49, 197.8, 135.14, 22, 102, 146, 10, 3.713, 20, 10.48, 1.3, 750, 1860, 0, 79.9, 119.5, 121, 55.49, 186.6, 1, 1, 1, 1, 128, 0
1571471288.5699112, 0, 0, 16, 63.35, 216.2, 133.47, 22, 103, 157, 11, 3.76, 22, 10.24, 1.27, 710, 1770, 0, 80.3, 121.8, 121, 58.49, 197.8, 1, 1, 1, 1, 128, 0
1571471291.7148514, 0, 0, 17, 66.48, 228.1, 131, 22, 105, 150, 11, 3.831, 23, 10.4, 1.3, 750, 1820, 0, 78.1, 123, 121, 63.35, 216.2, 1, 1, 1, 1, 128, 0
1571471299.5492916, 0, 0, 18, 74.36, 257.4, 133.97, 22, 110, 143, 13, 3.746, 26, 10.3, 1.27, 720, 1850, 0, 86, 138.3, 120, 66.48, 228.1, 1, 1, 1, 1, 128, 0
1571471302.6945217, 0, 0, 19, 77.48, 269.2, 135.18, 22, 111, 149, 14, 3.712, 27, 10.61, 1.3, 750, 1880, 0, 79.9, 125.3, 121, 74.36, 257.4, 1, 1, 1, 1, 128, 0
1571471305.664312, 0, 0, 20, 80.48, 280.6, 133.57, 21, 113, 149, 15, 3.757, 28, 10.26, 1.27, 720, 1810, 0, 89, 145.5, 121, 77.48, 269.2, 1, 1, 1, 1, 128, 0
1571471310.6191921, 0, 0, 21, 85.46, 299.4, 131.47, 22, 115, 154, 16, 3.817, 30, 10.48, 1.27, 720, 1840, 0, 83.5, 123.1, 121, 80.48, 280.6, 1, 1, 1, 1, 128, 0
1571471313.674402, 0, 0, 22, 88.49, 311, 131.83, 22, 116, 153, 16, 3.806, 31, 10.34, 1.3, 740, 1790, 0, 80.6, 123.5, 121, 85.46, 299.4, 1, 1, 1, 1, 128, 0
1571471316.643832, 0, 0, 23, 91.48, 322.4, 132.19, 22, 116, 151, 17, 3.796, 32, 10.47, 1.27, 710, 1860, 0, 88.5, 138.1, 121, 88.49, 311, 1, 1, 1, 1, 128, 0
1571471324.5686922, 0, 0, 24, 99.33, 351.9, 132.1, 22, 118, 148, 19, 3.799, 35, 10.64, 1.3, 750, 1890, 0, 81.3, 125.3, 121, 91.48, 322.4, 1, 1, 1, 1, 128, 0
1571471327.713992, 0, 0, 25, 102.48, 363.8, 133.78, 21, 119, 147, 20, 3.751, 36, 11, 1.36, 770, 1960, 0, 87.7, 141.3, 122, 99.33, 351.9, 1, 1, 1, 1, 128, 0
1571471330.6835423, 0, 0, 26, 105.48, 375.3, 134.02, 20, 120, 157, 20, 3.744, 37, 10.57, 1.27, 710, 1850, 0, 86.4, 135.9, 121, 102.48, 363.8, 1, 1, 1, 1, 128, 0
1571471333.6537426, 0, 0, 27, 108.48, 386.7, 131.16, 22, 120, 152, 21, 3.826, 38, 10.85, 1.3, 740, 1920, 0, 81, 126.5, 121, 105.48, 375.3, 1, 1, 1, 1, 128, 0
1571471338.6942422, 0, 0, 28, 113.44, 405.2, 133.42, 22, 120, 150, 22, 3.761, 40, 10.48, 1.3, 750, 1840, 0, 80.8, 128.8, 121, 108.48, 386.7, 1, 1, 1, 1, 128, 0
1571471341.6636314, 0, 0, 29, 116.48, 416.8, 133.06, 22, 121, 151, 23, 3.771, 41, 10.4, 1.27, 720, 1840, 0, 87.1, 141.5, 121, 113.44, 405.2, 1, 1, 1, 1, 128, 0
1571471344.7235916, 0, 0, 30, 119.48, 428.3, 132.93, 22, 121, 153, 23, 3.775, 42, 10.62, 1.3, 730, 1870, 0, 87.5, 137.6, 121, 116.48, 416.8, 1, 1, 1, 1, 128, 0
1571471355.5278916, 0, 0, 31, 130.36, 469.5, 132.73, 21, 123, 152, 26, 3.781, 46, 10.77, 1.27, 720, 1930, 0, 82.8, 126.7, 121, 119.48, 428.3, 1, 1, 1, 1, 128, 0
1571471358.6732016, 0, 0, 32, 133.49, 481.5, 132.45, 21, 123, 151, 27, 3.789, 47, 10.47, 1.3, 730, 1840, 0, 86.1, 139.2, 121, 130.36, 469.5, 1, 1, 1, 1, 128, 0
1571471361.6430917, 0, 0, 33, 136.47, 492.8, 132.86, 22, 124, 153, 27, 3.777, 48, 10.69, 1.27, 710, 1900, 0, 86.4, 137.6, 121, 133.49, 481.5, 1, 1, 1, 1, 128, 0
1571471364.7029016, 0, 0, 34, 139.48, 504.3, 132.15, 21, 125, 153, 28, 3.797, 49, 10.91, 1.33, 750, 1930, 0, 86.3, 136.4, 120, 136.47, 492.8, 1, 1, 1, 1, 128, 0
1571471375.5974019, 0, 0, 35, 150.36, 545.1, 133.82, 21, 125, 145, 31, 3.75, 53, 10.61, 1.3, 740, 1900, 0, 83.7, 130.4, 121, 139.48, 504.3, 1, 1, 1, 1, 128, 0
1571471378.6526418, 0, 0, 36, 153.47, 557, 134.49, 21, 125, 150, 31, 3.731, 54, 10.32, 1.3, 740, 1800, 0, 82.5, 129.7, 121, 150.36, 545.1, 1, 1, 1, 1, 128, 0
1571471387.6533318, 0, 0, 37, 162.48, 587.6, 155.05, 11, 128, 95, 33, 3.235, 56, 18.29, 1.3, 890, 4580, 0, 89.1, 149.4, 121, 153.47, 557, 1, 1, 1, 1, 128, 0
1571471389.7225118, 0, 0, 38, 164.47, 594.9, 155.05, 11, 128, 130, 33, 3.235, 57, 9.37, 1.3, 750, 1660, 0, 89.6, 142.3, 121, 162.48, 587.6, 1, 1, 1, 1, 128, 0
1571471392.6925018, 0, 0, 39, 167.48, 606.4, 139.62, 23, 128, 153, 34, 3.594, 58, 10.33, 1.3, 730, 1790, 0, 86.2, 139.4, 121, 164.47, 594.9, 1, 1, 1, 1, 128, 0
1571471403.4969716, 0, 0, 40, 178.32, 647.4, 132.35, 21, 125, 152, 37, 3.791, 62, 10.84, 1.3, 740, 1930, 0, 82.1, 133.8, 121, 167.48, 606.4, 1, 1, 1, 1, 128, 0
1571471406.641882, 0, 0, 41, 181.46, 659.3, 132.58, 21, 124, 149, 37, 3.785, 63, 10.54, 1.33, 760, 1840, 0, 82, 122.1, 120, 178.32, 647.4, 1, 1, 1, 1, 128, 0
1571471409.702232, 0, 0, 42, 184.48, 670.7, 133.51, 21, 124, 149, 38, 3.758, 64, 10.83, 1.3, 740, 1940, 0, 82, 130.5, 121, 181.46, 659.3, 1, 1, 1, 1, 128, 0
1571471412.672132, 0, 0, 43, 187.47, 681.9, 133.35, 21, 123, 146, 38, 3.763, 65, 10.76, 1.33, 770, 1910, 0, 79.7, 125.8, 121, 184.48, 670.7, 1, 1, 1, 1, 128, 0
1571471415.6417022, 0, 0, 44, 190.47, 693.2, 134.21, 21, 123, 147, 39, 3.739, 66, 10.7, 1.33, 760, 1900, 0, 84.8, 143, 121, 187.47, 681.9, 1, 1, 1, 1, 128, 0
1571471423.657632, 0, 0, 45, 198.41, 723, 132.81, 21, 122, 151, 41, 3.778, 69, 10.75, 1.33, 750, 1900, 0, 88.6, 143.6, 120, 190.47, 693.2, 1, 1, 1, 1, 128, 0
1571471426.7115717, 0, 0, 46, 201.48, 734.8, 132.9, 21, 121, 157, 42, 3.776, 70, 10.7, 1.27, 720, 1890, 0, 82.4, 134.2, 121, 198.41, 723, 1, 1, 1, 1, 128, 0
1571471429.681742, 0, 0, 47, 204.48, 746.2, 131.12, 21, 121, 151, 42, 3.827, 71, 10.62, 1.3, 740, 1880, 0, 84.3, 132.9, 120, 201.48, 734.8, 1, 1, 1, 1, 128, 0
1571471432.6510117, 0, 0, 48, 207.46, 757.5, 132.91, 21, 122, 151, 43, 3.776, 72, 10.76, 1.3, 730, 1920, 0, 88.9, 138.3, 121, 204.48, 746.2, 1, 1, 1, 1, 128, 0
1571471435.7104316, 0, 0, 49, 210.47, 768.9, 132.8, 21, 122, 156, 44, 3.779, 73, 10.69, 1.27, 720, 1890, 0, 83.3, 128.9, 121, 207.46, 757.5, 1, 1, 1, 1, 128, 0
1571471442.6404512, 0, 0, 50, 217.48, 793.4, 141.29, 24, 121, 125, 46, 3.551, 75, 9, 1.33, 780, 1560, 0, 88.2, 139, 121, 210.47, 768.9, 1, 1, 1, 1, 128, 0
1571471444.710611, 0, 0, 51, 219.47, 800.9, 141.29, 24, 120, 153, 46, 3.551, 76, 10.03, 1.27, 720, 1730, 0, 81.1, 124.1, 121, 217.48, 793.4, 1, 1, 1, 1, 128, 0
1571471447.770291, 0, 0, 52, 222.46, 812.4, 132.34, 23, 120, 155, 46, 3.792, 77, 10.33, 1.33, 740, 1770, 0, 90.3, 145.2, 121, 219.47, 800.9, 1, 1, 1, 1, 128, 0
1571471458.4822507, 0, 0, 53, 233.28, 853.7, 130.9, 21, 121, 152, 49, 3.834, 81, 10.59, 1.24, 710, 1900, 0, 80.3, 123, 120, 222.46, 812.4, 1, 1, 1, 1, 128, 0
1571471461.7203007, 0, 0, 54, 236.46, 865.8, 132.53, 21, 121, 148, 50, 3.786, 82, 10.46, 1.33, 750, 1840, 0, 85.9, 135.1, 121, 233.28, 853.7, 1, 1, 1, 1, 128, 0
1571471464.690971, 0, 0, 55, 239.46, 877.1, 133.78, 22, 121, 152, 50, 3.751, 83, 10.84, 1.3, 740, 1930, 0, 83.4, 134.7, 121, 236.46, 865.8, 1, 1, 1, 1, 128, 0
1571471478.5553515, 0, 0, 56, 253.31, 929.4, 133.55, 20, 122, 150, 53, 3.757, 88, 10.47, 1.3, 730, 1850, 0, 90.3, 144.4, 121, 239.46, 877.1, 1, 1, 1, 1, 128, 0
1571471481.7005317, 0, 0, 57, 256.46, 941.6, 133.21, 22, 122, 157, 54, 3.767, 89, 10.83, 1.3, 730, 1910, 0, 84.5, 135.5, 121, 253.31, 929.4, 1, 1, 1, 1, 128, 0
1571471484.6704519, 0, 0, 58, 259.46, 953, 131.2, 21, 123, 152, 55, 3.825, 90, 10.98, 1.3, 730, 1970, 0, 86.6, 144.7, 121, 256.46, 941.6, 1, 1, 1, 1, 128, 0
1571471487.6403017, 0, 0, 59, 262.46, 964.3, 132.46, 21, 124, 152, 55, 3.788, 91, 10.77, 1.27, 720, 1930, 0, 86.9, 140.8, 121, 259.46, 953, 1, 1, 1, 1, 128, 0
1571471495.6517022, 0, 0, 60, 270.44, 994.5, 132.85, 21, 126, 156, 57, 3.777, 94, 10.92, 1.3, 730, 1930, 0, 83.7, 129.4, 121, 262.46, 964.3, 1, 1, 1, 1, 128, 0
1571471504.6502023, 0, 0, 61, 279.05, 1021.6, 134.15, 22, 127, 147, 59, 3.74, 95, 10.33, 1.09, 650, 1910, 0, 65.4, 101.9, 121, 270.44, 994.5, 1, 1, 1, 0, 128, 0
