index, Cadence (stokes/min), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), Power (watts), Stroke500mPace (sec/500m), lapIdx,TimeStamp (sec)
0,0.0,0.0,74.0,3.004815,106.5967,148.63055,0.0,1452626590.88
1,26.0,3.1779999733,79.0,11.63624,147.764,133.3009,0.0,1452626594.06
2,23.0,5.79500007629,88.0,22.05329,174.9999,125.9921,0.0,1452626596.67
3,23.0,8.39299988747,93.0,32.47461,181.9231,124.3732,0.0,1452626599.27
4,22.0,11.1789999008,98.0,43.68993,182.709,124.1946,0.0,1452626602.06
5,22.0,13.8949999809,102.0,54.61842,182.3846,124.2682,0.0,1452626604.77
6,22.0,16.6830000877,104.0,65.83815,181.6029,124.44625,0.0,1452626607.56
7,22.0,19.382999897,106.0,76.68702,183.4446,124.0284,0.0,1452626610.26
8,22.0,22.1849999428,109.0,87.89669,178.0964,125.25765,0.0,1452626613.06
9,22.0,24.993999958,110.0,99.17302,179.8409,124.85135,0.0,1452626615.87
10,22.0,27.6800000668,111.0,110.0089,184.9242,123.6967,0.0,1452626618.56
11,22.0,30.3899998665,112.0,121.0581,189.7273,122.64395,0.0,1452626621.27
12,22.0,33.0880000591,114.0,132.1158,193.007,121.9453,0.0,1452626623.97
13,22.0,35.8870000839,117.0,143.6026,192.9316,121.96115,0.0,1452626626.77
14,21.0,38.6779999733,119.0,155.0154,191.137,122.3417,0.0,1452626629.56
15,22.0,41.3849999905,121.0,166.2154,198.0986,120.89145,0.0,1452626632.26
16,22.0,44.0869998932,123.0,177.271,193.6245,121.8155,0.0,1452626634.96
17,22.0,46.8910000324,125.0,188.7575,190.9932,122.37235,0.0,1452626637.77
18,22.0,49.5739998817,126.0,199.6702,190.3377,122.5127,0.0,1452626640.45
19,21.0,52.4819998741,127.0,211.3802,180.7103,124.6508,0.0,1452626643.36
20,22.0,55.1819999218,127.0,222.2921,185.049,123.6689,0.0,1452626646.06
21,22.0,57.7890000343,127.0,232.6964,180.1879,124.77115,0.0,1452626648.67
22,22.0,60.5880000591,126.0,243.8993,179.1042,125.0223,0.0,1452626651.47
23,22.0,63.3910000324,125.0,255.0966,176.502,125.6337,0.0,1452626654.27
24,22.0,66.0850000381,124.0,265.867,180.2659,124.75315,0.0,1452626656.96
25,22.0,68.7760000229,124.0,276.8628,190.7334,122.4279,0.0,1452626659.65
26,22.0,71.4849998951,125.0,287.7656,183.3423,124.05145,0.0,1452626662.36
27,22.0,74.2779998779,126.0,298.9688,179.284,124.9805,0.0,1452626665.16
28,22.0,76.986000061,127.0,309.8017,179.3183,124.9725,0.0,1452626667.86
29,22.0,79.6840000153,128.0,320.7124,185.3497,123.60195,0.0,1452626670.56
30,23.0,82.2890000343,129.0,331.1865,183.3134,124.05795,0.0,1452626673.17
31,22.0,85.0869998932,129.0,342.4596,182.5423,124.2324,0.0,1452626675.96
32,22.0,87.879999876,130.0,353.8104,187.6539,123.094,0.0,1452626678.76
33,22.0,90.6940000057,131.0,365.2207,185.5439,123.5588,0.0,1452626681.57
34,22.0,93.3840000629,132.0,376.0442,183.4736,124.02185,0.0,1452626684.26
35,22.0,96.0859999657,134.0,386.9526,185.6031,123.5457,0.0,1452626686.96
36,22.0,98.888999939,135.0,398.2948,184.801,123.72415,0.0,1452626689.77
37,22.0,101.585999966,136.0,409.1989,185.8018,123.50165,0.0,1452626692.46
38,22.0,104.388000011,136.0,420.6914,192.7335,122.00295,0.0,1452626695.27
