index,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts),Cals, Cadence (stokes/min), HRCur (bpm),DutyCycle,Rowfile_Id, lapIdx, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1452626590.878,3.004815,148.63055,106.5967,0.167309,0.0,74.0,0.3333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3640459515220793,0.0,0.0,0.0,1.0,4.0,0,inf,74.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.004815,106.5967,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1452626594.056,11.63624,133.3009,147.764,0.6823692,26.0,79.0,0.3333333,,0.0,3.177999973297119,0.0,0.0,0.0,0.0,0.0,0.0,3.750912409443597,0.0,0.0,0.0,1.0,4.0,1,340.99384615384616,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,11.63624,0.0,147.764,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1452626596.673,22.05329,125.9921,174.9999,1.337667,23.0,88.0,0.3333333,,0.0,5.795000076293945,0.0,0.0,0.0,0.0,0.0,0.0,3.9685027870795078,0.0,0.0,0.0,1.0,4.0,2,456.52147826086957,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,22.05329,0.0,0.0,174.9999,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1452626599.271,32.47461,124.3732,181.9231,2.000683,23.0,93.0,0.3333333,,0.0,8.39299988746643,0.0,0.0,0.0,0.0,0.0,0.0,4.020158683703563,0.0,0.0,0.0,1.0,4.0,3,474.582,93.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.47461,0.0,0.0,181.9231,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1452626602.057,43.68993,124.19460000000001,182.709,2.717764,22.0,98.0,0.3333333,,0.0,11.178999900817871,0.0,0.0,0.0,0.0,0.0,0.0,4.025939936196903,0.0,0.0,0.0,1.0,4.0,4,498.29727272727274,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.68993,0.0,0.0,182.709,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1452626604.773,54.61842,124.2682,182.3846,3.416738,22.0,102.0,0.3333333,,0.0,13.894999980926514,0.0,0.0,0.0,0.0,0.0,0.0,4.023555503338747,0.0,0.0,0.0,1.0,4.0,5,497.4125454545455,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,54.61842,0.0,0.0,182.3846,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1452626607.561,65.83815,124.44624999999999,181.6029,4.134839,22.0,104.0,0.3333333,,0.0,16.683000087738037,0.0,0.0,0.0,0.0,0.0,0.0,4.01779884890063,0.0,0.0,0.0,1.0,4.0,6,495.2806363636364,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,65.83815,0.0,0.0,181.6029,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1452626610.261,76.68702,124.02839999999999,183.4446,4.828381,22.0,106.0,0.3333333,,0.0,19.382999897003174,0.0,0.0,0.0,0.0,0.0,0.0,4.031334758813304,0.0,0.0,0.0,1.0,4.0,7,500.3034545454546,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,76.68702,0.0,0.0,183.4446,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1452626613.063,87.89669,125.25765,178.0964,5.542016,22.0,109.0,0.3333333,,0.0,22.18499994277954,0.0,0.0,0.0,0.0,0.0,0.0,3.9917721592254045,0.0,0.0,0.0,1.0,4.0,8,485.71745454545453,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,87.89669,0.0,0.0,178.0964,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1452626615.872,99.17302,124.85135,179.8409,6.26232,22.0,110.0,0.3333333,,0.0,24.99399995803833,0.0,0.0,0.0,0.0,0.0,0.0,4.00476246352162,0.0,0.0,0.0,1.0,4.0,9,490.4751818181818,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,99.17302,0.0,0.0,179.8409,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,1452626618.558,110.0089,123.6967,184.9242,6.957839,22.0,111.0,0.3333333,,0.0,27.680000066757202,0.0,0.0,0.0,0.0,0.0,0.0,4.042145020845342,0.0,0.0,0.0,1.0,4.0,10,504.33872727272734,111.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,110.0089,0.0,0.0,184.9242,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,1452626621.268,121.0581,122.64395,189.7273,7.674498,22.0,112.0,0.3333333,,0.0,30.389999866485596,0.0,0.0,0.0,0.0,0.0,0.0,4.076841947768316,0.0,0.0,0.0,1.0,4.0,11,517.438090909091,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,121.0581,0.0,0.0,189.7273,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,1452626623.966,132.1158,121.9453,193.007,8.395288,22.0,114.0,0.3333333,,0.0,33.08800005912781,0.0,0.0,0.0,0.0,0.0,0.0,4.1001990236606085,0.0,0.0,0.0,1.0,4.0,12,526.3827272727273,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,132.11580000000004,0.0,0.0,193.007,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,1452626626.765,143.6026,121.96115,192.9316,9.145585,22.0,117.0,0.3333333,,0.0,35.88700008392334,0.0,0.0,0.0,0.0,0.0,0.0,4.09966616418425,0.0,0.0,0.0,1.0,4.0,13,526.1770909090909,117.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,143.60260000000002,0.0,0.0,192.9316,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,1452626629.556,155.0154,122.3417,191.137,9.888192,21.0,119.0,0.3333333,,0.0,38.67799997329712,0.0,0.0,0.0,0.0,0.0,0.0,4.08691394675732,0.0,0.0,0.0,1.0,4.0,14,546.1057142857143,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,155.01540000000003,0.0,0.0,191.137,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,1452626632.263,166.2154,120.89144999999999,198.0986,10.62572,22.0,121.0,0.3333333,,0.0,41.38499999046326,0.0,0.0,0.0,0.0,0.0,0.0,4.135941789100884,0.0,0.0,0.0,1.0,4.0,15,540.2689090909091,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,166.21540000000002,0.0,0.0,198.0986,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,1452626634.965,177.271,121.8155,193.6245,11.3459,22.0,123.0,0.3333333,,0.0,44.08699989318848,0.0,0.0,0.0,0.0,0.0,0.0,4.104567973697929,0.0,0.0,0.0,1.0,4.0,16,528.0668181818182,123.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,177.27100000000002,0.0,0.0,193.6245,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,1452626637.769,188.7575,122.37235000000001,190.9932,12.09483,22.0,125.0,0.3333333,,0.0,46.89100003242493,0.0,0.0,0.0,0.0,0.0,0.0,4.085890317543138,0.0,0.0,0.0,1.0,4.0,17,520.8905454545455,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,188.75750000000002,0.0,0.0,190.9932,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,1452626640.452,199.6702,122.5127,190.3377,12.80164,22.0,126.0,0.3333333,,0.0,49.573999881744385,0.0,0.0,0.0,0.0,0.0,0.0,4.081209539908924,0.0,0.0,0.0,1.0,4.0,18,519.1028181818182,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,199.67020000000002,0.0,0.0,190.3377,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,1452626643.36,211.3802,124.6508,180.7103,13.55211,21.0,127.0,0.3333333,,0.0,52.48199987411499,0.0,0.0,0.0,0.0,0.0,0.0,4.011205704255408,0.0,0.0,0.0,1.0,4.0,19,516.3151428571427,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,211.38020000000003,0.0,0.0,180.7103,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,1452626646.06,222.2921,123.6689,185.049,14.25424,22.0,127.0,0.3333333,,0.0,55.181999921798706,0.0,0.0,0.0,0.0,0.0,0.0,4.043053669920247,0.0,0.0,0.0,1.0,4.0,20,504.6790909090909,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,222.29210000000003,0.0,0.0,185.049,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,1452626648.667,232.6964,124.77114999999999,180.1879,14.91512,22.0,127.0,0.3333333,,0.0,57.789000034332275,0.0,0.0,0.0,0.0,0.0,0.0,4.007336631905694,0.0,0.0,0.0,1.0,4.0,21,491.42154545454554,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,232.69640000000004,0.0,0.0,180.1879,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,1452626651.466,243.8993,125.0223,179.1042,15.62866,22.0,126.0,0.3333333,,0.0,60.58800005912781,0.0,0.0,0.0,0.0,0.0,0.0,3.9992865272835325,0.0,0.0,0.0,1.0,4.0,22,488.466,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,243.89930000000004,0.0,0.0,179.1042,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,1452626654.269,255.0966,125.63369999999999,176.502,16.34048,22.0,125.0,0.3333333,,0.0,63.39100003242493,0.0,0.0,0.0,0.0,0.0,0.0,3.979823884833449,0.0,0.0,0.0,1.0,4.0,23,481.36909090909097,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,255.09660000000002,0.0,0.0,176.502,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,1452626656.963,265.867,124.75314999999999,180.2659,17.02564,22.0,124.0,0.3333333,,0.0,66.08500003814697,0.0,0.0,0.0,0.0,0.0,0.0,4.007914830206692,0.0,0.0,0.0,1.0,4.0,24,491.63427272727273,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,265.8670000000001,0.0,0.0,180.2659,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,1452626659.654,276.8628,122.42790000000001,190.7334,17.74101,22.0,124.0,0.3333333,,0.0,68.77600002288818,0.0,0.0,0.0,0.0,0.0,0.0,4.084036400199627,0.0,0.0,0.0,1.0,4.0,25,520.1819999999999,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,276.86280000000005,0.0,0.0,190.7334,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,1452626662.363,287.7656,124.05144999999999,183.3423,18.4394,22.0,125.0,0.3333333,,0.0,71.48499989509583,0.0,0.0,0.0,0.0,0.0,0.0,4.030585696499315,0.0,0.0,0.0,1.0,4.0,26,500.02445454545455,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,287.76560000000006,0.0,0.0,183.3423,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,1452626665.156,298.9688,124.98049999999999,179.284,19.15475,22.0,126.0,0.3333333,,0.0,74.27799987792969,0.0,0.0,0.0,0.0,0.0,0.0,4.0006240973591884,0.0,0.0,0.0,1.0,4.0,27,488.9563636363636,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,298.96880000000004,0.0,0.0,179.284,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,1452626667.864,309.8017,124.9725,179.3183,19.84424,22.0,127.0,0.3333333,,0.0,76.98600006103516,0.0,0.0,0.0,0.0,0.0,0.0,4.000880193642601,0.0,0.0,0.0,1.0,4.0,28,489.04990909090907,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,309.80170000000004,0.0,0.0,179.3183,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,1452626670.562,320.7124,123.60195,185.3497,20.54681,22.0,128.0,0.3333333,,0.0,79.68400001525879,0.0,0.0,0.0,0.0,0.0,0.0,4.04524362277456,0.0,0.0,0.0,1.0,4.0,29,505.4991818181818,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,320.71240000000006,0.0,0.0,185.3497,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
