Session Information:,,,,Device Information:

Name:,7x2000M/1:30,,,Name:,Nick's Speedcoach
Start Time:,06/02/15 06:29am,,,Model:,SpeedCoach GPS Pro
Type:,Interval,,,Serial:,2045277
System of Units:,Meters/Split500,,,Firmware Version:,2.04
Speed Input:,GPS,,,Profile Version:,0.02
,,,,Hardware Version:,07D
,,,,LiNK Version:,1.22.07

Session Summary:

Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
7,00:59:40.3,14002.0,00:02:07.8,3.91,21.5,146,1301

Summary for Session Intervals:

Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:10:01.6,2000.3,00:02:30.6,3.32,20,134,199
2,00:07:38.9,2000.2,00:01:54.9,4.35,20.5,140,158
3,00:09:31.9,2000.1,00:02:23.2,3.49,22.5,148,216
4,00:07:21.5,2000.6,00:01:50.3,4.53,24.5,153,180
5,00:09:35.4,2000.2,00:02:23.6,3.48,23,151,219
6,00:07:29.4,2000.3,00:01:52.6,4.44,21.5,152,162
7,00:08:01.6,2000.3,00:02:00.4,4.15,21,146,167

Session Detail Data:

Interval,Elapsed Time,GPS Distance,GPS Split,GPS Speed,Stroke Rate,Heart Rate,Stroke Count
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:00:02.9,3.6,00:00:01.9,253.97,21,86,1
1,00:00:05.4,11.6,00:04:15.1,1.96,22.5,91,2
1,00:00:08.2,20.7,00:02:53.6,2.88,21.5,97,3
1,00:00:11.0,30.1,00:02:37.2,3.18,21.5,105,4
1,00:00:13.8,39.3,00:02:32.4,3.28,21.5,109,5
1,00:00:16.6,48.8,00:02:32.4,3.28,21,112,6
1,00:00:19.4,58.0,00:02:32.9,3.27,20.5,114,7
1,00:00:22.4,67.4,00:02:35.7,3.21,21,115,8
1,00:00:25.2,76.3,00:02:39.2,3.14,20,117,9
1,00:00:28.2,85.4,00:02:39.2,3.14,20,117,10
1,00:00:31.0,93.6,00:02:41.2,3.10,21.5,116,11
1,00:00:33.8,102.4,00:02:42.8,3.07,21.5,117,12
1,00:00:36.8,111.9,00:02:39.2,3.14,20.5,117,13
1,00:00:39.8,121.9,00:02:33.3,3.26,20.5,119,14
1,00:00:42.6,131.2,00:02:30.6,3.32,20,120,15
1,00:00:45.8,141.4,00:02:31.9,3.29,20,122,16
1,00:00:49.0,151.6,00:02:34.3,3.24,18.5,123,17
1,00:00:52.0,161.5,00:02:33.3,3.26,20,124,18
1,00:00:55.0,171.4,00:02:31.5,3.30,19.5,125,19
1,00:00:58.0,181.2,00:02:31.9,3.29,20,127,20
1,00:01:01.0,191.3,00:02:30.6,3.32,20,129,21
1,00:01:04.0,201.6,00:02:27.4,3.39,20,130,22
1,00:01:07.0,212.0,00:02:26.1,3.42,19.5,131,23
1,00:01:09.8,221.5,00:02:27.0,3.40,22,131,24
1,00:01:12.4,230.6,00:02:27.0,3.40,22.5,131,25
1,00:01:15.4,240.8,00:02:25.3,3.44,19.5,132,26
1,00:01:18.4,251.3,00:02:24.9,3.45,20.5,133,27
1,00:01:21.5,261.7,00:02:25.3,3.44,20.5,134,28
1,00:01:24.4,271.7,00:02:27.4,3.39,20,133,29
1,00:01:27.6,282.1,00:02:30.6,3.32,19,133,30
1,00:01:30.6,292.2,00:02:32.9,3.27,19.5,133,31
1,00:01:33.7,302.2,00:02:31.5,3.30,20,133,32
1,00:01:36.6,312.2,00:02:30.6,3.32,19.5,133,33
1,00:01:39.6,322.1,00:02:31.9,3.29,20,133,34
1,00:01:42.6,332.5,00:02:30.6,3.32,20,134,35
1,00:01:45.6,342.5,00:02:29.2,3.35,19.5,134,36
1,00:01:48.8,353.0,00:02:29.7,3.34,19.5,135,37
1,00:01:51.8,363.0,00:02:31.0,3.31,20,135,38
1,00:01:54.8,373.2,00:02:30.6,3.32,19.5,135,39
1,00:01:57.8,383.2,00:02:30.1,3.33,20,135,40
1,00:02:00.8,393.4,00:02:28.8,3.36,20,135,41
1,00:02:03.6,402.9,00:02:27.9,3.38,21,134,42
1,00:02:06.6,412.9,00:02:27.9,3.38,20.5,133,43
1,00:02:09.6,423.0,00:02:28.3,3.37,20,133,44
1,00:02:12.7,432.9,00:02:29.7,3.34,19.5,132,45
1,00:02:15.6,442.8,00:02:30.6,3.32,20.5,132,46
1,00:02:18.4,452.2,00:02:30.6,3.32,20.5,132,47
1,00:02:21.4,462.2,00:02:29.7,3.34,20,132,48
1,00:02:24.4,472.2,00:02:28.8,3.36,20,133,49
1,00:02:27.6,482.6,00:02:30.1,3.33,19.5,134,50
1,00:02:30.6,492.7,00:02:30.6,3.32,19.5,134,51
1,00:02:33.7,503.0,00:02:29.2,3.35,19.5,134,52
1,00:02:36.8,514.0,00:02:27.4,3.39,19.5,132,53
1,00:02:39.9,524.5,00:02:25.3,3.44,19.5,131,54
1,00:02:42.8,535.0,00:02:23.2,3.49,20,131,55
1,00:02:46.1,546.0,00:02:23.6,3.48,19,132,56
1,00:02:49.0,556.1,00:02:26.6,3.41,19,133,57
1,00:02:52.3,566.7,00:02:28.3,3.37,19.5,133,58
1,00:02:55.2,576.6,00:02:29.7,3.34,20,132,59
1,00:02:58.0,585.5,00:02:33.8,3.25,20.5,132,60
1,00:03:01.0,594.8,00:02:38.7,3.15,20.5,133,61
1,00:03:04.0,604.5,00:02:39.2,3.14,19.5,133,62
1,00:03:07.1,614.0,00:02:36.7,3.19,20,133,63
1,00:03:10.0,623.1,00:02:39.2,3.14,21,134,64
1,00:03:13.0,632.7,00:02:38.7,3.15,20,135,65
1,00:03:16.0,642.8,00:02:34.3,3.24,19,134,66
1,00:03:19.1,652.6,00:02:32.9,3.27,20.5,133,67
1,00:03:22.0,662.7,00:02:31.0,3.31,19.5,133,68
1,00:03:25.1,672.7,00:02:30.6,3.32,20,133,69
1,00:03:28.0,682.6,00:02:31.0,3.31,19.5,133,70
1,00:03:31.3,693.1,00:02:29.7,3.34,19.5,134,71
1,00:03:34.2,703.8,00:02:26.1,3.42,19.5,134,72
1,00:03:37.3,713.8,00:02:24.9,3.45,20,134,73
1,00:03:40.3,723.7,00:02:28.3,3.37,20.5,134,74
1,00:03:43.4,734.2,00:02:29.7,3.34,18.5,135,75
1,00:03:46.6,744.5,00:02:31.9,3.29,18.5,135,76
1,00:03:49.9,755.3,00:02:31.9,3.29,19,134,77
