Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name:,5x1:00,,,Name:,SpdCoach 2078158,,,Firmware:,0.28,,,Boat ID:,STOL,,,,,,,,,,
Start Time:,11/14/16 07:38am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,2,,,,,,,,,,
Type:,Interval,,,Serial:,2078158,,,,,,,Port Starboard:,Port,,,,,,,,,,
System of Units:,Meters/Split500,,,Firmware Version:,2.12,,,,,,,Oar Length:,288,,,,,,,,,,
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,88,,,,,,,,,,
,,,,Hardware Version:,Rev 10,,,,,,,,,,,,,,,,,,
,,,,LiNK Version:,1.26.09,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Session Summary:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
5,1186.2,0,05:00.0,02:06.5,3.95,00:00.0,0,26,131,9,0,---,206,-60,6,39,9,255,471,456,65,39.9939,-75.1954
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval Summaries:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
