Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:,,,,,,,,,,,,,,
Name:,Dist-1000M,,,Name:,Fappleton,,,Firmware:,---,,,Boat ID:,---,,,,,,,,,,,,,
Start Time:,01/19/17 07:38am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---,,,,,,,,,,,,,
Type:,Single Distance,,,Serial:,2182665,,,,,,,Port Starboard:,---,,,,,,,,,,,,,
System of Units:,Meters/Split500,,,Firmware Version:,2.12,,,,,,,Oar Length:,---,,,,,,,,,,,,,
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,---,,,,,,,,,,,,,
,,,,Hardware Version:,Rev 11,,,,,,,,,,,,,,,,,,,,,
,,,,LiNK Version:,1.27,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Summary:,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),,,,,,,,,,,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),,,,,,,,,,,,,,,,
1,1000.5,0,03:12.6,01:36.3,5.19,00:00.0,0,34,106,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval Summaries:,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),,,,,,,,,,,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),,,,,,,,,,,,,,,,
1,1000.5,0,03:12.6,01:36.3,5.19,00:00.0,0,34,106,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),,,,,,,,,,,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),,,,,,,,,,,,,,,,
1,0.8,0,00:06.9,06:33.7,1.27,00:00.0,0,8,1,0.82,,3.1,0.91,,3.1,0.65,,1.6,1.93,,,,,,,
1,6,0,00:08.9,08:00.7,1.04,00:00.0,0,31,2,5.16,,6.9,2.29,,4.3,0.46,,5.8,1.9,,,,,,,
1,10.8,0,00:10.4,03:09.3,2.64,00:00.0,0,40,3,4.86,,14.3,3.29,,11.9,1.24,,12.4,2.7,,,,,,,
1,18.9,0,00:12.1,02:15.8,3.68,00:00.0,0,40,4,8.04,,20.7,4.03,,17.1,2.67,,19.1,3.43,,,,,,,
1,25.4,0,00:13.5,01:53.6,4.4,00:00.0,0,38,5,6.54,,29.6,4.57,,26.2,3.62,,26.5,4.15,,,,,,,
1,34.9,0,00:15.3,01:42.4,4.88,00:00.0,0,38,6,9.5,,37.7,4.88,,34.2,4.35,,35.6,4.6,,,,,,,
1,43.6,0,00:16.9,01:36.1,5.2,00:00.0,0,36,7,8.67,,46.2,5.08,,42.7,4.84,,45.2,4.95,,,,,,,
1,52.6,0,00:18.5,01:31.9,5.44,00:00.0,0,37,8,8.97,,54.6,5.2,,52.4,5.22,,53.5,5.19,,,,,,,
1,61.7,0,00:20.1,01:28.6,5.64,00:00.0,0,36,9,9.12,,64.4,5.27,,61.3,5.44,,63,5.33,,,,,,,
1,72.1,0,00:21.9,01:26.2,5.8,00:00.0,0,36,10,10.42,,73,5.4,,71.3,5.53,,71.3,5.39,,,,,,,
1,81.4,0,00:23.5,01:23.8,5.96,00:00.0,0,38,11,9.26,,82.7,5.47,,78.9,5.65,,80,5.44,,,,,,,
1,90.7,0,00:25.3,01:23.0,6.02,00:00.0,0,36,12,9.29,,91.4,5.49,,90.5,5.63,,88.7,5.49,,,,,,,
1,100.1,0,00:26.7,01:23.7,5.97,00:00.0,0,37,13,9.47,,98.7,5.5,,99.7,5.67,,98.5,5.46,,,,,,,
1,108.3,0,00:28.3,01:23.1,6.01,00:00.0,0,38,14,8.2,,109.7,5.39,,110.4,5.72,,106.9,5.44,,,,,,,
1,119,0,00:29.9,01:24.3,5.93,00:00.0,0,36,15,10.67,,118.2,5.39,,119.5,5.75,,116.9,5.42,,,,,,,
1,128.3,0,00:31.5,01:24.7,5.9,00:00.0,0,36,16,9.35,,126.6,5.34,,128.7,5.82,,125.4,5.49,,,,,,,
1,138.9,0,00:33.3,01:25.1,5.87,00:00.0,0,37,17,10.55,,136.3,5.31,,139.3,5.9,,135.1,5.44,,,,,,,
1,148.1,0,00:34.9,01:25.7,5.83,00:00.0,0,36,18,9.25,,144.8,5.33,,148.5,5.89,,142.4,5.44,,,,,,,
1,158.4,0,00:36.7,01:26.3,5.79,00:00.0,0,36,19,10.23,,154.5,5.42,,157.6,5.86,,158.2,5.5,,,,,,,
1,167.1,0,00:38.3,01:26.3,5.79,00:00.0,0,36,20,8.75,,162.9,5.43,,165.5,5.85,,171.5,5.42,,,,,,,
1,176,0,00:39.9,01:27.5,5.71,00:00.0,0,35,21,8.88,,172.3,5.32,,176.9,5.75,,179.8,5.36,,,,,,,
1,186.3,0,00:41.7,01:27.2,5.73,00:00.0,0,36,22,10.26,,179.6,5.31,,185.8,5.72,,188.1,5.29,,,,,,,
1,194,0,00:43.3,01:26.2,5.8,00:00.0,0,36,23,7.71,,190.7,5.32,,195.8,5.67,,197.4,5.24,,,,,,,
1,204.4,0,00:44.9,01:27.4,5.72,00:00.0,0,36,24,10.48,,199.2,5.37,,204.4,5.61,,205.7,5.29,,,,,,,
1,213.5,0,00:46.5,01:27.2,5.73,00:00.0,0,36,25,9.03,,208.9,5.3,,214.2,5.57,,215.1,5.29,,,,,,,
1,223.8,0,00:48.3,01:28.0,5.68,00:00.0,0,34,26,10.35,,217.3,5.34,,223.1,5.54,,223.3,5.32,,,,,,,
1,234,0,00:50.1,01:28.1,5.67,00:00.0,0,36,27,10.15,,226.8,5.39,,232.1,5.59,,231.5,5.32,,,,,,,
1,244.2,0,00:51.9,01:28.4,5.65,00:00.0,0,34,28,10.27,,235.2,5.37,,242.2,5.6,,240.9,5.2,,,,,,,
1,253.3,0,00:53.5,01:27.7,5.7,00:00.0,0,34,29,9.03,,242.4,5.37,,252.2,5.58,,249.3,5.26,,,,,,,
1,262.2,0,00:55.3,01:27.1,5.74,00:00.0,0,36,30,8.91,,253.2,5.31,,261.2,5.59,,258.9,5.29,,,,,,,
1,273.7,0,00:57.1,01:28.3,5.66,00:00.0,0,34,31,11.52,,262.6,5.29,,271.2,5.58,,268.5,5.25,,,,,,,
1,283.8,0,00:58.9,01:28.6,5.64,00:00.0,0,33,32,10.06,,271.2,5.25,,281.1,5.58,,276.9,5.28,,,,,,,
1,292.5,0,01:00.5,01:29.9,5.56,00:00.0,0,34,33,8.74,,280.7,5.35,,289.9,5.64,,286.3,5.33,,,,,,,
1,302.5,0,01:02.3,01:29.6,5.58,00:00.0,0,34,34,10,,289.1,5.38,,298.6,5.64,,294.5,5.3,,,,,,,
1,312.6,0,01:04.3,01:29.1,5.61,00:00.0,0,34,35,10.06,,298.5,5.37,,308.3,5.51,,303.9,5.29,,,,,,,
1,322.6,0,01:05.9,01:29.4,5.59,00:00.0,0,34,36,10.08,,306.8,5.36,,318,5.46,,312.2,5.32,,,,,,,
1,331.4,0,01:07.5,01:29.1,5.61,00:00.0,0,34,37,8.79,,316.3,5.29,,326.6,5.45,,321.6,5.28,,,,,,,
1,342.7,0,01:09.5,01:30.0,5.55,00:00.0,0,34,38,11.23,,325.6,5.22,,336.5,5.39,,329.9,5.29,,,,,,,
1,351.3,0,01:11.1,01:30.4,5.53,00:00.0,0,34,39,8.66,,334,5.12,,345,5.41,,339,5.22,,,,,,,
1,361.2,0,01:12.9,01:30.7,5.51,00:00.0,0,34,40,9.91,,343.4,5.24,,354.8,5.52,,347.2,5.24,,,,,,,
1,371.2,0,01:14.7,01:29.6,5.58,00:00.0,0,34,41,9.97,,352.7,5.29,,363.4,5.56,,356.4,5.26,,,,,,,
1,378.6,0,01:16.3,01:29.1,5.61,00:00.0,0,34,42,7.38,,361,5.25,,373.2,5.51,,364.7,5.21,,,,,,,
1,391,0,01:18.3,01:31.0,5.49,00:00.0,0,34,43,12.42,,369.1,5.24,,382,5.52,,372.9,5.22,,,,,,,
1,399.8,0,01:19.9,01:31.4,5.47,00:00.0,0,34,44,8.74,,378.3,5.15,,392.1,5.54,,382.4,5.17,,,,,,,
1,409.7,0,01:21.7,01:31.9,5.44,00:00.0,0,34,45,9.93,,387.7,5.16,,401.8,5.54,,391.7,5.22,,,,,,,
1,419.5,0,01:23.5,01:30.0,5.55,00:00.0,0,34,46,9.8,,396.9,5.15,,410.4,5.48,,399.9,5.19,,,,,,,
1,428,0,01:25.3,01:29.7,5.57,00:00.0,0,33,47,8.49,,405,5.19,,420.2,5.53,,409.2,5.21,,,,,,,
1,439,0,01:27.1,01:32.0,5.43,00:00.0,0,34,48,11,,414.2,5.19,,428.8,5.6,,417.3,5.24,,,,,,,
1,448.8,0,01:28.9,01:31.7,5.45,00:00.0,0,34,49,9.79,,423.4,5.14,,438.7,5.49,,426.7,5.24,,,,,,,
1,458.5,0,01:30.7,01:32.9,5.38,00:00.0,0,33,50,9.74,,431.4,5.14,,448.5,5.44,,433.8,5.26,,,,,,,
1,468.1,0,01:32.5,01:32.2,5.42,00:00.0,0,34,51,9.63,,440.6,5.08,,457.3,5.47,,444.2,5.16,,,,,,,
1,476.7,0,01:34.3,01:31.2,5.48,00:00.0,0,34,52,8.56,,449.6,5.06,,467.1,5.5,,452.3,5.17,,,,,,,
1,486.4,0,01:35.9,01:32.0,5.43,00:00.0,0,34,53,9.69,,457.7,5.04,,476.9,5.49,,461.6,5.14,,,,,,,
1,496.2,0,01:37.7,01:32.0,5.43,00:00.0,0,33,54,9.79,,466.8,5.12,,486.6,5.5,,470.9,5.11,,,,,,,
1,505.9,0,01:39.5,01:32.4,5.41,00:00.0,0,34,55,9.75,,474.8,5.19,,494,5.52,,479.1,5.16,,,,,,,
1,515.7,0,01:41.3,01:31.4,5.47,00:00.0,0,34,56,9.78,,484.3,5.16,,504.7,5.41,,488.3,5.23,,,,,,,
1,525.4,0,01:43.3,01:31.5,5.46,00:00.0,0,32,57,9.68,,493.5,5.15,,514.4,5.42,,495.4,5.26,,,,,,,
1,535,0,01:44.9,01:32.5,5.4,00:00.0,0,34,58,9.58,,501.6,5.11,,524.1,5.39,,505.8,5.19,,,,,,,
1,544.6,0,01:46.7,01:32.9,5.38,00:00.0,0,32,59,9.66,,510.7,5.1,,532.9,5.48,,515.1,5.16,,,,,,,
1,554.2,0,01:48.5,01:34.5,5.29,00:00.0,0,34,60,9.63,,519.8,5.1,,542.7,5.56,,523.1,5.11,,,,,,,
1,563.8,0,01:50.3,01:34.5,5.29,00:00.0,0,33,61,9.52,,529,5.17,,552.4,5.45,,532.3,5.16,,,,,,,
1,573.2,0,01:52.3,01:34.8,5.27,00:00.0,0,34,62,9.41,,535.8,5.19,,561,5.44,,541.5,5.19,,,,,,,
1,582.6,0,01:53.9,01:34.8,5.27,00:00.0,0,34,63,9.42,,551,5.11,,570.7,5.45,,549.4,5.16,,,,,,,
1,591.1,0,01:55.5,01:33.6,5.34,00:00.0,0,34,64,8.5,,581.9,5.07,,580.3,5.4,,557.3,5.1,,,,,,,
1,601.9,0,01:57.5,01:33.6,5.34,00:00.0,0,34,65,10.82,,588.8,5.12,,589.8,5.3,,567.2,5,,,,,,,
1,611.6,0,01:59.3,01:33.6,5.34,00:00.0,0,32,66,9.71,,599.8,5.15,,599.6,5.38,,576.3,5.01,,,,,,,
1,619.8,0,02:00.9,01:33.8,5.33,00:00.0,0,34,67,8.19,,608.5,5.01,,606.9,5.47,,584.2,5.03,,,,,,,
1,629.2,0,02:02.7,01:33.6,5.34,00:00.0,0,33,68,9.34,,616.6,4.97,,617.7,5.41,,593.1,5.08,,,,,,,
1,637.3,0,02:04.4,01:34.1,5.31,00:00.0,0,34,69,8.12,,626.9,4.95,,627.1,5.35,,600.8,5.04,,,,,,,
1,648,0,02:06.3,01:35.6,5.23,00:00.0,0,34,70,10.76,,635,5.01,,636.6,5.24,,610.5,4.94,,,,,,,
1,657.5,0,02:08.1,01:35.4,5.24,00:00.0,0,33,71,9.44,,642.8,4.93,,644.8,5.26,,619.1,4.91,,,,,,,
1,667.1,0,02:09.9,01:34.8,5.27,00:00.0,0,34,72,9.61,,653.4,4.88,,653.9,5.3,,627.8,4.81,,,,,,,
1,676.8,0,02:11.7,01:32.7,5.39,00:00.0,0,34,73,9.67,,661.1,4.99,,663.4,5.25,,636.4,4.9,,,,,,,
1,683.9,0,02:13.3,01:31.4,5.47,00:00.0,0,34,74,7.18,,670.6,4.9,,672.9,5.33,,643.9,4.93,,,,,,,
1,696,0,02:15.3,01:33.1,5.37,00:00.0,0,34,75,12.1,,679.9,5.01,,682.5,5.35,,652.6,4.82,,,,,,,
1,705.7,0,02:17.1,01:33.1,5.37,00:00.0,0,32,76,9.69,,688.2,5.11,,691,5.34,,661,4.82,,,,,,,
1,714.2,0,02:18.7,01:33.1,5.37,00:00.0,0,34,77,8.49,,697.4,5.08,,700.7,5.35,,669.8,4.82,,,,,,,
1,723.8,0,02:20.5,01:31.7,5.45,00:00.0,0,34,78,9.61,,706.8,5.05,,710.5,5.43,,677.3,4.81,,,,,,,
1,732.3,0,02:22.3,01:31.7,5.45,00:00.0,0,33,79,8.43,,715.9,5,,719.1,5.54,,686.1,4.81,,,,,,,
1,743,0,02:24.1,01:34.3,5.3,00:00.0,0,34,80,10.79,,725,5.11,,729,5.47,,694.8,4.96,,,,,,,
1,752.6,0,02:25.9,01:34.5,5.29,00:00.0,0,33,81,9.59,,733.1,5.09,,738.9,5.46,,702.5,4.93,,,,,,,
1,762.1,0,02:27.7,01:35.4,5.24,00:00.0,0,34,82,9.46,,742.3,4.99,,748.6,5.46,,712.6,4.83,,,,,,,
1,771.6,0,02:29.5,01:33.8,5.33,00:00.0,0,34,83,9.51,,750.4,5.04,,758.3,5.49,,720.4,4.9,,,,,,,
1,779.8,0,02:31.3,01:33.6,5.34,00:00.0,0,32,84,8.15,,760.6,5.01,,766.8,5.54,,729,4.82,,,,,,,
1,790.8,0,02:33.1,01:36.7,5.17,00:00.0,0,33,85,11.07,,769.6,4.97,,776.3,5.46,,737.9,4.83,,,,,,,
1,800.8,0,02:34.9,01:36.7,5.17,00:00.0,0,34,86,9.93,,777.7,5.03,,785.9,5.44,,746,4.99,,,,,,,
1,810.4,0,02:36.7,01:36.8,5.16,00:00.0,0,33,87,9.59,,786.8,5.1,,795.4,5.37,,755.1,5.13,,,,,,,
1,820.1,0,02:38.5,01:35.0,5.26,00:00.0,0,34,88,9.71,,795,5.12,,803.7,5.37,,763.1,5.12,,,,,,,
