index,TimeStamp (sec),workoutType,intervalType, lapIdx, Cadence (stokes/min), HRCur (bpm),workTime,restTime,lastSplitTime, Horizontal (meters),lastSplitDistance, Stroke500mPace (sec/500m),splitAvg500MPace,totalAvg500MPace, Power (watts),splitAvgPower,totalAvgPower,strokeCaloricBurnRate,strokeCount, DriveLength (meters), DriveTime (ms),strokeSpeed, AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, ElapsedTime (sec), StrokeRecoveryTime (ms),cumdist, StrokeDistance (meters), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1512573895.2,JustRowSplits,Distance,0,0.0,85.0,0:00:02,0:00:00,00:00.0,7.0,0,191.0,03:11.0,03:11.0,50.0,50,50,473,1.0,1.0,,,,,,0.0,,7,0.0,2.6178010471204187,,,1.0,4.0,0,inf,85.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,7.0,50.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1512573896.2,JustRowSplits,Distance,0,0.0,88.0,0:00:03,0:00:00,00:00.0,10.0,0,191.0,03:11.0,03:11.0,50.0,50,50,473,1.0,1.0,,,,,,1.0,,10,0.0,2.6178010471204187,,,1.0,4.0,0,inf,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,50.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1512573897.8000004,JustRowSplits,Distance,0,22.0,88.0,0:00:04,0:00:00,00:00.0,13.0,0,170.0,02:56.5,02:56.5,71.0,64,64,543,2.0,1.0,,,,,,2.6000003814697266,,13,0.0,2.9411764705882355,,,1.0,4.0,0,193.63636363636363,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,13.0,71.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1512573899.0000002,JustRowSplits,Distance,0,22.0,88.0,0:00:05,0:00:00,00:00.0,17.0,0,170.0,02:56.5,02:56.5,71.0,64,64,543,2.0,1.0,,,,,,3.8000001907348633,,17,0.0,2.9411764705882355,,,1.0,4.0,1,193.63636363636363,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,17.0,71.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1512573900.0000002,JustRowSplits,Distance,0,22.0,88.0,0:00:06,0:00:00,00:00.0,19.0,0,170.0,02:56.5,02:56.5,71.23956849175657,64,64,571,3.0,1.0,,,,,,4.800000190734863,,19,0.0,2.9411764705882355,,,1.0,4.0,1,194.2897322502452,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,19.0,71.23956849175657,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1512573901.0000002,JustRowSplits,Distance,0,23.0,88.0,0:00:07,0:00:00,00:00.0,22.0,0,164.0,02:51.5,02:51.5,79.0,69,69,571,3.0,1.0,,,,,,5.800000190734863,,22,0.0,3.048780487804878,,,1.0,4.0,1,206.08695652173913,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,22.0,79.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1512573902.0000002,JustRowSplits,Distance,0,23.0,88.0,0:00:08,0:00:00,00:00.0,25.0,0,164.0,02:51.5,02:51.5,79.0,69,69,571,3.0,1.0,,,,,,6.800000190734863,,25,0.0,3.048780487804878,,,1.0,4.0,2,206.08695652173913,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,25.0,79.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1512573903.8000004,JustRowSplits,Distance,0,23.0,92.0,0:00:10,0:00:00,00:00.0,32.0,0,158.0,02:47.5,02:47.5,88.0,74,74,604,4.0,1.0,,,,,,8.600000381469727,,32,0.0,3.1645569620253164,,,1.0,4.0,2,229.56521739130434,92.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,88.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1512573904.8000004,JustRowSplits,Distance,0,23.0,94.0,0:00:11,0:00:00,00:00.0,34.0,0,158.0,02:47.5,02:47.5,88.0,74,74,604,4.0,1.0,,,,,,9.600000381469727,,34,0.0,3.1645569620253164,,,1.0,4.0,3,229.56521739130434,94.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,34.0,88.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1512573906.0000002,JustRowSplits,Distance,0,22.0,97.0,0:00:12,0:00:00,00:00.0,39.0,0,153.0,02:44.0,02:44.0,98.0,79,79,637,5.0,1.0,,,,,,10.800000190734863,,39,0.0,3.2679738562091503,,,1.0,4.0,3,267.27272727272725,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,39.0,98.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,1512573907.2,JustRowSplits,Distance,0,22.0,97.0,0:00:13,0:00:00,00:00.0,43.0,0,153.0,02:44.0,02:44.0,98.0,79,79,637,5.0,1.0,,,,,,12.0,,43,0.0,3.2679738562091503,,,1.0,4.0,4,267.27272727272725,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.0,98.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,1512573908.6000001,JustRowSplits,Distance,0,22.0,97.0,0:00:15,0:00:00,00:00.0,48.0,0,148.0,02:40.8,02:40.8,108.0,84,84,671,6.0,1.0,,,,,,13.400000095367432,,48,0.0,3.3783783783783785,,,1.0,4.0,4,294.54545454545456,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.0,108.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,1512573909.8000004,JustRowSplits,Distance,0,22.0,97.0,0:00:16,0:00:00,00:00.0,52.0,0,148.0,02:40.8,02:40.8,108.0,84,84,671,6.0,1.0,,,,,,14.600000381469727,,52,0.0,3.3783783783783785,,,1.0,4.0,5,294.54545454545456,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,52.0,108.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,1512573911.8000004,JustRowSplits,Distance,0,23.0,97.0,0:00:18,0:00:00,00:00.0,56.0,0,149.0,02:38.8,02:38.8,107.0,87,87,667,7.0,1.0,,,,,,16.600000381469727,,56,0.0,3.3557046979865772,,,1.0,4.0,5,279.1304347826087,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,56.0,107.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,1512573912.8000004,JustRowSplits,Distance,0,23.0,97.0,0:00:19,0:00:00,00:00.0,60.0,0,149.0,02:38.8,02:38.8,107.0,87,87,667,7.0,1.0,,,,,,17.600000381469727,,60,0.0,3.3557046979865772,,,1.0,4.0,6,279.1304347826087,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.0,107.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,1512573913.8000004,JustRowSplits,Distance,0,23.0,97.0,0:00:20,0:00:00,00:00.0,63.0,0,149.0,02:38.8,02:38.8,107.0,87,87,667,7.0,1.0,,,,,,18.600000381469727,,63,0.0,3.3557046979865772,,,1.0,4.0,6,279.1304347826087,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,63.0,107.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,1512573914.8000004,JustRowSplits,Distance,0,23.0,97.0,0:00:21,0:00:00,00:00.0,66.0,0,149.0,02:38.8,02:38.8,107.0,87,87,667,7.0,1.0,,,,,,19.600000381469727,,66,0.0,3.3557046979865772,,,1.0,4.0,6,279.1304347826087,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.0,107.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,1512573915.8000004,JustRowSplits,Distance,0,14.0,97.0,0:00:22,0:00:00,00:00.0,71.0,0,163.0,02:39.6,02:39.6,81.0,86,86,579,8.0,1.0,,,,,,20.600000381469727,,71,0.0,3.067484662576687,,,1.0,4.0,7,347.14285714285717,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.0,81.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,1512573917.0000002,JustRowSplits,Distance,0,14.0,97.0,0:00:23,0:00:00,00:00.0,74.0,0,163.0,02:39.6,02:39.6,81.0,86,86,579,8.0,1.0,,,,,,21.800000190734863,,74,0.0,3.067484662576687,,,1.0,4.0,7,347.14285714285717,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,74.0,81.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,1512573918.6000001,JustRowSplits,Distance,0,24.0,97.0,0:00:25,0:00:00,00:00.0,79.0,0,151.0,02:38.7,02:38.7,102.0,88,88,650,9.0,1.0,,,,,,23.40000009536743,,79,0.0,3.3112582781456954,,,1.0,4.0,8,255.0,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,79.0,102.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,1512573919.6000001,JustRowSplits,Distance,0,24.0,97.0,0:00:26,0:00:00,00:00.0,83.0,0,151.0,02:38.7,02:38.7,102.0,88,88,650,9.0,1.0,,,,,,24.40000009536743,,83,0.0,3.3112582781456954,,,1.0,4.0,8,255.0,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,83.0,102.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
