Workout data for: priit    Club: sõudespinning    Date: 2017-12-10 15:48
DateTime;workoutType;intervalType;intervalCount;strokeRate;currentHeartRate;workTime;restTime;lastSplitTime;workDistance;lastSplitDistance;stroke500MPace;splitAvg500MPace;totalAvg500MPace;strokePower;splitAvgPower;totalAvgPower;strokeCaloricBurnRate;strokeCount;strokeLength;strokeDriveTime;strokeSpeed;strokeAverageForce;strokePeakForce;dragFactor;;PowerCurve
2017-12-10T15:52:50.8+02:00;VariableInterval;Rest;1;0;79;0:00:02;0:00:24;0:00:00.0;6;3;0:02:59;0:00:00.0;0:00:00.0;65535;0;61;65535;1;1,33;1,16;2,80;59;81;0;;
2017-12-10T15:52:52.0+02:00;VariableInterval;Rest;1;0;79;0:00:03;0:00:23;0:00:00.0;9;3;0:02:59;0:00:00.0;0:00:00.0;65535;0;61;65535;1;1,33;1,16;2,80;59;81;0;;
2017-12-10T15:52:53.0+02:00;VariableInterval;Rest;1;0;79;0:00:04;0:00:22;0:00:00.0;13;3;0:02:39;0:00:00.0;0:00:00.0;65535;0;79;65535;2;1,24;0,93;9,34;57;93;111;;
2017-12-10T15:52:54.0+02:00;VariableInterval;Rest;1;0;80;0:00:05;0:00:21;0:00:00.0;16;3;0:02:39;0:00:00.0;0:00:00.0;65535;0;79;65535;2;1,24;0,93;9,34;57;93;111;;
2017-12-10T15:52:55.1+02:00;VariableInterval;Rest;1;0;80;0:00:06;0:00:20;0:00:00.0;19;3;0:02:39;0:00:00.0;0:00:00.0;65535;0;79;65535;2;1,24;0,93;9,34;57;93;111;;
2017-12-10T15:52:56.2+02:00;VariableInterval;Rest;1;0;80;0:00:07;0:00:19;0:00:00.0;23;3;0:02:37;0:00:00.0;0:00:00.0;65535;0;83;65535;3;1,30;0,85;9,76;66;104;110;;
2017-12-10T15:52:57.2+02:00;VariableInterval;Rest;1;0;81;0:00:08;0:00:18;0:00:00.0;26;3;0:02:37;0:00:00.0;0:00:00.0;65535;0;83;65535;3;1,30;0,85;9,76;66;104;110;;
2017-12-10T15:52:58.3+02:00;VariableInterval;Rest;1;0;82;0:00:09;0:00:17;0:00:00.0;30;3;0:02:26;0:00:00.0;0:00:00.0;65535;0;91;65535;4;1,21;0,77;11,51;63;95;110;;
2017-12-10T15:52:59.3+02:00;VariableInterval;Rest;1;0;83;0:00:10;0:00:16;0:00:00.0;33;3;0:02:26;0:00:00.0;0:00:00.0;65535;0;91;65535;4;1,21;0,77;11,51;63;95;110;;
2017-12-10T15:53:00.4+02:00;VariableInterval;Rest;1;0;84;0:00:11;0:00:15;0:00:00.0;37;3;0:02:26;0:00:00.0;0:00:00.0;65535;0;91;65535;4;1,21;0,77;11,51;63;95;110;;
