index,TimeStamp (sec),workoutType,intervalType, lapIdx, Cadence (stokes/min), HRCur (bpm),workTime,restTime,lastSplitTime, Horizontal (meters),lastSplitDistance, Stroke500mPace (sec/500m),splitAvg500MPace,totalAvg500MPace, Power (watts),splitAvgPower,totalAvgPower,strokeCaloricBurnRate,strokeCount, DriveLength (meters), DriveTime (ms),strokeSpeed, AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, ElapsedTime (sec), StrokeRecoveryTime (ms),PowerCurve,cumdist, StrokeDistance (meters), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1512913971.6,VariableInterval,Rest,0.0,0.0,79.0,0:00:02,0:00:24,0:00:00.0,6.0,3,179.0,0:00:00.0,0:00:00.0,65535.0,0,61,65535,1.0,1.33,1160.0,"2,80",59.0,81.0,0.0,0.0,inf,,6.0,0.0,2.793296089385475,262.44498,360.30582,1.0,4.0,0,inf,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1512913972.0,VariableInterval,Rest,0.0,0.0,79.0,0:00:03,0:00:23,0:00:00.0,9.0,3,179.0,0:00:00.0,0:00:00.0,65535.0,0,61,65535,1.0,1.33,1160.0,"2,80",59.0,81.0,0.0,0.40000009536743164,inf,,9.0,0.0,2.793296089385475,262.44498,360.30582,1.0,4.0,0,inf,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,9.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1512913973.0,VariableInterval,Rest,0.0,0.0,79.0,0:00:04,0:00:22,0:00:00.0,13.0,3,159.0,0:00:00.0,0:00:00.0,65535.0,0,79,65535,2.0,1.24,930.0,"9,34",57.0,93.0,111.0,1.4000000953674316,inf,,13.0,0.0,3.1446540880503147,253.54854,413.68446,1.0,4.0,0,inf,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,13.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1512913974.0,VariableInterval,Rest,0.0,0.0,80.0,0:00:05,0:00:21,0:00:00.0,16.0,3,159.0,0:00:00.0,0:00:00.0,65535.0,0,79,65535,2.0,1.24,930.0,"9,34",57.0,93.0,111.0,2.4000000953674316,inf,,16.0,0.0,3.1446540880503147,253.54854,413.68446,1.0,4.0,0,inf,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,16.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1512913975.1999998,VariableInterval,Rest,0.0,0.0,80.0,0:00:06,0:00:20,0:00:00.0,19.0,3,159.0,0:00:00.0,0:00:00.0,65535.0,0,79,65535,2.0,1.24,930.0,"9,34",57.0,93.0,111.0,3.5999999046325684,inf,,19.0,0.0,3.1446540880503147,253.54854,413.68446,1.0,4.0,0,inf,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,19.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1512913976.4,VariableInterval,Rest,0.0,0.0,80.0,0:00:07,0:00:19,0:00:00.0,23.0,3,157.0,0:00:00.0,0:00:00.0,65535.0,0,83,65535,3.0,1.3,850.0,"9,76",66.0,104.0,110.0,4.800000190734863,inf,,23.0,0.0,3.1847133757961785,293.58252,462.61488,1.0,4.0,0,inf,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1512913977.4,VariableInterval,Rest,0.0,0.0,81.0,0:00:08,0:00:18,0:00:00.0,26.0,3,157.0,0:00:00.0,0:00:00.0,65535.0,0,83,65535,3.0,1.3,850.0,"9,76",66.0,104.0,110.0,5.800000190734863,inf,,26.0,0.0,3.1847133757961785,293.58252,462.61488,1.0,4.0,0,inf,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1512913978.6,VariableInterval,Rest,0.0,0.0,82.0,0:00:09,0:00:17,0:00:00.0,30.0,3,146.0,0:00:00.0,0:00:00.0,65535.0,0,91,65535,4.0,1.21,770.0,"11,51",63.0,95.0,110.0,7.0,inf,,30.0,0.0,3.4246575342465753,280.23786,422.5809,1.0,4.0,0,inf,82.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,30.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1512913979.6,VariableInterval,Rest,0.0,0.0,83.0,0:00:10,0:00:16,0:00:00.0,33.0,3,146.0,0:00:00.0,0:00:00.0,65535.0,0,91,65535,4.0,1.21,770.0,"11,51",63.0,95.0,110.0,8.0,inf,,33.0,0.0,3.4246575342465753,280.23786,422.5809,1.0,4.0,0,inf,83.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,33.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1512913980.8000002,VariableInterval,Rest,0.0,0.0,84.0,0:00:11,0:00:15,0:00:00.0,37.0,3,146.0,0:00:00.0,0:00:00.0,65535.0,0,91,65535,4.0,1.21,770.0,"11,51",63.0,95.0,110.0,9.200000286102295,inf,,37.0,0.0,3.4246575342465753,280.23786,422.5809,1.0,4.0,0,inf,84.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,37.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
10,1512913982.0,VariableInterval,Rest,0.0,0.0,85.0,0:00:12,0:00:14,0:00:00.0,40.0,3,144.0,0:00:00.0,0:00:00.0,65535.0,0,96,65535,5.0,1.21,750.0,"12,00",60.0,91.0,110.0,10.400000095367432,inf,,40.0,0.0,3.4722222222222223,266.8932,404.78802,1.0,4.0,0,inf,85.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
11,1512913983.1999998,VariableInterval,Rest,0.0,0.0,86.0,0:00:13,0:00:13,0:00:00.0,44.0,3,144.0,0:00:00.0,0:00:00.0,65535.0,0,96,65535,5.0,1.21,750.0,"12,00",60.0,91.0,110.0,11.599999904632568,inf,,44.0,0.0,3.4722222222222223,266.8932,404.78802,1.0,4.0,0,inf,86.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,44.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
12,1512913984.1999998,VariableInterval,Rest,0.0,0.0,86.0,0:00:14,0:00:12,0:00:00.0,48.0,3,144.0,0:00:00.0,0:00:00.0,65535.0,0,100,65535,6.0,1.21,750.0,"11,63",59.0,92.0,111.0,12.599999904632568,inf,,48.0,0.0,3.4722222222222223,262.44498,409.23624,1.0,4.0,0,inf,86.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
13,1512913985.6,VariableInterval,Rest,0.0,0.0,87.0,0:00:16,0:00:10,0:00:00.0,53.0,3,144.0,0:00:00.0,0:00:00.0,65535.0,0,100,65535,6.0,1.21,750.0,"11,63",59.0,92.0,111.0,14.0,inf,,53.0,0.0,3.4722222222222223,262.44498,409.23624,1.0,4.0,0,inf,87.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,53.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
14,1512913986.8000002,VariableInterval,Rest,0.0,0.0,88.0,0:00:17,0:00:09,0:00:00.0,56.0,3,145.0,0:00:00.0,0:00:00.0,65535.0,0,102,65535,7.0,1.21,760.0,"11,50",55.0,85.0,110.0,15.200000286102295,inf,,56.0,0.0,3.4482758620689653,244.6521,378.0987,1.0,4.0,0,inf,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,56.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
15,1512913987.0,VariableInterval,Rest,0.0,0.0,88.0,0:00:18,0:00:08,0:00:00.0,60.0,3,145.0,0:00:00.0,0:00:00.0,65535.0,0,102,65535,7.0,1.21,760.0,"11,50",55.0,85.0,110.0,15.400000095367432,inf,,60.0,0.0,3.4482758620689653,244.6521,378.0987,1.0,4.0,0,inf,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
16,1512913988.1999998,VariableInterval,Rest,0.0,0.0,89.0,0:00:19,0:00:07,0:00:00.0,64.0,3,145.0,0:00:00.0,0:00:00.0,65535.0,0,102,65535,8.0,1.18,740.0,"11,69",60.0,91.0,110.0,16.59999990463257,inf,,64.0,0.0,3.4482758620689653,266.8932,404.78802,1.0,4.0,0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,64.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
17,1512913989.1999998,VariableInterval,Rest,0.0,0.0,89.0,0:00:20,0:00:06,0:00:00.0,67.0,3,146.0,0:00:00.0,0:00:00.0,65535.0,0,103,65535,8.0,1.18,740.0,"11,69",60.0,91.0,110.0,17.59999990463257,inf,,67.0,0.0,3.4246575342465753,266.8932,404.78802,1.0,4.0,0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,67.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
18,1512913990.4,VariableInterval,Rest,0.0,0.0,89.0,0:00:21,0:00:05,0:00:00.0,70.0,3,146.0,0:00:00.0,0:00:00.0,65535.0,0,103,65535,8.0,1.18,740.0,"11,69",60.0,91.0,110.0,18.800000190734863,inf,,70.0,0.0,3.4246575342465753,266.8932,404.78802,1.0,4.0,0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,70.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
19,1512913991.6,VariableInterval,Rest,0.0,0.0,89.0,0:00:22,0:00:04,0:00:00.0,74.0,3,146.0,0:00:00.0,0:00:00.0,65535.0,0,104,65535,9.0,1.21,760.0,"11,38",56.0,83.0,110.0,20.0,inf,,74.0,0.0,3.4246575342465753,249.10032,369.20226,1.0,4.0,0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,74.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
20,1512913992.8000002,VariableInterval,Rest,0.0,0.0,89.0,0:00:23,0:00:03,0:00:00.0,78.0,3,146.0,0:00:00.0,0:00:00.0,65535.0,0,104,65535,9.0,1.21,760.0,"11,38",56.0,83.0,110.0,21.200000286102295,inf,,78.0,0.0,3.4246575342465753,249.10032,369.20226,1.0,4.0,0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,78.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
21,1512913993.8000002,VariableInterval,Rest,0.0,0.0,89.0,0:00:24,0:00:02,0:00:00.0,81.0,3,147.0,0:00:00.0,0:00:00.0,65535.0,0,105,65535,10.0,1.21,760.0,"11,09",55.0,81.0,110.0,22.200000286102295,inf,,81.0,0.0,3.401360544217687,244.6521,360.30582,1.0,4.0,0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,81.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
22,1512913994.8000002,VariableInterval,Rest,0.0,0.0,89.0,0:00:25,0:00:01,0:00:00.0,85.0,3,147.0,0:00:00.0,0:00:00.0,65535.0,0,105,65535,10.0,1.21,760.0,"11,09",55.0,81.0,110.0,23.200000286102295,inf,,85.0,0.0,3.401360544217687,244.6521,360.30582,1.0,4.0,0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,85.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
23,1512913996.0,VariableInterval,Distance,0.0,0.0,90.0,0:00:00,0:00:00,0:00:00.0,1.0,3,300.0,0:00:00.0,0:00:00.0,65535.0,0,0,65535,10.0,1.21,760.0,"11,09",55.0,81.0,110.0,24.40000009536743,inf,,86.0,0.0,1.6666666666666667,244.6521,360.30582,1.0,4.0,0,inf,90.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,86.0,0.0,0.0,0.0,0.0,0.0,65535.0,124.30000000000001,169.5,203.4,237.3,271.2
24,1512913997.1999998,VariableInterval,Distance,1.0,0.0,90.0,0:00:01,0:00:00,0:00:00.0,6.0,3,143.0,0:02:11.0,0:01:04.2,121.0,156,156,715,11.0,2.42,690.0,"3,52",65.0,95.0,110.0,25.59999990463257,inf,,91.0,0.0,3.4965034965034967,289.1343,422.5809,1.0,4.0,0,inf,90.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,91.0,121.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,1512913998.1999998,VariableInterval,Distance,1.0,0.0,91.0,0:00:02,0:00:00,0:00:00.0,10.0,3,143.0,0:02:11.0,0:01:04.2,121.0,156,156,715,11.0,2.42,690.0,"3,52",65.0,95.0,110.0,26.59999990463257,inf,,95.0,0.0,3.4965034965034967,289.1343,422.5809,1.0,4.0,0,inf,91.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,95.0,121.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,1512913999.4,VariableInterval,Distance,1.0,25.0,91.0,0:00:03,0:00:00,0:00:00.0,13.0,3,145.0,0:02:21.4,0:01:53.3,116.0,124,124,698,12.0,1.18,730.0,"11,55",60.0,92.0,110.0,27.800000190734863,1670.0,,98.0,0.0,3.4482758620689653,266.8932,409.23624,1.0,4.0,0,278.4,91.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,98.0,116.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
