Workout data for: Mike    Club: PBC    Date: 2016-11-28 08:37
workoutType,intervalType,intervalCount,strokeRate,currentHeartRate,workTime,restTime,lastSplitTime,workDistance,lastSplitDistance,stroke500MPace,splitAvg500MPace,totalAvg500MPace,strokePower,splitAvgPower,totalAvgPower,strokeCaloricBurnRate,strokeCount,strokeLength,strokeDriveTime,strokeSpeed,strokeAverageForce,strokePeakForce,dragFactor,,PowerCurve
FixedTimeSplits,Time,0,0,76,0:00:02,0:00:00,0:00:00.0,6,0,0:03:02,0:03:02.4,0:03:02.4,58,58,58,498,1,1.06,0.94,2.74,58,100,0,,
FixedTimeSplits,Time,0,38,77,0:00:03,0:00:00,0:00:00.0,10,0,0:02:40,0:02:47.6,0:02:47.6,86,74,74,595,2,0.91,0.65,7.58,80,114,113,,
FixedTimeSplits,Time,0,41,79,0:00:04,0:00:00,0:00:00.0,13,0,0:02:26,0:02:39.0,0:02:39.0,112,87,87,686,3,0.91,0.53,9.38,87,118,113,,
FixedTimeSplits,Time,0,41,80,0:00:05,0:00:00,0:00:00.0,17,0,0:02:26,0:02:39.0,0:02:39.0,112,87,87,686,3,0.91,0.53,9.38,87,118,113,,
FixedTimeSplits,Time,0,31,81,0:00:06,0:00:00,0:00:00.0,21,0,0:02:12,0:02:29.2,0:02:29.2,151,105,105,820,4,1.27,0.68,10.71,96,143,112,,
FixedTimeSplits,Time,0,31,83,0:00:07,0:00:00,0:00:00.0,25,0,0:02:12,0:02:29.2,0:02:29.2,151,105,105,820,4,1.27,0.68,10.71,96,143,112,,
FixedTimeSplits,Time,0,31,84,0:00:08,0:00:00,0:00:00.0,29,0,0:02:12,0:02:29.2,0:02:29.2,151,105,105,820,4,1.27,0.68,10.71,96,143,112,,
FixedTimeSplits,Time,0,23,85,0:00:09,0:00:00,0:00:00.0,33,0,0:02:06,0:02:21.1,0:02:21.1,177,125,125,908,5,1.36,0.71,14.49,92,127,113,,
FixedTimeSplits,Time,0,23,87,0:00:10,0:00:00,0:00:00.0,37,0,0:02:06,0:02:21.1,0:02:21.1,177,125,125,908,5,1.36,0.71,14.49,92,127,113,,
FixedTimeSplits,Time,0,23,88,0:00:11,0:00:00,0:00:00.0,41,0,0:02:06,0:02:21.1,0:02:21.1,177,125,125,908,5,1.36,0.71,14.49,92,127,113,,
FixedTimeSplits,Time,0,19,89,0:00:12,0:00:00,0:00:00.0,45,0,0:02:07,0:02:17.0,0:02:17.0,171,136,136,887,6,1.42,0.73,17.08,110,152,113,,
FixedTimeSplits,Time,0,19,90,0:00:13,0:00:00,0:00:00.0,49,0,0:02:07,0:02:17.0,0:02:17.0,171,136,136,887,6,1.42,0.73,17.08,110,152,113,,
FixedTimeSplits,Time,0,19,91,0:00:14,0:00:00,0:00:00.0,53,0,0:02:07,0:02:17.0,0:02:17.0,171,136,136,887,6,1.42,0.73,17.08,110,152,113,,
FixedTimeSplits,Time,0,21,92,0:00:15,0:00:00,0:00:00.0,57,0,0:02:02,0:02:13.8,0:02:13.8,192,146,146,959,7,1.42,0.71,16.44,101,143,113,,
FixedTimeSplits,Time,0,21,93,0:00:16,0:00:00,0:00:00.0,61,0,0:02:02,0:02:13.8,0:02:13.8,192,146,146,959,7,1.42,0.71,16.44,101,143,113,,
FixedTimeSplits,Time,0,21,94,0:00:17,0:00:00,0:00:00.0,66,0,0:02:02,0:02:11.8,0:02:11.8,192,153,153,963,8,1.39,0.69,16.59,101,144,113,,
FixedTimeSplits,Time,0,21,95,0:00:18,0:00:00,0:00:00.0,70,0,0:02:02,0:02:11.8,0:02:11.8,192,153,153,963,8,1.39,0.69,16.59,101,144,113,,
FixedTimeSplits,Time,0,21,96,0:00:19,0:00:00,0:00:00.0,73,0,0:02:02,0:02:11.8,0:02:11.8,192,153,153,963,8,1.39,0.69,16.59,101,144,113,,
