index,workoutType,intervalType, lapIdx, Cadence (stokes/min), HRCur (bpm),workTime,restTime,lastSplitTime, Horizontal (meters),lastSplitDistance, Stroke500mPace (sec/500m),splitAvg500MPace,totalAvg500MPace, Power (watts),splitAvgPower,totalAvgPower,strokeCaloricBurnRate,strokeCount, DriveLength (meters), DriveTime (ms),strokeSpeed, AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor,Unnamed: 24,TimeStamp (sec), ElapsedTime (sec), StrokeRecoveryTime (ms),PowerCurve,cumdist, StrokeDistance (meters), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,FixedTimeSplits,Time,0,0.0,76.0,0:00:02,0:00:00,0:00:00.0,6.0,0,182.0,0:03:02.4,0:03:02.4,58.0,58,58,498,1.0,1.06,940.0,2.74,58.0,100.0,0.0,,1480322222.0,0.0,inf,,6,0.0,2.7472527472527473,257.99676,444.822,1.0,4.0,0,inf,76.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.0,58.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,FixedTimeSplits,Time,0,38.0,77.0,0:00:03,0:00:00,0:00:00.0,10.0,0,160.0,0:02:47.6,0:02:47.6,86.0,74,74,595,2.0,0.91,650.0,7.58,80.0,114.0,113.0,,1480322223.0,1.0,928.9473684210527,,10,0.0,3.125,355.8576,507.09708,1.0,4.0,0,135.78947368421052,77.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,86.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,FixedTimeSplits,Time,0,41.0,79.0,0:00:04,0:00:00,0:00:00.0,13.0,0,146.0,0:02:39.0,0:02:39.0,112.0,87,87,686,3.0,0.91,530.0,9.38,87.0,118.0,113.0,,1480322224.0,2.0,933.4146341463415,,13,0.0,3.4246575342465753,386.99514,524.88996,1.0,4.0,1,163.90243902439025,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,13.0,112.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,FixedTimeSplits,Time,0,41.0,80.0,0:00:05,0:00:00,0:00:00.0,17.0,0,146.0,0:02:39.0,0:02:39.0,112.0,87,87,686,3.0,0.91,530.0,9.38,87.0,118.0,113.0,,1480322225.0,3.0,933.4146341463415,,17,0.0,3.4246575342465753,386.99514,524.88996,1.0,4.0,2,163.90243902439025,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,17.0,112.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,FixedTimeSplits,Time,0,31.0,81.0,0:00:06,0:00:00,0:00:00.0,21.0,0,132.0,0:02:29.2,0:02:29.2,151.0,105,105,820,4.0,1.27,680.0,10.71,96.0,143.0,112.0,,1480322226.0,4.0,1255.483870967742,,21,0.0,3.787878787878788,427.02912000000003,636.09546,1.0,4.0,2,292.258064516129,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,21.0,0.0,151.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,FixedTimeSplits,Time,0,31.0,83.0,0:00:07,0:00:00,0:00:00.0,25.0,0,132.0,0:02:29.2,0:02:29.2,151.0,105,105,820,4.0,1.27,680.0,10.71,96.0,143.0,112.0,,1480322227.0,5.0,1255.483870967742,,25,0.0,3.787878787878788,427.02912000000003,636.09546,1.0,4.0,3,292.258064516129,83.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,25.0,0.0,151.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,FixedTimeSplits,Time,0,31.0,84.0,0:00:08,0:00:00,0:00:00.0,29.0,0,132.0,0:02:29.2,0:02:29.2,151.0,105,105,820,4.0,1.27,680.0,10.71,96.0,143.0,112.0,,1480322228.0,6.0,1255.483870967742,,29,0.0,3.787878787878788,427.02912000000003,636.09546,1.0,4.0,3,292.258064516129,84.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.0,0.0,151.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,FixedTimeSplits,Time,0,23.0,85.0,0:00:09,0:00:00,0:00:00.0,33.0,0,126.0,0:02:21.1,0:02:21.1,177.0,125,125,908,5.0,1.36,710.0,14.49,92.0,127.0,113.0,,1480322229.0,7.0,1898.695652173913,,33,0.0,3.9682539682539684,409.23624,564.92394,1.0,4.0,3,461.7391304347826,85.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,33.0,0.0,0.0,177.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,FixedTimeSplits,Time,0,23.0,87.0,0:00:10,0:00:00,0:00:00.0,37.0,0,126.0,0:02:21.1,0:02:21.1,177.0,125,125,908,5.0,1.36,710.0,14.49,92.0,127.0,113.0,,1480322230.0,8.0,1898.695652173913,,37,0.0,3.9682539682539684,409.23624,564.92394,1.0,4.0,4,461.7391304347826,87.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,37.0,0.0,0.0,177.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,FixedTimeSplits,Time,0,23.0,88.0,0:00:11,0:00:00,0:00:00.0,41.0,0,126.0,0:02:21.1,0:02:21.1,177.0,125,125,908,5.0,1.36,710.0,14.49,92.0,127.0,113.0,,1480322231.0,9.0,1898.695652173913,,41,0.0,3.9682539682539684,409.23624,564.92394,1.0,4.0,4,461.7391304347826,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.0,0.0,0.0,177.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
