index,TimeStamp (sec),workoutType,intervalType, lapIdx, Cadence (stokes/min), HRCur (bpm),workTime,restTime,lastSplitTime, Horizontal (meters),lastSplitDistance, Stroke500mPace (sec/500m),splitAvg500MPace,totalAvg500MPace, Power (watts),splitAvgPower,totalAvgPower,strokeCaloricBurnRate,strokeCount, DriveLength (meters), DriveTime (ms),strokeSpeed, AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, ElapsedTime (sec), StrokeRecoveryTime (ms),PowerCurve,cumdist, StrokeDistance (meters), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1655123497.8,FixedDistanceSplits,none,0,0.0,116.0,0:00:00,0:00:00,0:00:00.0,0.0,0,129.0,0:02:09.3,0:02:09.3,162.0,162,162,858,0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,inf,4,0,0.0,3.875968992248062,0.0,0.0,1.0,4.0,0,inf,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,162.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1655123498.8,FixedDistanceSplits,none,0,55.0,116.0,0:00:01,0:00:00,0:00:00.0,5.0,0,104.0,0:01:53.0,0:01:53.0,310.0,243,243,1367,2,1.06,500.0,10.4,142.0,286.0,183.0,1.0,590.909090909091,"285,285",5,0.0,4.8076923076923075,631.64724,1272.19092,1.0,4.0,0,338.1818181818182,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,5.0,0.0,0.0,0.0,0.0,0.0,310.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1655123499.8,FixedDistanceSplits,none,0,58.0,116.0,0:00:03,0:00:00,0:00:00.0,10.0,0,95.0,0:01:45.8,0:01:45.8,406.0,295,295,1697,3,1.09,450.0,11.98,117.0,160.0,107.0,2.0,584.4827586206898,,10,0.0,5.2631578947368425,520.44174,711.7152,1.0,4.0,1,420.0,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,406.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1655123500.8,FixedDistanceSplits,none,0,61.0,118.0,0:00:03,0:00:00,0:00:00.0,14.0,0,101.0,0:01:44.6,0:01:44.6,338.0,306,306,1464,4,1.06,400.0,12.25,109.0,152.0,110.0,3.0,583.6065573770492,,14,0.0,4.9504950495049505,484.85598,676.12944,1.0,4.0,2,332.4590163934426,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,14.0,0.0,0.0,0.0,0.0,0.0,338.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1655123501.8,FixedDistanceSplits,none,0,59.0,120.0,0:00:04,0:00:00,0:00:00.0,20.0,0,98.0,0:01:43.1,0:01:43.1,371.0,319,319,1579,5,1.06,390.0,13.36,109.0,156.0,109.0,4.0,626.9491525423729,,20,0.0,5.1020408163265305,484.85598,693.92232,1.0,4.0,3,377.2881355932203,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,371.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1655123502.8,FixedDistanceSplits,none,0,59.0,121.0,0:00:05,0:00:00,0:00:00.0,24.0,0,98.0,0:01:43.1,0:01:43.1,371.0,319,319,1579,6,1.06,390.0,15.15,109.0,156.0,109.0,5.0,626.9491525423729,,24,0.0,5.1020408163265305,484.85598,693.92232,1.0,4.0,4,377.2881355932203,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,24.0,0.0,0.0,0.0,0.0,0.0,371.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1655123503.8,FixedDistanceSplits,none,0,52.0,123.0,0:00:06,0:00:00,0:00:00.0,29.0,0,97.0,0:01:42.0,0:01:42.0,379.0,330,330,1604,6,1.15,430.0,13.74,115.0,165.0,109.0,6.0,723.8461538461538,,29,0.0,5.154639175257732,511.5453,733.9563,1.0,4.0,5,437.3076923076923,123.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.0,0.0,0.0,0.0,0.0,0.0,379.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1655123504.8,FixedDistanceSplits,none,0,41.0,125.0,0:00:07,0:00:00,0:00:00.0,34.0,0,98.0,0:01:41.2,0:01:41.2,371.0,338,338,1577,7,1.24,480.0,15.56,116.0,161.0,107.0,7.0,983.4146341463415,,34,0.0,5.1020408163265305,515.99352,716.16342,1.0,4.0,6,542.9268292682926,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,34.0,0.0,0.0,0.0,0.0,0.0,371.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1655123505.8,FixedDistanceSplits,none,0,41.0,127.0,0:00:08,0:00:00,0:00:00.0,39.0,0,98.0,0:01:41.2,0:01:41.2,371.0,338,338,1577,7,1.24,480.0,15.56,116.0,161.0,107.0,8.0,983.4146341463415,,39,0.0,5.1020408163265305,515.99352,716.16342,1.0,4.0,7,542.9268292682926,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,39.0,0.0,0.0,0.0,0.0,0.0,371.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1655123506.8,FixedDistanceSplits,none,0,36.0,129.0,0:00:09,0:00:00,0:00:00.0,44.0,0,100.0,0:01:40.9,0:01:40.9,352.0,340,340,1512,8,1.33,520.0,16.08,117.0,168.0,107.0,9.0,1146.6666666666667,,44,0.0,5.0,520.44174,747.30096,1.0,4.0,7,586.6666666666666,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,44.0,0.0,0.0,0.0,0.0,0.0,352.0,124.30000000000001,169.5,203.4,237.3,271.2
