To determine when a piece begins or ends look for the piece number to change.,,,,,,,,,,,,,,,,
Workout data for: sander    Club: CVK Brno    Date: 2017-09-25 17:22,,,,,,,,,,,,,,,,
DateTime,TOTAL Time Since Start BoatCoach,TOTAL Distance Since Start BoatCoach(m),Elapsed Time,Piece Number,Stroke Rate,Cumulative Stroke Count,Piece Stroke Count,Cumulative Distance(m),Piece Distance(km),Average Speed(/500m),Last 10 Stroke Speed(/500m),Heart Rate,Calories,Calories/hr,Latitude,Longitude
2017-09-25 17:22:24.1 GMT+02:00,0:00:01,0,0:00:01,0,0,0,0,0,0,--,--,0,0,0,0,0
2017-09-25 17:22:25.1 GMT+02:00,0:00:02,0,0:00:02,0,0,0,0,0,0,--,--,0,0,0,49.238889,16.513396
2017-09-25 17:22:26.1 GMT+02:00,0:00:03,10,0:00:03,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238928,16.513265
2017-09-25 17:22:27.1 GMT+02:00,0:00:04,10,0:00:04,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238928,16.513265
2017-09-25 17:22:28.1 GMT+02:00,0:00:05,10,0:00:05,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.23895,16.51328
2017-09-25 17:22:29.1 GMT+02:00,0:00:06,10,0:00:06,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.23891,16.513293
2017-09-25 17:22:30.1 GMT+02:00,0:00:07,10,0:00:07,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238959,16.513256
2017-09-25 17:22:31.3 GMT+02:00,0:00:08,10,0:00:08,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238971,16.513213
2017-09-25 17:22:32.3 GMT+02:00,0:00:09,10,0:00:09,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238971,16.513213
2017-09-25 17:22:33.3 GMT+02:00,0:00:10,10,0:00:10,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238971,16.513213
2017-09-25 17:22:34.3 GMT+02:00,0:00:11,10,0:00:11,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238971,16.513213
2017-09-25 17:22:35.3 GMT+02:00,0:00:12,10,0:00:12,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238971,16.513213
2017-09-25 17:22:36.3 GMT+02:00,0:00:13,10,0:00:13,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238971,16.513213
2017-09-25 17:22:37.3 GMT+02:00,0:00:14,10,0:00:14,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238971,16.513213
2017-09-25 17:22:38.3 GMT+02:00,0:00:15,10,0:00:15,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238981,16.513178
2017-09-25 17:22:39.3 GMT+02:00,0:00:16,10,0:00:16,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238981,16.513178
2017-09-25 17:22:40.3 GMT+02:00,0:00:17,10,0:00:17,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238981,16.513178
2017-09-25 17:22:41.4 GMT+02:00,0:00:18,10,0:00:18,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238981,16.513178
2017-09-25 17:22:42.5 GMT+02:00,0:00:19,10,0:00:19,0,0,0,0,10,0.01,0:00:48,--,0,0,0,49.238981,16.513178
2017-09-25 17:22:43.0 GMT+02:00,0:00:19,20,0:00:19,0,0,0,0,21,0.02,0:06:59,--,0,0,0,49.238997,16.513157
2017-09-25 17:22:44.0 GMT+02:00,0:00:20,20,0:00:20,0,0,0,0,21,0.02,0:06:59,--,0,0,0,49.238997,16.513157
2017-09-25 17:22:45.0 GMT+02:00,0:00:21,20,0:00:21,0,0,0,0,21,0.02,0:06:59,--,0,0,0,49.238997,16.513157
2017-09-25 17:22:46.0 GMT+02:00,0:00:22,20,0:00:22,0,0,0,0,21,0.02,0:06:59,--,0,0,0,49.238997,16.513157
2017-09-25 17:22:47.2 GMT+02:00,0:00:24,20,0:00:24,0,0,1,1,21,0.02,0:06:59,--,0,0,0,49.238997,16.513157
2017-09-25 17:22:48.2 GMT+02:00,0:00:25,20,0:00:25,0,0,1,1,21,0.02,0:06:59,--,0,0,0,49.239005,16.513123
2017-09-25 17:22:49.3 GMT+02:00,0:00:26,20,0:00:26,0,0,1,1,21,0.02,0:06:59,--,0,0,0,49.239005,16.513123
2017-09-25 17:22:50.3 GMT+02:00,0:00:27,20,0:00:27,0,23.2,2,2,21,0.02,0:06:59,--,0,0,0,49.239005,16.513123
2017-09-25 17:22:51.3 GMT+02:00,0:00:28,20,0:00:28,0,23.2,2,2,21,0.02,0:06:59,--,0,0,0,49.239015,16.513091
2017-09-25 17:22:52.4 GMT+02:00,0:00:29,20,0:00:29,0,23.2,2,2,21,0.02,0:06:59,--,0,0,0,49.239015,16.513091
2017-09-25 17:22:53.4 GMT+02:00,0:00:30,20,0:00:30,0,23.2,2,2,21,0.02,0:06:59,--,0,0,0,49.239015,16.513091
2017-09-25 17:22:54.5 GMT+02:00,0:00:31,20,0:00:31,0,23.2,2,2,21,0.02,0:06:59,--,0,0,0,49.239015,16.513091
2017-09-25 17:22:55.0 GMT+02:00,0:00:31,20,0:00:31,0,23.2,2,2,21,0.02,0:06:59,--,0,0,0,49.239021,16.513059
2017-09-25 17:22:56.0 GMT+02:00,0:00:32,20,0:00:32,0,23.2,3,3,21,0.02,0:06:59,--,0,0,0,49.239021,16.513059
2017-09-25 17:22:57.1 GMT+02:00,0:00:33,20,0:00:33,0,23.2,3,3,21,0.02,0:06:59,--,0,0,0,49.239021,16.513059
2017-09-25 17:22:58.1 GMT+02:00,0:00:34,20,0:00:34,0,23.2,3,3,21,0.02,0:06:59,--,0,0,0,49.239021,16.513059
2017-09-25 17:22:59.1 GMT+02:00,0:00:35,20,0:00:35,0,23.2,3,3,21,0.02,0:06:59,--,0,0,0,49.239024,16.513028
2017-09-25 17:23:00.2 GMT+02:00,0:00:37,20,0:00:37,0,23.2,3,3,21,0.02,0:06:59,--,0,0,0,49.239024,16.513028
2017-09-25 17:23:01.2 GMT+02:00,0:00:38,20,0:00:38,0,23.2,3,3,21,0.02,0:06:59,--,0,0,0,49.239024,16.513028
2017-09-25 17:23:02.3 GMT+02:00,0:00:39,20,0:00:39,0,23.2,3,3,21,0.02,0:06:59,--,0,0,0,49.239024,16.513028
2017-09-25 17:23:03.3 GMT+02:00,0:00:40,32,0:00:40,0,23.2,3,3,34,0.03,0:09:22,--,0,1,300,49.239037,16.512998
2017-09-25 17:23:04.3 GMT+02:00,0:00:41,32,0:00:41,0,23.2,3,3,34,0.03,0:09:22,--,0,1,300,49.239037,16.512998
2017-09-25 17:23:05.4 GMT+02:00,0:00:42,32,0:00:42,0,23.2,3,3,34,0.03,0:09:22,--,0,1,300,49.239037,16.512998
2017-09-25 17:23:06.4 GMT+02:00,0:00:43,32,0:00:43,0,23.2,3,3,34,0.03,0:09:22,--,0,1,300,49.239037,16.512998
2017-09-25 17:23:07.5 GMT+02:00,0:00:44,32,0:00:44,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239037,16.512998
2017-09-25 17:23:08.0 GMT+02:00,0:00:44,32,0:00:44,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239045,16.51297
2017-09-25 17:23:09.1 GMT+02:00,0:00:45,32,0:00:45,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239045,16.51297
2017-09-25 17:23:10.2 GMT+02:00,0:00:47,32,0:00:47,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239045,16.51297
2017-09-25 17:23:11.2 GMT+02:00,0:00:48,32,0:00:48,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239045,16.51297
2017-09-25 17:23:12.2 GMT+02:00,0:00:49,32,0:00:49,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239045,16.51297
2017-09-25 17:23:13.3 GMT+02:00,0:00:50,32,0:00:50,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239045,16.51297
2017-09-25 17:23:14.3 GMT+02:00,0:00:51,32,0:00:51,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239045,16.51297
2017-09-25 17:23:15.4 GMT+02:00,0:00:52,32,0:00:52,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239055,16.512942
2017-09-25 17:23:16.4 GMT+02:00,0:00:53,32,0:00:53,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239055,16.512942
2017-09-25 17:23:17.4 GMT+02:00,0:00:54,32,0:00:54,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239055,16.512942
2017-09-25 17:23:18.0 GMT+02:00,0:00:54,32,0:00:54,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239055,16.512942
2017-09-25 17:23:19.0 GMT+02:00,0:00:55,32,0:00:55,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239067,16.512914
2017-09-25 17:23:20.0 GMT+02:00,0:00:56,32,0:00:56,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239067,16.512914
2017-09-25 17:23:21.1 GMT+02:00,0:00:58,32,0:00:58,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239067,16.512914
2017-09-25 17:23:22.1 GMT+02:00,0:00:59,32,0:00:59,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239067,16.512914
2017-09-25 17:23:23.2 GMT+02:00,0:01:00,32,0:01:00,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239081,16.51289
2017-09-25 17:23:24.2 GMT+02:00,0:01:01,32,0:01:01,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239081,16.51289
2017-09-25 17:23:25.2 GMT+02:00,0:01:02,32,0:01:02,0,10.6,4,4,34,0.03,0:09:22,--,0,1,300,49.239081,16.51289
2017-09-25 17:23:26.3 GMT+02:00,0:01:03,32,0:01:03,0,5.3,5,5,34,0.03,0:09:22,--,0,1,300,49.239081,16.51289
2017-09-25 17:23:27.3 GMT+02:00,0:01:04,32,0:01:04,0,5.3,5,5,34,0.03,0:09:22,--,0,1,300,49.239081,16.51289
2017-09-25 17:23:28.4 GMT+02:00,0:01:05,32,0:01:05,0,5.3,5,5,34,0.03,0:09:22,--,0,1,300,49.239081,16.51289
2017-09-25 17:23:29.4 GMT+02:00,0:01:06,43,0:01:06,0,5.3,6,6,45,0.04,0:11:54,--,0,3,300,49.239098,16.512878
2017-09-25 17:23:30.4 GMT+02:00,0:01:07,43,0:01:07,0,5.3,6,6,45,0.04,0:11:54,--,0,3,300,49.239098,16.512878
2017-09-25 17:23:31.0 GMT+02:00,0:01:07,43,0:01:07,0,5.3,6,6,45,0.04,0:11:54,--,0,3,300,49.239098,16.512878
2017-09-25 17:23:32.0 GMT+02:00,0:01:08,43,0:01:08,0,5.3,6,6,45,0.04,0:11:54,--,0,3,300,49.239117,16.512842
2017-09-25 17:23:33.0 GMT+02:00,0:01:09,43,0:01:09,0,5.3,6,6,45,0.04,0:11:54,--,0,3,300,49.239117,16.512842
2017-09-25 17:23:34.2 GMT+02:00,0:01:11,43,0:01:11,0,5.3,6,6,45,0.04,0:11:54,--,0,3,300,49.239137,16.512807
2017-09-25 17:23:35.2 GMT+02:00,0:01:12,43,0:01:12,0,11,7,7,45,0.04,0:11:54,--,0,3,300,49.239137,16.512807
2017-09-25 17:23:36.3 GMT+02:00,0:01:13,43,0:01:13,0,11,7,7,45,0.04,0:11:54,--,0,3,300,49.239155,16.512775
2017-09-25 17:23:37.3 GMT+02:00,0:01:14,43,0:01:14,0,19,8,8,45,0.04,0:11:54,--,0,3,300,49.239155,16.512775
2017-09-25 17:23:38.3 GMT+02:00,0:01:15,55,0:01:15,0,23.4,9,9,57,0.06,0:10:36,--,0,5,300,49.239174,16.512749
2017-09-25 17:23:39.4 GMT+02:00,0:01:16,55,0:01:16,0,23.4,9,9,57,0.06,0:10:36,--,0,5,300,49.239174,16.512749
2017-09-25 17:23:40.4 GMT+02:00,0:01:17,55,0:01:17,0,34.5,10,10,57,0.06,0:10:36,--,0,5,300,49.23919,16.512729
