index,TimeStamp (sec),TOTAL Time Since Start BoatCoach, Horizontal (meters),Elapsed Time, lapIdx, Cadence (stokes/min),Cumulative Stroke Count,Piece Stroke Count,Cumulative Distance(m),Piece Distance(km),Average Speed(/500m), Stroke500mPace (sec/500m), HRCur (bpm),Calories,Calories/hr, latitude, longitude, ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1506367344.2,0:00:01,0.0,0:00:01,0,0.0,0,0,0,0,--,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1506367345.2,0:00:02,0.0,0:00:02,0,0.0,0,0,0,0,--,0.0,0.0,0,0,49.238889,16.513396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1506367346.2,0:00:03,10.0,0:00:03,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.238928,16.513265,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1506367347.2,0:00:04,10.0,0:00:04,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.238928,16.513265,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1506367348.2,0:00:05,10.0,0:00:05,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.23895,16.51328,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1506367349.2,0:00:06,10.0,0:00:06,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.23891,16.513293,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1506367350.2,0:00:07,10.0,0:00:07,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.238959,16.513256,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1506367351.6000001,0:00:08,10.0,0:00:08,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.238971,16.513213,7.400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1506367352.6000001,0:00:09,10.0,0:00:09,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.238971,16.513213,8.400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1506367353.6000001,0:00:10,10.0,0:00:10,0,0.0,0,0,10,0.01,0:00:48,0.0,0.0,0,0,49.238971,16.513213,9.400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
