TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (strokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, ElapsedTimeAtDrive (sec), HorizontalAtDrive (meters), WorkoutType, IntervalType, WorkoutState, RowingState, WorkoutDurationType, WorkoutIntervalCount
1496171056.3832107, 0, 0, 0, 1.29, 4.1, 160.58, 0, 103, 85, 0, 3.123, 1, 3.5, 1.42, 1120, 0, 0, 74, 113.9, 0, 0, 0, 3, 1, 1, 1, 128, 0
1496171059.287521, 0, 0, 1, 4.24, 14.6, 141.3, 20, 108, 125, 0, 3.551, 2, 10.5, 1.42, 890, 1890, 370.7, 80.5, 135, 97, 1.29, 4.1, 3, 1, 1, 1, 128, 0
1496171062.6753604, 0, 0, 2, 7.63, 26.3, 145.88, 18, 110, 114, 1, 3.439, 3, 11.44, 1.42, 820, 2320, 379, 75, 129, 97, 4.24, 14.6, 3, 1, 1, 1, 128, 0
1496171065.8670802, 0, 0, 3, 10.8, 37.5, 141.76, 19, 113, 124, 2, 3.539, 4, 11.43, 1.39, 770, 2260, 401.1, 84.7, 144.5, 96, 7.63, 26.3, 3, 1, 1, 1, 128, 0
1496171069.0071902, 0, 0, 4, 13.95, 49.1, 137, 19, 114, 138, 2, 3.662, 5, 11.49, 1.39, 760, 2190, 431.7, 81.8, 145.1, 96, 10.8, 37.5, 3, 1, 1, 1, 128, 0
1496171072.069061, 0, 0, 5, 17, 60.3, 136.01, 19, 118, 141, 3, 3.689, 6, 11.41, 1.39, 760, 2150, 435, 74.5, 129.4, 96, 13.95, 49.1, 3, 1, 1, 1, 128, 0
1496171075.0974407, 0, 0, 6, 20.06, 71.5, 137.21, 20, 120, 137, 4, 3.657, 7, 11, 1.39, 770, 2050, 412.2, 74.3, 130, 96, 17, 60.3, 3, 1, 1, 1, 128, 0
1496171078.1850407, 0, 0, 7, 23.09, 82.6, 137.35, 20, 121, 137, 4, 3.653, 8, 11.01, 1.39, 760, 2060, 411.7, 75.8, 137.5, 96, 20.06, 71.5, 3, 1, 1, 1, 128, 0
1496171081.0676298, 0, 0, 8, 26.03, 93.4, 136.46, 21, 122, 139, 5, 3.677, 9, 10.73, 1.39, 760, 1970, 406.6, 73.5, 126.3, 96, 23.09, 82.6, 3, 1, 1, 1, 128, 0
1496171084.0352597, 0, 0, 9, 28.96, 104.1, 137.16, 20, 122, 137, 5, 3.658, 10, 11.01, 1.39, 760, 2060, 412.8, 76.7, 130.8, 96, 26.03, 93.4, 3, 1, 1, 1, 128, 0
1496171087.07272, 0, 0, 10, 32, 115.2, 137.09, 20, 122, 137, 6, 3.66, 11, 11.15, 1.36, 740, 2110, 418.5, 77.4, 141.2, 96, 28.96, 104.1, 3, 1, 1, 1, 128, 0
1496171090.0969498, 0, 0, 11, 35.06, 126.4, 136.98, 20, 122, 138, 7, 3.663, 12, 11.01, 1.36, 740, 2080, 413.8, 78.7, 136.1, 96, 32, 115.2, 3, 1, 1, 1, 128, 0
1496171093.1682203, 0, 0, 12, 38.1, 137.6, 136.95, 19, 123, 138, 7, 3.664, 13, 11.34, 1.39, 760, 2150, 426.5, 78.6, 144.1, 96, 35.06, 126.4, 3, 1, 1, 1, 128, 0
1496171096.2155907, 0, 0, 13, 41.14, 148.8, 136.1, 20, 125, 140, 8, 3.687, 14, 11.21, 1.42, 770, 2080, 426.8, 79, 136.9, 96, 38.1, 137.6, 3, 1, 1, 1, 128, 0
1496171099.1250606, 0, 0, 14, 44.07, 159.7, 134.33, 21, 126, 146, 9, 3.735, 15, 10.87, 1.33, 700, 2020, 424.9, 86.5, 152, 96, 41.14, 148.8, 3, 1, 1, 1, 128, 0
1496171102.1859503, 0, 0, 15, 47.13, 171.2, 134.25, 20, 127, 146, 9, 3.738, 16, 11.49, 1.33, 720, 2170, 449.6, 80.6, 138.7, 97, 44.07, 159.7, 3, 1, 1, 1, 128, 0
1496171105.21753, 0, 0, 16, 50.17, 182.5, 135.31, 20, 128, 143, 10, 3.708, 17, 11.29, 1.36, 730, 2130, 435, 82.5, 149.8, 96, 47.13, 171.2, 3, 1, 1, 1, 128, 0
1496171108.48409, 0, 0, 17, 53.45, 194.6, 135.69, 19, 129, 142, 11, 3.698, 18, 11.81, 1.39, 750, 2260, 452.6, 83.6, 150.3, 96, 50.17, 182.5, 3, 1, 1, 1, 128, 0
1496171111.5756001, 0, 0, 18, 56.5, 206, 134.59, 19, 130, 145, 11, 3.728, 19, 11.61, 1.39, 740, 2190, 452.2, 89.2, 163.5, 96, 53.45, 194.6, 3, 1, 1, 1, 128, 0
1496171114.72397, 0, 0, 19, 59.67, 217.9, 132.93, 19, 131, 151, 12, 3.775, 20, 11.76, 1.39, 740, 2190, 469.3, 81.1, 140.7, 97, 56.5, 206, 3, 1, 1, 1, 128, 0
1496171117.7562096, 0, 0, 20, 62.71, 229.4, 133.65, 20, 132, 148, 13, 3.755, 21, 11.43, 1.36, 720, 2140, 451.2, 88.3, 157.2, 96, 59.67, 217.9, 3, 1, 1, 1, 128, 0
1496171120.6974294, 0, 0, 21, 65.64, 240.4, 132.47, 20, 134, 152, 14, 3.788, 22, 11.35, 1.36, 720, 2090, 456.3, 81.1, 144.8, 96, 62.71, 229.4, 3, 1, 1, 1, 128, 0
1496171123.7544494, 0, 0, 22, 68.69, 251.9, 133.93, 20, 135, 147, 14, 3.747, 23, 11.35, 1.36, 730, 2120, 446.3, 81.6, 144.7, 96, 65.64, 240.4, 3, 1, 1, 1, 128, 0
1496171126.9338496, 0, 0, 23, 71.85, 263.7, 134.67, 19, 135, 145, 15, 3.726, 24, 11.48, 1.36, 730, 2170, 446.6, 83.4, 152.3, 96, 68.69, 251.9, 3, 1, 1, 1, 128, 0
1496171129.9337091, 0, 0, 24, 74.89, 275, 134.92, 20, 136, 144, 16, 3.719, 25, 11.42, 1.33, 710, 2170, 442.4, 82.9, 144.5, 96, 71.85, 263.7, 3, 1, 1, 1, 128, 0
1496171133.1153197, 0, 0, 25, 78.05, 286.7, 135.56, 19, 136, 142, 16, 3.701, 26, 11.56, 1.36, 730, 2200, 443.6, 81.1, 140.4, 96, 74.89, 275, 3, 1, 1, 1, 128, 0
1496171136.14648, 0, 0, 26, 81.11, 297.9, 136.51, 19, 136, 139, 17, 3.675, 27, 11.48, 1.36, 740, 2200, 434.4, 82.7, 147.7, 96, 78.05, 286.7, 3, 1, 1, 1, 128, 0
1496171139.20324, 0, 0, 27, 84.15, 309.2, 135.3, 20, 136, 143, 18, 3.708, 28, 11.29, 1.36, 730, 2130, 434.9, 84, 150.2, 97, 81.11, 297.9, 3, 1, 1, 1, 128, 0
1496171142.26492, 0, 0, 28, 87.2, 320.5, 134.68, 19, 136, 145, 18, 3.726, 29, 11.49, 1.36, 730, 2170, 447, 82.8, 156.4, 96, 84.15, 309.2, 3, 1, 1, 1, 128, 0
1496171145.4167697, 0, 0, 29, 90.36, 332.3, 135.06, 19, 137, 144, 19, 3.715, 30, 11.49, 1.33, 710, 2190, 444.2, 84.7, 147.9, 96, 87.2, 320.5, 3, 1, 1, 1, 128, 0
1496171148.4473798, 0, 0, 30, 93.4, 343.6, 135.05, 19, 137, 144, 20, 3.715, 31, 11.48, 1.36, 730, 2170, 444.2, 82, 150.6, 96, 90.36, 332.3, 3, 1, 1, 1, 128, 0
1496171151.6246192, 0, 0, 31, 96.58, 355.3, 135.68, 19, 137, 142, 20, 3.698, 32, 11.54, 1.36, 740, 2200, 442.3, 81.4, 146.4, 96, 93.4, 343.6, 3, 1, 1, 1, 128, 0
1496171154.658739, 0, 0, 32, 99.62, 366.6, 135.74, 20, 138, 141, 21, 3.696, 33, 11.29, 1.36, 740, 2130, 432, 80.4, 142.2, 97, 96.58, 355.3, 3, 1, 1, 1, 128, 0
1496171157.8349793, 0, 0, 33, 102.78, 378.3, 135.91, 19, 137, 141, 22, 3.692, 34, 11.57, 1.39, 750, 2190, 441.8, 79.9, 147.8, 96, 99.62, 366.6, 3, 1, 1, 1, 128, 0
1496171160.863109, 0, 0, 34, 105.83, 389.5, 135.95, 19, 137, 141, 22, 3.691, 35, 11.35, 1.39, 750, 2130, 433.3, 81.6, 149, 96, 102.78, 378.3, 3, 1, 1, 1, 128, 0
1496171163.9232395, 0, 0, 35, 108.88, 400.9, 134.93, 20, 137, 144, 23, 3.719, 36, 11.28, 1.36, 730, 2120, 437.2, 81.4, 144.2, 97, 105.83, 389.5, 3, 1, 1, 1, 128, 0
1496171166.95344, 0, 0, 36, 111.93, 412.2, 134.79, 20, 136, 145, 24, 3.723, 37, 11.22, 1.36, 730, 2100, 435.6, 81.7, 148.6, 96, 108.88, 400.9, 3, 1, 1, 1, 128, 0
1496171169.8949196, 0, 0, 37, 114.85, 423.2, 134.18, 20, 136, 146, 24, 3.74, 38, 11.07, 1.39, 740, 2030, 433.8, 80.1, 143.9, 96, 111.93, 412.2, 3, 1, 1, 1, 128, 0
1496171172.9583192, 0, 0, 38, 117.89, 434.5, 134.8, 20, 137, 144, 25, 3.722, 39, 11.36, 1.33, 720, 2150, 440.8, 80.5, 146, 97, 114.85, 423.2, 3, 1, 1, 1, 128, 0
1496171175.9828885, 0, 0, 39, 120.94, 445.8, 135.08, 20, 137, 144, 26, 3.715, 40, 11.22, 1.39, 750, 2090, 433.8, 82.5, 151.6, 97, 117.89, 434.5, 3, 1, 1, 1, 128, 0
1496171179.042528, 0, 0, 40, 123.99, 457.2, 134.44, 19, 137, 146, 26, 3.732, 41, 11.49, 1.36, 730, 2160, 448.4, 86.4, 157.8, 96, 120.94, 445.8, 3, 1, 1, 1, 128, 0
1496171182.1029282, 0, 0, 41, 127.03, 468.7, 132.99, 20, 137, 150, 27, 3.773, 42, 11.41, 1.36, 720, 2120, 455.1, 85.7, 152.5, 96, 123.99, 457.2, 3, 1, 1, 1, 128, 0
1496171185.1328878, 0, 0, 42, 130.09, 480.2, 132.77, 20, 138, 151, 28, 3.779, 43, 11.63, 1.39, 730, 2160, 465.2, 89.4, 157.6, 96, 127.03, 468.7, 3, 1, 1, 1, 128, 0
1496171188.1947477, 0, 0, 43, 133.13, 491.8, 131.85, 19, 139, 154, 29, 3.806, 44, 11.76, 1.36, 720, 2190, 477.3, 87.3, 153.3, 96, 130.09, 480.2, 3, 1, 1, 1, 128, 0
