,index,index.2,index.1,index.1.1,index.1.1.1,id_x,TimeStamp (sec),sessionId, lapIdx,type, ElapsedTime (sec), latitude, longitude,GPS Speed,ImpellerSpeed, Horizontal (meters),ImpellerDistance, HRCur (bpm),strokeCount, Cadence (stokes/min),totalCaloriesBurned,caloriesPerHour,caloriesPerStroke, StrokeDistance (meters),impellerDistStroke, Stroke500mPace (sec/500m),impellerPace,sessionStrokeIndex,id_y,sessionStrokeId,oarlockSessionId,catch,cycleTime, DriveTime (ms),effectiveLength,finish, AverageDriveForce (lbs), PeakDriveForce (lbs),peakforceangle, Power (watts),driveenergy,slip,timestamp_y,totalLength,wash,GPSSpeed,GPSDistance, StrokeRecoveryTime (ms),cumdist,cum_dist, DriveLength (meters), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an,originalvelo,deltat,orig_dist,orig_time,orig_reltime,orig_idx,orig_state, LapIdx
0,0,0,0,0,0,584838345,1663505314.999,747286,0,7,0.0,52.312065,6.6334367,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6479.057591622989,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.0,,0.0,0.0,0.0,954864,4.0,954864
1,1,1,1,1,1,584838346,1663505318.558,747286,0,0,3.559000015258789,52.312065,6.6334367,0.17,0.0,1.18,0.0,0.0,1,17.0,0.0,0.0,0.0,1.2,0.0,1763.1344612644712,0.0,1,23016293.0,584838346.0,45226.0,17.0,1270.0,950.0,0.0,28.0,3.2147690536888915,6.452019009851131,22.0,1.6,5.647058823529412,0.0,1663505318558.0,11.0,0.0,0.17,1.18,320.0,1.18,1.18,0.0,0.0,0.17,14.3,28.7,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.17,3.559000015258789,1.18,3.559000015258789,3.558,954864,4.0,954864
2,2,2,2,2,2,584838347,1663505345.0,747286,0,3,30.000999927520752,52.3121674,6.6333566,0.36,0.0,13.81,0.0,0.0,1,0.0,0.0,0.0,0.0,12.6,0.0,1200.0207795805982,0.0,4,23016293.0,584838346.0,45226.0,17.0,1270.0,950.0,0.0,28.0,3.2147690536888915,6.452019009851131,22.0,1.6,inf,0.0,1663505318558.0,11.0,0.0,0.36,13.81,320.0,13.81,13.81,0.0,0.0,0.36,14.3,28.7,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.36,26.441999912261963,13.81,30.000999927520752,30.0,954864,4.0,954864
3,3,3,3,3,3,584838348,1663505375.0,747286,0,3,60.00099992752075,52.312262,6.6333017,0.44,0.0,25.0,0.0,0.0,1,0.0,0.0,0.0,0.0,11.2,0.0,1236.48431645434,0.0,10,23016293.0,584838346.0,45226.0,17.0,1270.0,950.0,0.0,28.0,3.2147690536888915,6.452019009851131,22.0,1.6,inf,0.0,1663505318558.0,11.0,0.0,0.44,25.0,320.0,25.0,25.0,0.0,0.0,0.44,14.3,28.7,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.4399999999999999,30.0,25.0,60.00099992752075,60.0,954864,4.0,954864
4,4,4,4,4,4,584838349,1663505405.0,747286,0,3,90.00099992752075,52.3123555,6.6332696,0.42,0.0,35.64,0.0,0.0,1,0.0,0.0,0.0,0.0,10.6,0.0,1519.536903039076,0.0,15,23016293.0,584838346.0,45226.0,17.0,1270.0,950.0,0.0,28.0,3.2147690536888915,6.452019009851131,22.0,1.6,inf,0.0,1663505318558.0,11.0,0.0,0.42,35.64,320.0,35.64,35.64,0.0,0.0,0.42,14.3,28.7,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.42,30.0,35.64,90.00099992752075,90.0,954864,4.0,954864
5,5,5,5,5,5,584838350,1663505435.0,747286,0,3,120.00099992752075,52.3124672,6.6332254,0.34,0.0,48.44,0.0,0.0,1,0.0,0.0,0.0,0.0,12.8,0.0,1234.8978937239406,0.0,21,23016293.0,584838346.0,45226.0,17.0,1270.0,950.0,0.0,28.0,3.2147690536888915,6.452019009851131,22.0,1.6,inf,0.0,1663505318558.0,11.0,0.0,0.34,48.44,320.0,48.44,48.44,0.0,0.0,0.34,14.3,28.7,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.34,30.00000000000001,48.44,120.00099992752077,120.0,954864,4.0,954864
6,6,6,6,6,6,584838351,1663505465.011,747286,0,3,150.01199984550476,52.3125522,6.6331867,0.29,0.0,58.25,0.0,0.0,1,0.0,0.0,0.0,0.0,9.8,0.0,1084.8126232741631,0.0,27,23016293.0,584838346.0,45226.0,17.0,1270.0,950.0,0.0,28.0,3.2147690536888915,6.452019009851131,22.0,1.6,inf,0.0,1663505318558.0,11.0,0.0,0.29,58.25,320.0,58.25,58.25,0.0,0.0,0.29,14.3,28.7,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.29,30.010999917983995,58.25,150.01199984550476,150.011,954864,4.0,954864
7,7,7,7,7,7,584838352,1663505480.351,747286,0,0,165.35199999809265,52.3125954,6.6331684,0.38,0.0,63.22,0.0,0.0,2,14.5,0.0,0.0,0.0,5.0,0.0,868.0947012401366,0.0,30,23016316.0,584838352.0,45226.0,-19.0,3840.0,1410.0,0.0,8.0,6.924117961791458,11.15052762678105,-5.0,3.1,12.827586206896552,0.0,1663505480351.0,27.0,0.0,0.38,63.22,2430.0,63.22,63.22,0.0,0.0,0.38,30.8,49.60000000000001,1.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.38,15.34000015258789,63.22,165.35199999809265,165.351,954864,4.0,954864
8,8,8,8,8,8,584838353,1663505495.0,747286,0,3,180.00099992752075,52.3126834,6.6331426,1.14,0.0,73.17,0.0,0.0,2,0.0,0.0,0.0,0.0,10.0,0.0,717.5695825049711,0.0,36,23016316.0,584838352.0,45226.0,-19.0,3840.0,1410.0,0.0,8.0,6.924117961791458,11.15052762678105,-5.0,3.1,inf,0.0,1663505480351.0,27.0,0.0,1.14,73.17,2430.0,73.17,73.17,0.0,0.0,1.14,30.8,49.60000000000001,1.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.14,14.6489999294281,73.17,180.00099992752075,180.0,954864,4.0,954864
9,9,9,9,9,9,584838354,1663505497.714,747286,0,0,182.7149999141693,52.3127104,6.6331326,0.68,0.0,76.25,0.0,0.0,3,35.5,0.0,0.0,0.0,3.1,0.0,600.6864988558361,0.0,37,23016321.0,584838354.0,45226.0,22.0,1490.0,770.0,0.0,27.0,2.9899600289554025,5.822553740597362,22.0,0.7,1.1830985915492958,0.0,1663505497714.0,5.0,0.0,0.68,76.25,720.0,76.25,76.25,0.0,0.0,0.68,13.3,25.9,1.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.68,2.71399998664856,76.25,182.7149999141693,182.714,954864,4.0,954864
10,10,10,10,10,10,584838355,1663505525.0,747286,0,3,210.00099992752075,52.3129013,6.6330699,0.88,0.0,97.93,0.0,0.0,3,0.0,0.0,0.0,0.0,21.7,0.0,612.6345939638263,0.0,45,23016321.0,584838354.0,45226.0,22.0,1490.0,770.0,0.0,27.0,2.9899600289554025,5.822553740597362,22.0,0.7,inf,0.0,1663505497714.0,5.0,0.0,0.88,97.93,720.0,97.93,97.93,0.0,0.0,0.88,13.3,25.9,1.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.8800000000000001,27.28600001335144,97.93,210.00099992752075,210.0,954864,4.0,954864
11,11,11,11,11,11,584838356,1663505527.511,747286,0,0,212.51199984550476,52.3129176,6.6330656,0.73,0.0,99.77,0.0,0.0,4,33.5,0.0,0.0,0.0,1.8,0.0,669.0609975091246,0.0,46,23016328.0,584838356.0,45226.0,11.0,2060.0,1570.0,0.0,24.0,0.7868315865672112,5.170607568870245,19.0,0.8,1.4328358208955223,0.0,1663505527511.0,13.0,0.0,0.73,99.77,490.0,99.77,99.77,0.0,0.0,0.73,3.5000000000000004,23.0,1.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.73,2.510999917984037,99.77,212.5119998455048,212.511,954864,4.0,954864
12,12,12,12,12,12,584838357,1663505527.855,747286,0,1,212.85599994659424,52.3129199,6.6330651,0.73,0.0,100.03,0.0,0.0,4,33.5,0.0,0.0,0.0,0.3,0.0,884.312074113775,0.0,47,23016328.0,584838356.0,45226.0,11.0,2060.0,1570.0,0.0,24.0,0.7868315865672112,5.170607568870245,19.0,0.8,1.4328358208955223,0.0,1663505527511.0,13.0,0.0,0.73,100.03,490.0,100.03,100.03,0.0,0.0,0.73,3.5000000000000004,23.0,1.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.73,0.3440001010894491,100.03,212.85599994659424,212.855,954864,4.0,954864
13,13,13,13,13,13,584838358,1663505555.0,747286,0,3,240.00099992752075,52.313028,6.6330303,0.35,0.0,112.3,0.0,0.0,4,0.0,0.0,0.0,0.0,12.3,0.0,876.5272823859768,0.0,51,23016328.0,584838356.0,45226.0,11.0,2060.0,1570.0,0.0,24.0,0.7868315865672112,5.170607568870245,19.0,0.8,inf,0.0,1663505527511.0,13.0,0.0,0.35,112.3,490.0,112.3,112.3,0.0,0.0,0.35,3.5000000000000004,23.0,1.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.3499999999999999,27.144999980926517,112.3,240.00099992752075,240.0,954864,4.0,954864
14,14,14,14,14,14,584838359,1663505583.507,747286,0,0,268.5079998970032,52.313115,6.63301,0.79,0.0,122.08,0.0,0.0,5,20.0,0.0,0.0,0.0,9.8,0.0,711.6451016635868,0.0,56,23016335.0,584838359.0,45226.0,-45.0,2680.0,1300.0,77.0,43.0,71.78152159740301,127.28686980410144,-13.0,181.7,545.1,3.0,1663505583507.0,88.0,8.0,0.79,122.08,1380.0,122.08,122.08,0.0,0.0,0.79,319.3,566.2,1.0,3.0,17,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,0.79,28.506999969482425,122.08,268.5079998970032,268.507,954864,4.0,954864
