Stroke,Time,Distance,Rating,Speed,Ratio,Cover,Heart Rate
1,0,0,0,6.27,0,0,0
2,0.08,0,0.05,0,0,0,0
3,2.71,4.14,22.81,0,27.27,4.19,0
4,4.62,9.1,31.41,0,34.68,4.97,0
5,6.46,15.02,32.63,0,42.86,5.93,0
6,8.28,21.21,32.88,0,53.03,5.41,0
7,10.12,27.71,32.68,0,54.83,7.28,0
8,12.08,34.87,30.61,0,61.3,7.16,0
9,14.06,41.79,30.3,0,60.92,6.91,0
10,16.01,48.51,30.77,0,58.82,6.35,0
11,17.95,55.04,30.93,0,53.24,6.91,0
12,19.96,62.06,29.85,0,51.49,7.02,0
13,21.98,69.19,29.7,0,51.91,7.14,0
14,24.02,76.73,29.41,0,60.1,7.54,0
15,26.11,83.84,28.71,0,54.84,7.11,0
16,28.12,90.7,29.85,0,58.54,6.85,0
17,30.13,98.19,29.85,0,59.71,7.49,0
18,32.17,105.31,29.41,0,55.85,7.12,0
19,34.23,112.53,29.13,0,56.56,7.22,0
20,36.23,119.79,30,0,57.36,7.26,0
21,38.33,128.33,28.57,0,58.78,8.54,0
22,40.37,135.67,29.43,0,56.56,7.34,0
23,42.41,143.4,29.41,0,61.36,7.33,0
24,44.49,150.74,28.85,0,53.65,7.73,0
25,46.51,158.5,29.7,0,55.48,7.36,0
26,48.5,165.84,30.15,0,58.15,7.33,0
27,50.56,173.24,29.13,0,58.15,7.82,0
28,52.5,180.64,30.91,0,53.29,7.07,0
29,54.49,187.76,30.17,0,53.29,7.45,0
30,56.47,195.24,30.3,0,53.65,7.48,0
31,58.45,202.61,30.3,0,57.76,7.37,0
32,60.45,209.89,30,0,56.82,7.27,0
33,62.43,217.18,30.3,0,56.47,7.3,0
34,64.39,224.49,30.61,0,56.47,6.48,0
35,66.4,231.8,29.85,0,53.36,7.35,0
36,68.48,239,28.85,0,57.46,7.98,0
37,70.54,246.62,29.13,0,54.57,7.63,0
38,72.57,253.78,29.54,0,56.17,7.15,0
39,74.59,260.89,29.72,0,55.15,7.11,0
40,76.57,268.08,30.29,0,53.84,7.19,0
41,78.61,275.17,29.41,0,69.21,7.08,0
42,80.6,282.29,30.17,0,54.76,7.13,0
43,82.62,289.34,29.69,0,55.7,7.05,0
44,84.69,296.36,28.99,0,50.94,7.02,0
45,86.7,303.48,29.85,0,55.56,7.12,0
46,88.74,311.49,29.38,0,58.61,7.18,0
47,90.76,318.7,29.75,0,57.42,7.22,0
48,92.85,326.26,28.71,0,55.16,8.38,0
49,94.91,333.43,29.13,0,64.35,7.16,0
50,96.93,340.92,29.7,0,58.12,7.49,0
51,98.96,348,29.56,0,50.83,7.08,0
52,100.98,355.5,29.7,0,57.65,7.1,0
53,102.95,362.29,30.46,0,55.07,7.19,0
54,104.92,369.44,30.46,0,57.42,7.16,0
55,106.94,376.63,29.7,0,50.94,7.18,0
56,108.93,383.82,30.15,0,57.42,7.19,0
57,110.94,391.02,29.85,0,52.8,7.21,0
58,112.92,398.28,30.3,0,52.59,7.26,0
59,114.89,405.12,30.46,0,57.42,6.84,0
60,116.8,411.99,31.41,0,57.89,6.87,0
61,118.73,419.27,31.09,0,58.4,6.46,0
62,120.67,425.66,30.93,0,57.65,7.21,0
63,122.58,432.98,31.41,0,51.75,7.32,0
64,124.56,440.4,30.3,0,55.56,7.42,0
65,126.51,447.8,30.74,0,57.58,6.97,0
66,128.45,454.8,30.96,0,58.33,7.43,0
67,130.4,462.2,30.77,0,56.97,7,0
68,132.3,468.61,31.58,0,51.16,6.9,0
69,134.24,475.89,30.86,0,55.6,6.48,0
70,136.17,482.52,31.15,0,55.12,7.34,0
71,138.1,489.85,31.07,0,51.16,7.33,0
72,140.07,497.17,30.47,0,58.4,7.33,0
73,141.98,504.02,31.41,0,59.83,6.84,0
74,143.96,511.3,30.3,0,53.93,7.28,0
75,145.9,517.73,30.93,0,56.73,6.43,0
76,147.85,525.35,30.77,0,52.34,7.62,0
77,149.68,531.4,32.79,0,55.56,6.05,0
78,151.51,538.74,32.79,0,50.24,7.43,0
79,153.37,545.49,32.26,0,55.16,6.67,0
80,155.23,551.68,32.26,0,59.72,6.19,0
81,157.08,558.76,32.43,0,58.14,7.08,0
82,159.02,566.58,30.93,0,52.8,7.81,0
83,160.92,573.61,31.58,0,59.18,7.03,0
84,162.89,580.43,30.46,0,51.68,6.82,0
85,164.86,587.61,30.46,0,57.42,7.18,0
86,166.91,595.18,29.27,0,58.61,7.17,0
87,168.95,602.39,29.41,0,57.42,7.61,0
88,170.99,609.99,29.41,0,54.1,7.2,0
89,173.06,617.17,28.99,0,52.34,7.59,0
90,175.02,623.93,30.61,0,50.44,6.84,0
91,176.95,631.21,31.09,0,56.28,7.2,0
92,178.94,638.38,30.15,0,56.97,7.17,0
93,180.9,645.53,30.61,0,53.44,6.75,0
94,182.84,652.31,30.93,0,58.4,7.18,0
95,184.76,659.01,31.25,0,58,6.78,0
96,186.7,665.43,30.93,0,56.97,6.34,0
97,188.62,672.62,31.25,0,52.34,7.18,0
98,190.5,679.94,31.91,0,56.04,7.33,0
99,192.41,686.91,31.41,0,57.89,6.97,0
100,194.25,693.23,32.61,0,52.34,5.56,0
101,196.14,699.79,31.75,0,53.56,7.31,0
102,198.09,707,30.77,0,51.14,7.2,0
103,199.94,713.89,32.43,0,50,6.9,0
104,201.83,720.81,31.75,0,52.69,6.51,0
105,203.67,726.89,32.61,0,51.16,6.5,0
106,205.53,734.37,32.26,0,52.59,7.47,0
107,207.42,741.36,31.75,0,52.34,6.99,0
108,209.27,747.79,32.43,0,62.8,6.51,0
109,211.16,754.34,31.75,0,52.8,6.47,0
110,213.05,761.54,31.75,0,52.8,7.19,0
111,214.98,768.34,31.09,0,52.8,6.81,0
