index,Stroke, ElapsedTime (sec), Horizontal (meters), Cadence (stokes/min),Speed,Ratio, StrokeDistance (meters), HRCur (bpm), Stroke500mPace (sec/500m),TimeStamp (sec), Power (watts), DriveLength (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1,0.0,0.0,0.0,6.27,0.0,0.0,0.0,,1712902802.452638,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,2,0.08,0.0,0.05,0.0,0.0,0.0,0.0,inf,1712902802.6126378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,3,2.71,4.14,22.81,0.0,27.27,4.19,0.0,317.6328502415459,1712902804.872638,0.0,0.0,0.0,0.0,0.0,0.0,1.5741444866920151,0.0,0.0,0.0,0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,4.14,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,4,4.62,9.1,31.41,0.0,34.68,4.97,0.0,192.54032258064518,1712902806.6926377,0.0,0.0,0.0,0.0,0.0,0.0,2.596858638743455,0.0,0.0,0.0,0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,9.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,5,6.46,15.02,32.63,0.0,42.86,5.93,0.0,155.4054054054054,1712902808.372638,0.0,0.0,0.0,0.0,0.0,0.0,3.2173913043478266,0.0,0.0,0.0,0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,15.02,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,6,8.28,21.21,32.88,0.0,53.03,5.41,0.0,147.01130856219703,1712902810.0126379,0.0,0.0,0.0,0.0,0.0,0.0,3.4010989010989023,0.0,0.0,0.0,0,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,21.21,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,7,10.12,27.71,32.68,0.0,54.83,7.28,0.0,141.53846153846152,1712902812.6926377,0.0,0.0,0.0,0.0,0.0,0.0,3.5326086956521743,0.0,0.0,0.0,0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.71,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,8,12.08,34.87,30.61,0.0,61.3,7.16,0.0,136.87150837988838,1712902814.6126378,0.0,0.0,0.0,0.0,0.0,0.0,3.6530612244897926,0.0,0.0,0.0,0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,34.87,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,9,14.06,41.79,30.3,0.0,60.92,6.91,0.0,143.0635838150289,1712902816.5726378,0.0,0.0,0.0,0.0,0.0,0.0,3.4949494949494953,0.0,0.0,0.0,0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.79,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,10,16.01,48.51,30.77,0.0,58.82,6.35,0.0,145.0892857142858,1712902818.472638,0.0,0.0,0.0,0.0,0.0,0.0,3.446153846153844,0.0,0.0,0.0,0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.51,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,11,17.95,55.04,30.93,0.0,53.24,6.91,0.0,148.54517611026014,1712902820.3526375,0.0,0.0,0.0,0.0,0.0,0.0,3.3659793814433034,0.0,0.0,0.0,0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,55.04,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,12,19.96,62.06,29.85,0.0,51.49,7.02,0.0,143.16239316239322,1712902822.372638,0.0,0.0,0.0,0.0,0.0,0.0,3.4925373134328344,0.0,0.0,0.0,0,1.0,4.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.06,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,13,21.98,69.19,29.7,0.0,51.91,7.14,0.0,141.65497896213188,1712902824.412638,0.0,0.0,0.0,0.0,0.0,0.0,3.529702970297029,0.0,0.0,0.0,0,1.0,4.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,69.19,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,14,24.02,76.73,29.41,0.0,60.1,7.54,0.0,135.27851458885925,1712902826.4926379,0.0,0.0,0.0,0.0,0.0,0.0,3.6960784313725537,0.0,0.0,0.0,0,1.0,4.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,76.73,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,15,26.11,83.84,28.71,0.0,54.84,7.11,0.0,146.9760900140647,1712902828.6726377,0.0,0.0,0.0,0.0,0.0,0.0,3.401913875598086,0.0,0.0,0.0,0,1.0,4.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,83.84,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,16,28.12,90.7,29.85,0.0,58.54,6.85,0.0,146.50145772594766,1712902830.6926377,0.0,0.0,0.0,0.0,0.0,0.0,3.4129353233830813,0.0,0.0,0.0,0,1.0,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,90.7,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,17,30.13,98.19,29.85,0.0,59.71,7.49,0.0,134.17890520694255,1712902832.7126377,0.0,0.0,0.0,0.0,0.0,0.0,3.7263681592039815,0.0,0.0,0.0,0,1.0,4.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,98.19,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,18,32.17,105.31,29.41,0.0,55.85,7.12,0.0,143.25842696629223,1712902834.7926376,0.0,0.0,0.0,0.0,0.0,0.0,3.49019607843137,0.0,0.0,0.0,0,1.0,4.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,105.31,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,19,34.23,112.53,29.13,0.0,56.56,7.22,0.0,142.65927977839303,1712902836.912638,0.0,0.0,0.0,0.0,0.0,0.0,3.5048543689320466,0.0,0.0,0.0,0,1.0,4.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,112.53,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,20,36.23,119.79,30.0,0.0,57.36,7.26,0.0,137.74104683195583,1712902838.912638,0.0,0.0,0.0,0.0,0.0,0.0,3.6300000000000026,0.0,0.0,0.0,0,1.0,4.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,119.79,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,21,38.33,128.33,28.57,0.0,58.78,8.54,0.0,122.95081967213113,1712902840.1126378,0.0,0.0,0.0,0.0,0.0,0.0,4.066666666666667,0.0,0.0,0.0,0,1.0,4.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,128.33,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,22,40.37,135.67,29.43,0.0,56.56,7.34,0.0,138.96457765667617,1712902842.1926377,0.0,0.0,0.0,0.0,0.0,0.0,3.5980392156862635,0.0,0.0,0.0,0,1.0,4.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,135.67,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,23,42.41,143.4,29.41,0.0,61.36,7.33,0.0,131.95342820181077,1712902844.2726376,0.0,0.0,0.0,0.0,0.0,0.0,3.7892156862745203,0.0,0.0,0.0,0,1.0,4.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,143.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,24,44.49,150.74,28.85,0.0,53.65,7.73,0.0,141.68937329700304,1712902846.432638,0.0,0.0,0.0,0.0,0.0,0.0,3.5288461538461458,0.0,0.0,0.0,0,1.0,4.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,150.74,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,25,46.51,158.5,29.7,0.0,55.48,7.36,0.0,130.15463917525764,1712902848.472638,0.0,0.0,0.0,0.0,0.0,0.0,3.841584158415844,0.0,0.0,0.0,0,1.0,4.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,158.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,26,48.5,165.84,30.15,0.0,58.15,7.33,0.0,135.5585831062671,1712902850.452638,0.0,0.0,0.0,0.0,0.0,0.0,3.688442211055275,0.0,0.0,0.0,0,1.0,4.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,165.84,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,27,50.56,173.24,29.13,0.0,58.15,7.82,0.0,139.18918918918922,1712902852.5726378,0.0,0.0,0.0,0.0,0.0,0.0,3.592233009708737,0.0,0.0,0.0,0,1.0,4.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,173.24,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,28,52.5,180.64,30.91,0.0,53.29,7.07,0.0,131.08108108108132,1712902854.452638,0.0,0.0,0.0,0.0,0.0,0.0,3.8144329896907148,0.0,0.0,0.0,0,1.0,4.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,180.64,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,29,54.49,187.76,30.17,0.0,53.29,7.45,0.0,139.747191011236,1712902856.432638,0.0,0.0,0.0,0.0,0.0,0.0,3.57788944723618,0.0,0.0,0.0,0,1.0,4.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,187.76,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,30,56.47,195.24,30.3,0.0,53.65,7.48,0.0,132.35294117647007,1712902858.392638,0.0,0.0,0.0,0.0,0.0,0.0,3.777777777777793,0.0,0.0,0.0,0,1.0,4.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,195.24,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,31,58.45,202.61,30.3,0.0,57.76,7.37,0.0,134.32835820895542,1712902860.3526375,0.0,0.0,0.0,0.0,0.0,0.0,3.7222222222222165,0.0,0.0,0.0,0,1.0,4.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,202.61,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,32,60.45,209.89,30.0,0.0,56.82,7.27,0.0,137.36263736263788,1712902862.3526375,0.0,0.0,0.0,0.0,0.0,0.0,3.6399999999999864,0.0,0.0,0.0,0,1.0,4.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,209.89,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,33,62.43,217.18,30.3,0.0,56.47,7.3,0.0,135.80246913580186,1712902864.3126376,0.0,0.0,0.0,0.0,0.0,0.0,3.6818181818181985,0.0,0.0,0.0,0,1.0,4.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,217.18,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,34,64.39,224.49,30.61,0.0,56.47,6.48,0.0,134.06292749658004,1712902866.2326376,0.0,0.0,0.0,0.0,0.0,0.0,3.729591836734693,0.0,0.0,0.0,0,1.0,4.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,224.49,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,35,66.4,231.8,29.85,0.0,53.36,7.35,0.0,137.48290013679923,1712902868.2526376,0.0,0.0,0.0,0.0,0.0,0.0,3.6368159203980013,0.0,0.0,0.0,0,1.0,4.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,231.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
