index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
0,0.0,18,0.0,0.0,0.0,1.0,142,0.0,0.0,0.0,10000.0,1.41865195765e-06,0.0,0.0,49.240004,16.511673,1459588509.0
1,0.0,18,0.0,0.0,0.0,2.0,142,0.0,0.0,0.0,10000.0,1.73390794824e-06,0.0,0.0,49.240004,16.511673,1459588510.0
2,0.0,18,0.0,0.0,0.0,3.0,142,0.0,0.0,0.0,10000.0,2.11922082563e-06,0.0,0.0,49.240004,16.511673,1459588511.0
3,0.0,18,0.0,0.0,0.0,4.0,142,0.0,0.0,0.0,10000.0,2.59015878688e-06,0.0,0.0,49.240004,16.511673,1459588512.0
4,0.0,18,0.0,0.0,0.0,5.0,142,0.0,0.0,0.0,10000.0,3.16574962841e-06,0.0,0.0,49.240004,16.511673,1459588513.0
5,0.0,18,0.0,0.0,0.0,6.0,142,0.0,0.0,0.0,10000.0,3.86924954584e-06,0.0,0.0,49.240004,16.511673,1459588514.0
6,0.0,18,0.0,0.0,0.0,7.0,142,0.0,0.0,0.0,10000.0,4.72908277824e-06,0.0,0.0,49.240004,16.511673,1459588515.0
7,0.0,18,0.0,0.0,0.0,8.0,142,0.0,0.0,0.0,10000.0,5.7799900623e-06,0.0,0.0,49.240004,16.511673,1459588516.0
8,0.0,18,0.0,0.0,0.0,9.0,142,0.0,0.0,0.0,10000.0,7.06443229836e-06,0.0,0.0,49.240004,16.511673,1459588517.0
9,0.0,18,0.0,0.0,0.0,10.0,142,0.0,0.0,0.0,10000.0,8.63430614244e-06,0.0,0.0,49.240004,16.511673,1459588518.0
10,0.0,18,0.0,0.0,0.0,11.0,142,0.0,0.0,0.0,10000.0,1.05530408408e-05,0.0,0.0,49.240004,16.511673,1459588519.0
11,0.0,18,0.0,0.0,0.0,12.0,142,0.0,0.0,0.0,10000.0,1.28981610276e-05,0.0,0.0,49.240004,16.511673,1459588520.0
12,0.0,18,0.0,0.0,0.0,13.0,142,0.0,0.0,0.0,10000.0,1.57644190337e-05,0.0,0.0,49.240004,16.511673,1459588521.0
13,0.0,18,0.0,0.0,0.0,14.0,142,0.0,0.0,0.0,10000.0,1.92676232635e-05,0.0,0.0,49.240004,16.511673,1459588522.0
14,0.0,18,0.0,0.0,0.0,15.0,142,0.0,0.0,0.0,10000.0,2.3549317322e-05,0.0,0.0,49.240004,16.511673,1459588523.0
15,0.0,18,0.0,0.0,0.0,16.0,142,0.0,0.0,0.0,10000.0,2.87824989491e-05,0.0,0.0,49.240004,16.511673,1459588524.0
16,0.0,18,0.0,0.0,0.0,17.0,142,0.0,0.0,0.0,10000.0,3.51786098267e-05,0.0,0.0,49.240004,16.511673,1459588525.0
17,0.0,18,0.0,0.0,0.0,18.0,142,0.0,0.0,0.0,10000.0,4.29960786771e-05,0.0,0.0,49.240004,16.511673,1459588526.0
18,0.0,18,0.0,0.0,0.0,19.0,142,0.0,0.0,0.0,10000.0,5.25507628275e-05,0.0,0.0,49.240004,16.511673,1459588527.0
19,0.0,18,0.0,0.0,0.0,20.0,142,0.0,0.0,0.0,10000.0,6.42287101225e-05,0.0,0.0,49.240004,16.511673,1459588528.0
20,0.0,18,0.0,0.0,0.0,21.0,142,0.0,0.0,0.0,10000.0,7.85017568164e-05,0.0,0.0,49.240004,16.511673,1459588529.0
21,0.0,18,0.0,0.0,0.0,22.0,142,0.0,0.0,0.0,10000.0,9.59465916645e-05,0.0,0.0,49.240004,16.511673,1459588530.0
22,0.0,18,0.0,0.0,0.0,23.0,142,0.0,0.0,0.0,10000.0,0.000117268056479,0.0,0.0,49.240004,16.511673,1459588531.0
23,0.0,18,0.0,0.0,0.0,24.0,142,0.0,0.0,0.0,10000.0,0.000143327624585,0.0,0.0,49.240004,16.511673,1459588532.0
24,0.0,18,0.0,0.0,0.0,25.0,142,0.0,0.0,0.0,10000.0,0.000175178207826,0.0,0.0,49.240004,16.511673,1459588533.0
25,0.0,18,0.0,0.0,0.0,26.0,142,0.0,0.0,0.0,10000.0,0.000214106698455,0.0,0.0,49.240004,16.511673,1459588534.0
26,0.0,18,0.0,0.0,0.0,27.0,142,0.0,0.0,0.0,10000.0,0.000261685964778,0.0,0.0,49.240004,16.511673,1459588535.0
27,0.0,18,0.0,0.0,0.0,28.0,142,0.0,0.0,0.0,10000.0,0.000319838401395,0.0,0.0,49.240004,16.511673,1459588536.0
28,0.0,18,0.0,0.0,0.0,29.0,142,0.0,0.0,0.0,10000.0,0.000390913601705,0.0,0.0,49.240004,16.511673,1459588537.0
29,0.0,18,0.0,0.0,0.0,30.0,142,0.0,0.0,0.0,10000.0,0.000477783290973,0.0,0.0,49.240004,16.511673,1459588538.0
30,0.0,18,0.0,0.0,0.0,31.0,142,0.0,0.0,0.0,10000.0,0.000583957355633,0.0,0.0,49.240004,16.511673,1459588539.0
31,0.0,18,0.0,0.0,0.0,32.0,142,0.0,0.0,0.0,10000.0,0.000713725656885,0.0,0.0,49.240004,16.511673,1459588540.0
32,0.0,18,0.0,0.0,0.0,33.0,142,0.0,0.0,0.0,10000.0,0.000872331358415,0.0,0.0,49.240004,16.511673,1459588541.0
33,0.0,18,0.0,0.0,0.0,34.0,142,0.0,0.0,0.0,10000.0,0.0010661827714,0.0,0.0,49.240004,16.511673,1459588542.0
34,0.0,18,0.0,0.0,0.0,35.0,142,0.0,0.0,0.0,10000.0,0.00130311227615,0.0,0.0,49.240004,16.511673,1459588543.0
35,0.0,18,0.0,0.0,0.0,36.0,142,0.0,0.0,0.0,10000.0,0.00159269278196,0.0,0.0,49.240004,16.511673,1459588544.0
36,0.0,18,0.0,0.0,0.0,37.0,142,0.0,0.0,0.0,10000.0,0.00194662451129,0.0,0.0,49.240004,16.511673,1459588545.0
37,0.0,18,0.0,0.0,0.0,38.0,142,0.0,0.0,0.0,10000.0,0.00237920773602,0.0,0.0,49.240004,16.511673,1459588546.0
38,0.0,18,0.0,0.0,0.0,39.0,142,0.0,0.0,0.0,10000.0,0.00290792056624,0.0,0.0,49.240004,16.511673,1459588547.0
39,0.0,18,0.0,0.0,0.0,40.0,142,0.0,0.0,0.0,10000.0,0.00355412513652,0.0,0.0,49.240004,16.511673,1459588548.0
40,0.0,18,0.0,0.0,0.0,41.0,142,0.0,0.0,0.0,10000.0,0.00434393072242,0.0,0.0,49.240004,16.511673,1459588549.0
41,0.0,18,0.0,0.0,0.0,42.0,142,0.0,0.0,0.0,10000.0,0.00530924866073,0.0,0.0,49.240004,16.511673,1459588550.0
42,0.0,18,0.0,0.0,0.0,43.0,142,0.0,0.0,0.0,10000.0,0.00648908169645,0.0,0.0,49.240004,16.511673,1459588551.0
43,0.0,18,0.0,0.0,0.0,44.0,142,0.0,0.0,0.0,10000.0,0.00793109985121,0.0,0.0,49.240004,16.511673,1459588552.0
44,0.0,18,0.0,0.0,0.0,45.0,142,0.0,0.0,0.0,10000.0,0.00969356648482,0.0,0.0,49.240004,16.511673,1459588553.0
45,0.0,18,0.0,0.0,0.0,46.0,142,0.0,0.0,0.0,10000.0,0.0118476923703,0.0,0.0,49.240004,16.511673,1459588554.0
46,0.0,18,0.0,0.0,0.0,47.0,142,0.0,0.0,0.0,10000.0,0.0144805128971,0.0,0.0,49.240004,16.511673,1459588555.0
47,0.0,18,0.0,0.0,0.0,48.0,142,0.0,0.0,0.0,10000.0,0.017698404652,0.0,0.0,49.240004,16.511673,1459588556.0
48,0.0,18,0.0,0.0,0.0,49.0,142,0.0,0.0,0.0,10000.0,0.0216313834635,0.0,0.0,49.240004,16.511673,1459588557.0
49,0.0,18,0.0,0.0,0.0,50.0,142,0.0,0.0,0.0,10000.0,0.0264383575665,0.0,0.0,49.240004,16.511673,1459588558.0
50,0.0,18,0.0,0.0,0.0,51.0,142,0.0,0.0,0.0,10000.0,0.0323135481369,0.0,0.0,49.240004,16.511673,1459588559.0
51,0.0,18,0.0,0.0,0.0,52.0,142,0.0,0.0,0.0,10000.0,0.0394943366117,0.0,0.0,49.240004,16.511673,1459588560.0
52,0.0,18,0.0,0.0,0.0,53.0,142,0.0,0.0,0.0,10000.0,0.0482708558588,0.0,0.0,49.240004,16.511673,1459588561.0
53,0.0,18,0.0,0.0,0.0,54.0,142,0.0,0.0,0.0,10000.0,0.0589977127163,0.0,0.0,49.240004,16.511673,1459588562.0
54,0.0,18,0.0,0.0,0.0,55.0,142,0.0,0.0,0.0,10000.0,0.0721083155421,0.0,0.0,49.240004,16.511673,1459588563.0
55,0.0,18,0.0,0.0,0.0,56.0,142,0.0,0.0,0.0,10000.0,0.0881323856626,0.0,0.0,49.240004,16.511673,1459588564.0
56,0.0,18,0.0,0.0,0.0,57.0,142,0.0,0.0,0.0,10000.0,0.107717360254,0.0,0.0,49.240004,16.511673,1459588565.0
57,0.0,18,0.0,0.0,0.0,58.0,142,0.0,0.0,0.0,10000.0,0.131654551422,0.0,0.0,49.240004,16.511673,1459588566.0
58,0.0,18,0.0,0.0,0.0,59.0,142,0.0,0.0,0.0,10000.0,0.160911118405,0.0,0.0,49.240004,16.511673,1459588567.0
59,0.0,18,0.0,0.0,0.0,60.0,142,0.0,0.0,0.0,10000.0,0.196669144717,0.0,0.0,49.240004,16.511673,1459588568.0
60,0.0,18,0.0,0.0,0.0,61.0,142,0.0,0.0,0.0,9856.87974097,0.240373399098,0.0,0.0,49.240004,16.511673,1459588569.0
61,0.0,18,0.0,0.0,0.0,62.0,142,0.0,0.0,0.0,8064.71978807,0.293789710009,0.0,0.0,49.240004,16.511673,1459588570.0
62,0.0,18,0.0,0.0,0.0,63.0,142,0.0,0.0,0.0,6598.40709933,0.359076312233,0.0,0.0,49.240004,16.511673,1459588571.0
63,0.0,18,0.0,0.0,0.0,64.0,142,0.0,0.0,0.0,5398.69671763,0.438871048285,0.0,0.0,49.240004,16.511673,1459588572.0
64,0.0,18,0.0,0.0,0.0,65.0,142,0.0,0.0,0.0,4417.11549624,0.536397947904,0.0,0.0,49.240004,16.511673,1459588573.0
65,0.0,18,0.0,0.0,0.0,66.0,142,0.0,0.0,0.0,3614.00358784,0.655597491882,0.0,0.0,49.240004,16.511673,1459588574.0
66,0.0,18,0.0,0.0,0.0,67.0,142,0.0,0.0,0.0,2956.91202641,0.801285823412,0.0,0.0,49.240004,16.511673,1459588575.0
67,0.0,18,0.0,0.0,0.0,68.0,142,0.0,0.0,0.0,2419.29165797,0.979349339726,0.0,0.0,49.240004,16.511673,1459588576.0
