index,index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,0.0,18.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,10000.0,1.41865195765e-06,0.0,0.0,49.240004,16.511673,1459588509.0,0.05,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,0.0,18.0,0.0,0.0,0.0,2.0,142.0,0.0,0.0,0.0,10000.0,1.73390794824e-06,0.0,0.0,49.240004,16.511673,1459588510.0,0.05,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,0.0,18.0,0.0,0.0,0.0,3.0,142.0,0.0,0.0,0.0,10000.0,2.11922082563e-06,0.0,0.0,49.240004,16.511673,1459588511.0,0.05,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,0.0,18.0,0.0,0.0,0.0,4.0,142.0,0.0,0.0,0.0,10000.0,2.59015878688e-06,0.0,0.0,49.240004,16.511673,1459588512.0,0.05,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,0.0,18.0,0.0,0.0,0.0,5.0,142.0,0.0,0.0,0.0,10000.0,3.16574962841e-06,0.0,0.0,49.240004,16.511673,1459588513.0,0.05,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,0.0,18.0,0.0,0.0,0.0,6.0,142.0,0.0,0.0,0.0,10000.0,3.86924954584e-06,0.0,0.0,49.240004,16.511673,1459588514.0,0.05,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,0.0,18.0,0.0,0.0,0.0,7.0,142.0,0.0,0.0,0.0,10000.0,4.72908277824e-06,0.0,0.0,49.240004,16.511673,1459588515.0,0.05,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,0.0,18.0,0.0,0.0,0.0,8.0,142.0,0.0,0.0,0.0,10000.0,5.7799900623e-06,0.0,0.0,49.240004,16.511673,1459588516.0,0.05,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,0.0,18.0,0.0,0.0,0.0,9.0,142.0,0.0,0.0,0.0,10000.0,7.06443229836e-06,0.0,0.0,49.240004,16.511673,1459588517.0,0.05,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,0.0,18.0,0.0,0.0,0.0,10.0,142.0,0.0,0.0,0.0,10000.0,8.63430614244e-06,0.0,0.0,49.240004,16.511673,1459588518.0,0.05,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
