"Stroke Number","Time (seconds)","Distance (meters)","Pace (seconds per 500m","Stroke Rate","Heart Rate"
"1","3.9","12.0","172.1","0","80"
"2","7.1","23.0","160.5","20","86"
"3","10.6","36.0","143.9","19","90"
"4","14.0","48.0","135.3","18","97"
"5","17.8","62.0","135.3","18","99"
"6","20.8","73.0","139.7","16","99"
"7","23.8","84.0","132.8","20","99"
"8","27.2","97.0","132.8","20","101"
"9","31.3","111.0","133.9","18","104"
"10","34.3","122.0","143.0","15","103"
"11","37.2","133.0","135.5","20","104"
"12","40.5","145.0","135.5","20","105"
"13","44.6","159.0","137.9","19","107"
"14","47.5","169.0","142.8","21","107"
"15","50.4","180.0","142.8","21","107"
"16","55.6","196.0","154.8","11","108"
"17","58.3","205.0","154.8","11","107"
"18","61.2","216.0","147.8","22","107"
"19","64.7","229.0","139.1","21","108"
"20","68.2","241.0","135.6","17","110"
"21","71.4","253.0","139.5","17","110"
"22","75.0","266.0","138.8","19","110"
"23","78.5","279.0","140.7","17","110"
"24","82.0","292.0","137.7","17","110"
"25","85.3","303.0","135.9","17","110"
"26","88.4","315.0","136.3","18","110"
"27","91.8","327.0","137.0","19","110"
"28","95.3","340.0","139.4","17","110"
"29","98.5","352.0","139.4","17","103"
"30","102.0","365.0","135.7","17","105"
"31","105.6","378.0","135.7","17","109"
"32","109.2","391.0","135.2","17","110"
"33","112.7","404.0","137.7","17","112"
"34","116.4","417.0","137.3","16","116"
"35","119.9","430.0","137.4","17","116"
"36","122.9","442.0","137.4","17","116"
"37","125.9","453.0","131.4","21","116"
"38","129.2","466.0","128.4","20","115"
"39","132.3","478.0","133.3","19","116"
"40","135.3","489.0","133.3","19","116"
"41","138.3","500.0","132.8","20","118"
"42","141.3","512.0","131.9","20","118"
"43","144.3","523.0","132.4","20","118"
"44","147.2","534.0","132.5","21","118"
"45","150.2","545.0","132.5","21","119"
"46","153.0","556.0","129.9","22","119"
"47","155.9","567.0","132.1","20","119"
"48","158.9","578.0","132.1","20","120"
"49","161.9","590.0","132.7","20","120"
"50","164.8","601.0","132.7","21","120"
"51","167.8","612.0","130.2","20","120"
"52","170.7","623.0","130.2","20","120"
"53","173.8","635.0","133.0","20","120"
"54","176.7","646.0","134.1","20","120"
"55","179.7","657.0","132.3","20","120"
"56","182.5","668.0","132.3","20","120"
"57","185.5","679.0","131.1","21","120"
"58","188.4","690.0","133.8","20","119"
"59","191.4","701.0","133.8","20","120"
"60","194.2","712.0","132.2","20","120"
"61","197.1","723.0","131.3","21","119"
"62","199.9","734.0","131.3","21","120"
