index, Cadence (stokes/min), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), Power (watts), Stroke500mPace (sec/500m),TimeStamp (sec)
0,0,0.0,80,12.0,68.663420367,172.1,1481734684.8
1,20,3.20000004768,86,23.0,84.6531131591,160.5,1481734688.0
2,19,6.70000004768,90,36.0,117.458827834,143.9,1481734691.5
3,18,10.1000001431,97,48.0,141.31057207,135.3,1481734694.9
4,18,13.9000000954,99,62.0,141.31057207,135.3,1481734698.7
5,16,16.9000000954,99,73.0,128.374518005,139.7,1481734701.7
6,20,19.9000000954,99,84.0,149.44239507,132.8,1481734704.7
7,20,23.2999999523,101,97.0,149.44239507,132.8,1481734708.1
8,18,27.4000000954,104,111.0,145.789522428,133.9,1481734712.2
9,15,30.4000000954,103,122.0,119.690569101,143.0,1481734715.2
10,20,33.2999999523,104,133.0,140.685765731,135.5,1481734718.1
11,20,36.6000001431,105,145.0,140.685765731,135.5,1481734721.4
12,19,40.7000000477,107,159.0,133.467413986,137.9,1481734725.5
13,21,43.6000001431,107,169.0,120.194175325,142.8,1481734728.4
14,21,46.5,107,180.0,120.194175325,142.8,1481734731.3
15,11,51.7000000477,108,196.0,94.3528831127,154.8,1481734736.5
16,11,54.4000000954,107,205.0,94.3528831127,154.8,1481734739.2
17,22,57.2999999523,107,216.0,108.403858881,147.8,1481734742.1
18,21,60.7999999523,108,229.0,130.042902554,139.1,1481734745.6
19,17,64.2999999523,110,241.0,140.374743517,135.6,1481734749.1
20,17,67.5,110,253.0,128.927458459,139.5,1481734752.3
21,19,71.1000001431,110,266.0,130.887944052,138.8,1481734755.9
22,17,74.6000001431,110,279.0,125.656729504,140.7,1481734759.4
23,17,78.1000001431,110,292.0,134.049816427,137.7,1481734762.9
24,17,81.4000000954,110,303.0,139.447160116,135.9,1481734766.2
25,18,84.5,110,315.0,138.22305161,136.3,1481734769.3
26,19,87.9000000954,110,327.0,136.115111383,137.0,1481734772.7
27,17,91.4000000954,110,340.0,129.205119796,139.4,1481734776.2
28,17,94.6000001431,103,352.0,129.205119796,139.4,1481734779.4
29,17,98.1000001431,105,365.0,140.064637421,135.7,1481734782.9
30,17,101.700000048,109,378.0,140.064637421,135.7,1481734786.5
31,17,105.299999952,110,391.0,141.624363011,135.2,1481734790.1
32,17,108.799999952,112,404.0,134.049816427,137.7,1481734793.6
33,16,112.5,116,417.0,135.224826421,137.3,1481734797.3
34,17,116.0,116,430.0,134.92979054,137.4,1481734800.8
35,17,119.0,116,442.0,134.92979054,137.4,1481734803.8
36,21,122.0,116,453.0,154.270166654,131.4,1481734806.8
37,20,125.299999952,115,466.0,165.338111639,128.4,1481734810.1
38,19,128.400000095,116,478.0,147.767047582,133.3,1481734813.2
39,19,131.400000095,116,489.0,147.767047582,133.3,1481734816.2
40,20,134.400000095,118,500.0,149.44239507,132.8,1481734819.2
41,20,137.400000095,118,512.0,152.522409574,131.9,1481734822.2
42,20,140.400000095,118,523.0,150.800954019,132.4,1481734825.2
43,21,143.299999952,118,534.0,150.459775519,132.5,1481734828.1
44,21,146.299999952,119,545.0,150.459775519,132.5,1481734831.1
45,22,149.100000143,119,556.0,159.676347977,129.9,1481734833.9
46,20,152.0,119,567.0,151.830699022,132.1,1481734836.8
47,20,155.0,120,578.0,151.830699022,132.1,1481734839.8
48,20,158.0,120,590.0,149.780499908,132.7,1481734842.8
49,21,160.900000095,120,601.0,149.780499908,132.7,1481734845.7
50,20,163.900000095,120,612.0,158.575135678,130.2,1481734848.7
51,20,166.799999952,120,623.0,158.575135678,130.2,1481734851.6
52,20,169.900000095,120,635.0,148.769232142,133.0,1481734854.7
53,20,172.799999952,120,646.0,145.138192689,134.1,1481734857.6
54,20,175.799999952,120,657.0,151.143164828,132.3,1481734860.6
55,20,178.600000143,120,668.0,151.143164828,132.3,1481734863.4
56,21,181.600000143,120,679.0,155.331654916,131.1,1481734866.4
