Total elapsed time (s),Total distance (m),Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Workout type,Interval type,Workout state,Rowing state,Stroke state,Total work distance (m),Piece duration (s),Piece distance (m),Drag factor,Current pace (/500m),Average pace (/500m),Rest distance (m),Rest time (s),Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time (s),Last split distance (m),Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (lbs),Ave. drive force (lbs),Work per stroke (J),Stroke count,Stroke power (W),Stroke calories (cal/hr),Projected work time (s),Projected work distance (m),Split/interval time (s),Split/interval distance (m),Split/interval rest time (s),Split/interval rest distance (s),Split/interval type,Split/interval number,Split/interval ave. stroke rate (/min),Split/interval ave. pace (/500m,Split/interval total calories (cals),Split/interval average calories (cal/hr),Split/interval speed (m/s),Split/interval power (W),Split/interval ave. drag factor
1.11,4.8,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
1.11,4.8,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
1.49,6.5,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
2.35,10.1,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
2.73,11.6,0,4.139,81,6,0,4,1,2,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
3.17,13.5,0,4.139,81,6,0,4,1,2,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,1.75,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
3.88,17.1,22,4.386,81,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
4.28,19.0,22,4.386,81,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
4.64,20.6,22,4.386,81,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
5.39,23.6,22,4.386,85,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
5.77,25.1,22,4.386,85,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
6.17,26.7,22,4.386,89,6,0,4,1,2,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,2.22,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
6.66,29.1,19,4.383,89,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
7.07,31.2,19,4.383,93,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
7.85,34.6,19,4.383,93,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
8.21,36.1,19,4.383,99,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
8.60,37.6,19,4.383,99,6,0,4,1,2,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
9.03,39.3,19,4.383,101,6,0,4,1,2,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,1.99,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
9.83,43.2,21,4.382,101,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.45,0.71,1.99,12.67,196.3,131.0,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
10.25,45.1,21,4.382,105,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
10.63,46.8,21,4.382,105,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
11.02,48.4,21,4.382,108,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
11.77,51.2,21,4.382,108,6,0,4,1,2,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
