index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
0,139.5,0,0,1.39,780.0,0.0,81,4.8,228.4,198.548788525,120.8,3.25,0.0,0.0,1481734697.22
1,139.5,0,0,1.39,780.0,0.0,81,4.8,228.4,198.548788525,120.8,3.25,0.0,0.0,1481734697.22
2,139.5,0,0,1.39,780.0,0.379999876022,81,6.5,228.4,198.548788525,120.8,3.25,0.0,0.0,1481734697.6
3,139.5,0,0,1.39,780.0,1.24000000954,81,10.1,228.4,198.548788525,120.8,3.25,0.0,0.0,1481734698.46
4,139.5,0,0,1.39,780.0,1.61999988556,81,11.6,228.4,198.548788525,120.8,3.25,0.0,0.0,1481734698.84
5,139.5,0,0,1.39,780.0,2.05999994278,81,13.5,228.4,198.548788525,120.8,3.25,1750.0,0.0,1481734699.28
6,142.9,22,131,1.48,730.0,2.76999998093,81,17.1,211.6,236.240030671,114.0,11.79,1750.0,0.0,1481734699.99
7,142.9,22,131,1.48,730.0,3.17000007629,81,19.0,211.6,236.240030671,114.0,11.79,1750.0,0.0,1481734700.39
8,142.9,22,131,1.48,730.0,3.52999997139,81,20.6,211.6,236.240030671,114.0,11.79,1750.0,0.0,1481734700.75
9,142.9,22,131,1.48,730.0,4.27999997139,85,23.6,211.6,236.240030671,114.0,11.79,1750.0,0.0,1481734701.5
10,142.9,22,131,1.48,730.0,4.66000008583,85,25.1,211.6,236.240030671,114.0,11.79,1750.0,0.0,1481734701.88
11,142.9,22,131,1.48,730.0,5.05999994278,89,26.7,211.6,236.240030671,114.0,11.79,2220.0,0.0,1481734702.28
12,131.0,19,132,1.45,710.0,5.54999995232,89,29.1,196.3,235.619435461,114.1,13.72,2220.0,0.0,1481734702.77
13,131.0,19,132,1.45,710.0,5.96000003815,93,31.2,196.3,235.619435461,114.1,13.72,2220.0,0.0,1481734703.18
14,131.0,19,132,1.45,710.0,6.74000000954,93,34.6,196.3,235.619435461,114.1,13.72,2220.0,0.0,1481734703.96
15,131.0,19,132,1.45,710.0,7.09999990463,99,36.1,196.3,235.619435461,114.1,13.72,2220.0,0.0,1481734704.32
16,131.0,19,132,1.45,710.0,7.49000000954,99,37.6,196.3,235.619435461,114.1,13.72,2220.0,0.0,1481734704.71
17,131.0,19,132,1.45,710.0,7.92000007629,101,39.3,196.3,235.619435461,114.1,13.72,1990.0,0.0,1481734705.14
18,131.0,21,132,1.45,710.0,8.72000002861,101,43.2,196.3,235.619435461,114.1,12.67,1990.0,0.0,1481734705.94
19,120.7,21,132,1.42,700.0,9.13999986649,105,45.1,182.1,235.619435461,114.1,12.67,1990.0,0.0,1481734706.36
20,120.7,21,132,1.42,700.0,9.51999998093,105,46.8,182.1,235.619435461,114.1,12.67,1990.0,0.0,1481734706.74
21,120.7,21,132,1.42,700.0,9.91000008583,108,48.4,182.1,235.619435461,114.1,12.67,1990.0,0.0,1481734707.13
22,120.7,21,132,1.42,700.0,10.6600000858,108,51.2,182.1,235.619435461,114.1,12.67,1990.0,0.0,1481734707.88
23,120.7,21,132,1.42,700.0,11.0299999714,109,52.7,182.1,235.619435461,114.1,12.67,2060.0,0.0,1481734708.25
24,111.3,20,131,1.48,750.0,11.4400000572,109,54.8,176.4,220.786438063,116.6,12.91,2060.0,0.0,1481734708.66
25,111.3,20,131,1.48,750.0,12.1700000763,111,58.1,176.4,220.786438063,116.6,12.91,2060.0,0.0,1481734709.39
26,111.3,20,131,1.48,750.0,12.5899999142,111,59.9,176.4,220.786438063,116.6,12.91,2060.0,0.0,1481734709.81
27,111.3,20,131,1.48,750.0,12.9500000477,112,61.3,176.4,220.786438063,116.6,12.91,2060.0,0.0,1481734710.17
28,111.3,20,131,1.48,750.0,13.3899998665,112,63.0,176.4,220.786438063,116.6,12.91,1910.0,0.0,1481734710.61
29,111.3,21,131,1.48,750.0,14.2100000381,113,66.6,176.4,219.65420213,116.8,12.91,1910.0,0.0,1481734711.43
30,124.4,21,131,1.48,730.0,14.5999999046,113,68.6,188.9,219.65420213,116.8,12.21,1910.0,0.0,1481734711.82
31,124.4,21,131,1.48,730.0,14.9800000191,114,70.3,188.9,219.65420213,116.8,12.21,1910.0,0.0,1481734712.2
32,124.4,21,131,1.48,730.0,15.7400000095,114,73.5,188.9,219.65420213,116.8,12.21,1910.0,0.0,1481734712.96
33,124.4,21,131,1.48,730.0,16.1499998569,115,75.1,188.9,219.65420213,116.8,12.21,1910.0,0.0,1481734713.37
34,124.4,21,131,1.48,730.0,16.5699999332,115,76.8,188.9,219.65420213,116.8,12.21,1930.0,0.0,1481734713.79
35,124.4,21,131,1.48,730.0,16.9700000286,115,78.7,188.9,219.65420213,116.8,12.42,1930.0,0.0,1481734714.19
36,108.6,21,131,1.45,720.0,17.7799999714,115,82.4,160.4,230.732067845,114.9,12.42,1930.0,0.0,1481734715.0
37,108.6,21,131,1.45,720.0,18.1399998665,116,84.0,160.4,230.732067845,114.9,12.42,1930.0,0.0,1481734715.36
38,108.6,21,131,1.45,720.0,18.5199999809,116,85.5,160.4,230.732067845,114.9,12.42,1930.0,0.0,1481734715.74
39,108.6,21,131,1.45,720.0,19.25,117,88.2,160.4,230.732067845,114.9,12.42,1930.0,0.0,1481734716.47
40,108.6,21,131,1.45,720.0,19.6399998665,117,89.9,160.4,230.732067845,114.9,12.42,1940.0,0.0,1481734716.86
41,107.5,21,131,1.51,770.0,20.0299999714,117,91.8,171.9,214.107644192,117.8,12.35,1940.0,0.0,1481734717.25
42,107.5,21,131,1.51,770.0,20.379999876,117,93.4,171.9,214.107644192,117.8,12.35,1940.0,0.0,1481734717.6
43,107.5,21,131,1.51,770.0,21.2000000477,118,96.9,171.9,214.107644192,117.8,12.35,1940.0,0.0,1481734718.42
44,107.5,21,131,1.51,770.0,21.5499999523,118,98.3,171.9,214.107644192,117.8,12.35,1940.0,0.0,1481734718.77
45,107.5,21,131,1.51,770.0,21.9700000286,119,99.9,171.9,214.107644192,117.8,12.35,1850.0,0.0,1481734719.19
46,107.5,21,131,1.51,770.0,22.3999998569,119,101.6,171.9,214.107644192,117.8,12.35,1850.0,0.0,1481734719.62
47,109.9,21,131,1.51,760.0,23.2100000381,119,105.6,170.2,215.751808366,117.5,11.97,1850.0,0.0,1481734720.43
48,109.9,21,131,1.51,760.0,23.5699999332,119,107.2,170.2,215.751808366,117.5,11.97,1850.0,0.0,1481734720.79
49,109.9,21,131,1.51,760.0,23.9500000477,119,108.7,170.2,215.751808366,117.5,11.97,1850.0,0.0,1481734721.17
50,109.9,21,131,1.51,760.0,24.7000000477,119,111.6,170.2,215.751808366,117.5,11.97,1850.0,0.0,1481734721.92
51,109.9,21,131,1.51,760.0,25.0599999428,119,113.0,170.2,215.751808366,117.5,11.97,1870.0,0.0,1481734722.28
52,109.9,21,131,1.51,760.0,25.4900000095,119,115.0,170.2,215.751808366,117.5,12.05,1870.0,0.0,1481734722.71
53,109.3,21,132,1.48,750.0,26.2400000095,120,118.5,160.5,216.857280902,117.3,12.05,1870.0,0.0,1481734723.46
54,109.3,21,132,1.48,750.0,26.6600000858,120,120.4,160.5,216.857280902,117.3,12.05,1870.0,0.0,1481734723.88
55,109.3,21,132,1.48,750.0,27.0399999619,120,121.9,160.5,216.857280902,117.3,12.05,1870.0,0.0,1481734724.26
56,109.3,21,132,1.48,750.0,27.4600000381,120,123.5,160.5,216.857280902,117.3,12.05,1870.0,0.0,1481734724.68
57,109.3,21,132,1.48,750.0,28.2799999714,120,126.9,160.5,216.857280902,117.3,12.05,1920.0,0.0,1481734725.5
58,109.3,21,131,1.48,750.0,28.6399998665,120,128.6,160.5,214.107644192,117.8,12.14,1920.0,0.0,1481734725.86
59,113.1,21,131,1.45,730.0,29.0299999714,120,130.4,165.0,214.107644192,117.8,12.14,1920.0,0.0,1481734726.25
60,113.1,21,131,1.45,730.0,29.4200000763,120,132.1,165.0,214.107644192,117.8,12.14,1920.0,0.0,1481734726.64
61,113.1,21,131,1.45,730.0,30.1600000858,120,135.1,165.0,214.107644192,117.8,12.14,1920.0,0.0,1481734727.38
62,113.1,21,131,1.45,730.0,30.5499999523,120,136.5,165.0,214.107644192,117.8,12.14,1890.0,0.0,1481734727.77
63,113.1,21,131,1.45,730.0,30.9100000858,120,138.0,165.0,214.107644192,117.8,12.14,1890.0,0.0,1481734728.13
64,107.2,21,132,1.42,740.0,31.7000000477,120,141.7,160.3,214.653836898,117.7,12.04,1890.0,0.0,1481734728.92
65,107.2,21,132,1.42,740.0,32.0599999428,121,143.3,160.3,214.653836898,117.7,12.04,1890.0,0.0,1481734729.28
66,107.2,21,132,1.42,740.0,32.4400000572,121,144.9,160.3,214.653836898,117.7,12.04,1890.0,0.0,1481734729.66
67,107.2,21,132,1.42,740.0,32.9500000477,120,146.9,160.3,214.653836898,117.7,12.04,1890.0,0.0,1481734730.17
68,107.2,21,132,1.42,740.0,33.7100000381,120,149.8,160.3,214.653836898,117.7,12.04,1950.0,0.0,1481734730.93
69,110.2,21,132,1.42,740.0,34.0999999046,121,151.7,160.8,208.746269239,118.8,12.14,1950.0,0.0,1481734731.32
70,110.2,21,132,1.42,740.0,34.4500000477,121,153.4,160.8,208.746269239,118.8,12.14,1950.0,0.0,1481734731.67
71,110.2,21,132,1.42,740.0,34.8399999142,121,155.1,160.8,208.746269239,118.8,12.14,1950.0,0.0,1481734732.06
72,110.2,21,132,1.42,740.0,35.6199998856,121,158.3,160.8,208.746269239,118.8,12.14,1950.0,0.0,1481734732.84
73,110.2,21,132,1.42,740.0,36.0499999523,121,159.9,160.8,208.746269239,118.8,12.14,1950.0,0.0,1481734733.27
74,110.2,21,132,1.42,740.0,36.4500000477,121,161.4,160.8,208.746269239,118.8,12.14,1930.0,0.0,1481734733.67
75,110.2,21,132,1.42,740.0,36.8599998951,121,163.3,160.8,208.746269239,118.8,12.14,1930.0,0.0,1481734734.08
76,112.8,21,132,1.48,750.0,37.629999876,121,166.9,171.8,210.869096475,118.4,12.14,1930.0,0.0,1481734734.85
77,112.8,21,132,1.48,750.0,38.0199999809,121,168.6,171.8,210.869096475,118.4,12.14,1930.0,0.0,1481734735.24
