index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min),Speed (m/s), HRCur (bpm),Workout type,Interval type,Workout state,Rowing state,Stroke state,Total work distance (m),Piece duration (s),Piece distance (m), DragFactor, Stroke500mPace (sec/500m),Average pace (/500m),Rest distance (m),Rest time (s),Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m), Power (watts),Split average calories (cal/hr),Last split time (s),Last split distance (m), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), StrokeDistance (meters), PeakDriveForce (lbs), AverageDriveForce (lbs),Work per stroke (J),Stroke count,Stroke power (W),Stroke calories (cal/hr),Projected work time (s),Projected work distance (m),Split/interval time (s),Split/interval distance (m),Split/interval rest time (s),Split/interval rest distance (s),Split/interval type,Split/interval number,Split/interval ave. stroke rate (/min),Split/interval ave. pace (/500m,Split/interval total calories (cals),Split/interval average calories (cal/hr),Split/interval speed (m/s),Split/interval power (W),Split/interval ave. drag factor, lapIdx, ElapsedTime (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1712902811.681406,4.8,0.0,4.139,81.0,6,0,4,1,4,0.0,600.0,600.0,0.0,120.8,120.4,0.0,0.0,0,201,0,0.0,0.0,0,0.0,0,1.39,780.0,0.0,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,4.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1712902811.681406,4.8,0.0,4.139,81.0,6,0,4,1,4,0.0,600.0,600.0,0.0,120.8,120.4,0.0,0.0,0,201,0,0.0,0.0,0,0.0,0,1.39,780.0,0.0,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,4.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1712902812.061406,6.5,0.0,4.139,81.0,6,0,4,1,4,0.0,600.0,600.0,0.0,120.8,120.4,0.0,0.0,0,201,0,0.0,0.0,0,0.0,0,1.39,780.0,0.0,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.37999987602233887,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1712902812.921406,10.1,0.0,4.139,81.0,6,0,4,1,4,0.0,600.0,600.0,0.0,120.8,120.4,0.0,0.0,0,201,0,0.0,0.0,0,0.0,0,1.39,780.0,0.0,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1.2400000095367432,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1712902813.301406,11.6,0.0,4.139,81.0,6,0,4,1,2,0.0,600.0,600.0,0.0,120.8,120.4,0.0,0.0,0,201,0,0.0,0.0,0,0.0,0,1.39,780.0,0.0,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1.619999885559082,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,11.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1712902813.741406,13.5,0.0,4.139,81.0,6,0,4,1,2,0.0,600.0,600.0,0.0,120.8,120.4,0.0,0.0,0,201,0,0.0,0.0,0,0.0,0,1.39,780.0,1750.0,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2.059999942779541,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,13.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1712902814.451406,17.1,22.0,4.386,81.0,6,0,4,1,4,0.0,600.0,600.0,131.0,114.0,115.0,0.0,0.0,0,230,1,0.0,0.0,0,0.0,0,1.48,730.0,1750.0,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2.7699999809265137,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,17.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1712902814.851406,19.0,22.0,4.386,81.0,6,0,4,1,4,0.0,600.0,600.0,131.0,114.0,115.0,0.0,0.0,0,230,1,0.0,0.0,0,0.0,0,1.48,730.0,1750.0,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3.1700000762939453,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,19.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1712902815.211406,20.6,22.0,4.386,81.0,6,0,4,1,4,0.0,600.0,600.0,131.0,114.0,115.0,0.0,0.0,0,230,1,0.0,0.0,0,0.0,0,1.48,730.0,1750.0,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3.5299999713897705,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1712902815.961406,23.6,22.0,4.386,85.0,6,0,4,1,4,0.0,600.0,600.0,131.0,114.0,115.0,0.0,0.0,0,230,1,0.0,0.0,0,0.0,0,1.48,730.0,1750.0,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4.2799999713897705,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
