Total elapsed time,Total distance,Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Interval type,Workout state,Rowing state,Stroke count,Stroke state,Total work distance,Piece duration,Piece distance,Drag factor,Current pace (/500m),Average pace (/500m),Rest distance,Rest time,Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time,Last split distance
0:02.1,6 m,0,3,95,Time,Running,Active,1,Recovery,0 m,0:00.0,0 m,0,2:48.2,2:47.7,0 m,0:00,1,74,0,2:47.7,74,0,0:00.0,0 m
0:03.1,9 m,0,3,99,Time,Running,Active,1,Recovery,0 m,0:00.0,0 m,0,2:48.2,0:00.0,0 m,0:00,1,0,0,2:41.3,84,0,0:00.0,0 m
0:04.1,12 m,0,3,100,Time,Running,Active,1,Driving,0 m,0:00.0,0 m,0,2:48.2,0:00.0,0 m,0:00,1,0,0,2:41.3,84,0,0:00.0,0 m
0:05.1,15 m,0,3,100,Time,Running,Active,2,Recovery,0 m,0:00.0,0 m,106,2:48.2,0:00.0,0 m,0:00,1,0,0,2:41.3,84,0,0:00.0,0 m
0:06.1,18 m,19,3.1,102,Time,Running,Active,2,Recovery,0 m,0:00.0,0 m,106,2:40.7,2:42.1,0 m,0:00,1,82,0,2:42.1,82,0,0:00.0,0 m
0:07.2,21 m,19,3.1,102,Time,Running,Active,2,Driving,0 m,0:00.0,0 m,106,2:40.7,2:42.1,0 m,0:00,1,82,0,2:42.1,82,0,0:00.0,0 m
0:08.2,24 m,19,3.1,101,Time,Running,Active,3,Recovery,0 m,0:00.0,0 m,105,2:40.7,2:42.1,0 m,0:00,1,82,0,2:42.1,82,0,0:00.0,0 m
0:09.1,27 m,18,2.9,101,Time,Running,Active,3,Recovery,0 m,0:00.0,0 m,105,2:52.4,2:46.4,0 m,0:00,1,76,1,2:46.4,76,1,0:00.0,0 m
0:10.2,30 m,18,2.9,103,Time,Running,Active,3,Driving,0 m,0:00.0,0 m,105,2:52.4,2:46.4,0 m,0:00,1,76,1,2:46.4,76,1,0:00.0,0 m
0:11.2,33 m,18,2.9,102,Time,Running,Active,4,Recovery,0 m,0:00.0,0 m,105,2:52.4,2:46.4,0 m,0:00,1,76,1,2:46.4,76,1,0:00.0,0 m
0:12.2,36 m,19,3,102,Time,Running,Active,4,Recovery,0 m,0:00.0,0 m,105,2:45.8,2:46.0,0 m,0:00,1,77,1,2:46.0,77,1,0:00.0,0 m
0:13.2,39 m,19,3,101,Time,Running,Active,4,Recovery,0 m,0:00.0,0 m,105,2:45.8,2:46.0,0 m,0:00,1,77,1,2:46.0,77,1,0:00.0,0 m
0:14.2,42 m,19,3,98,Time,Running,Active,4,Dwelling,0 m,0:00.0,0 m,105,2:45.8,2:46.0,0 m,0:00,1,77,1,2:46.0,77,1,0:00.0,0 m
0:15.2,45 m,17,3,97,Time,Running,Active,5,Recovery,0 m,0:00.0,0 m,105,2:47.6,2:46.3,0 m,0:00,1,76,2,2:46.3,76,2,0:00.0,0 m
0:16.2,48 m,17,3,96,Time,Running,Active,5,Recovery,0 m,0:00.0,0 m,105,2:47.6,2:46.3,0 m,0:00,1,76,2,2:46.3,76,2,0:00.0,0 m
0:17.2,51 m,17,3,97,Time,Running,Active,5,Driving,0 m,0:00.0,0 m,105,2:47.6,2:46.3,0 m,0:00,1,76,2,2:46.3,76,2,0:00.0,0 m
0:18.2,55 m,17,3,99,Time,Running,Active,6,Recovery,0 m,0:00.0,0 m,105,2:47.6,2:46.3,0 m,0:00,1,76,2,2:46.3,76,2,0:00.0,0 m
0:19.2,58 m,18,3.1,103,Time,Running,Active,6,Recovery,0 m,0:00.0,0 m,105,2:43.6,2:45.7,0 m,0:00,1,77,2,2:45.7,77,2,0:00.0,0 m
0:20.2,61 m,18,3.1,105,Time,Running,Active,6,Recovery,0 m,0:00.0,0 m,105,2:43.6,2:45.7,0 m,0:00,1,77,2,2:45.7,77,2,0:00.0,0 m
0:21.2,64 m,18,3.1,106,Time,Running,Active,6,Driving,0 m,0:00.0,0 m,105,2:43.6,2:45.7,0 m,0:00,1,77,2,2:45.7,77,2,0:00.0,0 m
0:22.2,67 m,18,3.1,107,Time,Running,Active,7,Recovery,0 m,0:00.0,0 m,105,2:43.6,2:45.7,0 m,0:00,1,77,2,2:45.7,77,2,0:00.0,0 m
0:23.2,70 m,16,3,107,Time,Running,Active,7,Recovery,0 m,0:00.0,0 m,105,2:46.1,2:45.7,0 m,0:00,1,77,3,2:45.7,77,3,0:00.0,0 m
0:24.2,73 m,16,3,109,Time,Running,Active,7,Driving,0 m,0:00.0,0 m,105,2:46.1,2:45.7,0 m,0:00,1,77,3,2:45.7,77,3,0:00.0,0 m
0:25.3,76 m,16,3,110,Time,Running,Active,8,Recovery,0 m,0:00.0,0 m,105,2:46.1,2:45.7,0 m,0:00,1,77,3,2:45.7,77,3,0:00.0,0 m
0:26.2,79 m,17,3,111,Time,Running,Active,8,Recovery,0 m,0:00.0,0 m,105,2:46.4,2:45.7,0 m,0:00,1,77,3,2:45.7,77,3,0:00.0,0 m
0:27.3,82 m,17,3,112,Time,Running,Active,8,Recovery,0 m,0:00.0,0 m,105,2:46.4,2:45.7,0 m,0:00,1,77,3,2:45.7,77,3,0:00.0,0 m
0:28.3,85 m,17,3,112,Time,Running,Active,8,Driving,0 m,0:00.0,0 m,105,2:46.4,2:45.7,0 m,0:00,1,77,3,2:45.7,77,3,0:00.0,0 m
0:29.3,88 m,17,3,111,Time,Running,Active,9,Recovery,0 m,0:00.0,0 m,105,2:46.4,2:45.7,0 m,0:00,1,77,3,2:45.7,77,3,0:00.0,0 m
0:30.3,91 m,17,3.1,111,Time,Running,Active,9,Recovery,0 m,0:00.0,0 m,105,2:42.8,2:45.3,0 m,0:00,1,78,4,2:45.3,78,4,0:00.0,0 m
0:31.3,94 m,17,3.1,112,Time,Running,Active,9,Driving,0 m,0:00.0,0 m,105,2:42.8,2:45.3,0 m,0:00,1,78,4,2:45.3,78,4,0:00.0,0 m
0:32.3,98 m,17,3.1,111,Time,Running,Active,10,Recovery,0 m,0:00.0,0 m,105,2:42.8,2:45.3,0 m,0:00,1,78,4,2:45.3,78,4,0:00.0,0 m
0:33.3,101 m,17,3.1,110,Time,Running,Active,10,Recovery,0 m,0:00.0,0 m,105,2:41.4,2:44.8,0 m,0:00,1,78,5,2:44.8,78,5,0:00.0,0 m
0:34.3,104 m,17,3.1,109,Time,Running,Active,10,Recovery,0 m,0:00.0,0 m,105,2:41.4,2:44.8,0 m,0:00,1,78,5,2:44.8,78,5,0:00.0,0 m
0:35.3,107 m,17,3.1,110,Time,Running,Active,10,Dwelling,0 m,0:00.0,0 m,105,2:41.4,2:44.8,0 m,0:00,1,78,5,2:44.8,78,5,0:00.0,0 m
0:36.3,110 m,18,3.1,110,Time,Running,Active,11,Recovery,0 m,0:00.0,0 m,105,2:41.3,2:44.4,0 m,0:00,1,79,5,2:44.4,79,5,0:00.0,0 m
0:37.3,113 m,18,3.1,110,Time,Running,Active,11,Recovery,0 m,0:00.0,0 m,105,2:41.3,2:44.4,0 m,0:00,1,79,5,2:44.4,79,5,0:00.0,0 m
0:38.3,116 m,18,3.1,113,Time,Running,Active,11,Driving,0 m,0:00.0,0 m,105,2:41.3,2:44.4,0 m,0:00,1,79,5,2:44.4,79,5,0:00.0,0 m
0:39.3,120 m,18,3.1,112,Time,Running,Active,12,Recovery,0 m,0:00.0,0 m,105,2:41.3,2:44.4,0 m,0:00,1,79,5,2:44.4,79,5,0:00.0,0 m
0:40.3,123 m,17,3.1,112,Time,Running,Active,12,Recovery,0 m,0:00.0,0 m,105,2:40.6,2:44.0,0 m,0:00,1,79,6,2:44.0,79,6,0:00.0,0 m
0:41.4,126 m,17,3.1,112,Time,Running,Active,12,Recovery,0 m,0:00.0,0 m,105,2:40.6,2:44.0,0 m,0:00,1,79,6,2:44.0,79,6,0:00.0,0 m
0:42.4,129 m,17,3.1,112,Time,Running,Active,13,Recovery,0 m,0:00.0,0 m,105,2:40.6,2:44.0,0 m,0:00,1,79,6,2:44.0,79,6,0:00.0,0 m
0:43.4,132 m,18,3.2,113,Time,Running,Active,13,Recovery,0 m,0:00.0,0 m,105,2:38.7,2:43.6,0 m,0:00,1,80,6,2:43.6,80,6,0:00.0,0 m
0:44.4,135 m,18,3.2,115,Time,Running,Active,13,Recovery,0 m,0:00.0,0 m,105,2:38.7,2:43.6,0 m,0:00,1,80,6,2:43.6,80,6,0:00.0,0 m
0:45.4,139 m,18,3.2,115,Time,Running,Active,13,Driving,0 m,0:00.0,0 m,105,2:38.7,2:43.6,0 m,0:00,1,80,6,2:43.6,80,6,0:00.0,0 m
0:46.4,142 m,18,3.2,116,Time,Running,Active,14,Recovery,0 m,0:00.0,0 m,105,2:38.7,2:43.6,0 m,0:00,1,80,6,2:43.6,80,6,0:00.0,0 m
0:47.4,145 m,18,3.2,116,Time,Running,Active,14,Recovery,0 m,0:00.0,0 m,105,2:38.6,2:43.2,0 m,0:00,1,81,7,2:43.2,81,7,0:00.0,0 m
0:48.4,148 m,18,3.2,117,Time,Running,Active,14,Driving,0 m,0:00.0,0 m,105,2:38.6,2:43.2,0 m,0:00,1,81,7,2:43.2,81,7,0:00.0,0 m
0:49.4,151 m,18,3.2,116,Time,Running,Active,15,Recovery,0 m,0:00.0,0 m,105,2:38.6,2:43.2,0 m,0:00,1,81,7,2:43.2,81,7,0:00.0,0 m
0:50.4,155 m,18,3.2,117,Time,Running,Active,15,Recovery,0 m,0:00.0,0 m,105,2:39.1,2:42.8,0 m,0:00,1,81,7,2:42.8,81,7,0:00.0,0 m
0:51.4,157 m,18,3.2,117,Time,Running,Active,15,Recovery,0 m,0:00.0,0 m,105,2:39.1,2:42.8,0 m,0:00,1,81,7,2:42.8,81,7,0:00.0,0 m
0:52.4,161 m,18,3.2,116,Time,Running,Active,16,Recovery,0 m,0:00.0,0 m,105,2:39.1,2:42.8,0 m,0:00,1,81,7,2:42.8,81,7,0:00.0,0 m
0:53.4,164 m,18,3.2,116,Time,Running,Active,16,Recovery,0 m,0:00.0,0 m,105,2:38.5,2:42.5,0 m,0:00,1,82,8,2:42.5,82,8,0:00.0,0 m
0:54.4,167 m,18,3.2,117,Time,Running,Active,16,Recovery,0 m,0:00.0,0 m,105,2:38.5,2:42.5,0 m,0:00,1,82,8,2:42.5,82,8,0:00.0,0 m
