index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min),Speed (m/s), HRCur (bpm),Interval type,Workout state,Rowing state,Stroke count,Stroke state,Total work distance,Piece duration,Piece distance, DragFactor, Stroke500mPace (sec/500m),Average pace (/500m),Rest distance,Rest time,Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m), Power (watts),Split average calories (cal/hr),Last split time,Last split distance, lapIdx, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1712902823.237221,6.0,0.0,3.0,95.0,Time,Running,Active,1,Recovery,0 m,0:00.0,0 m,0.0,168.2,2:47.7,0 m,0:00,1,74,0,2:47.7,74.0,0,0:00.0,0 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9726516052318672,0.0,0.0,0.0,1.0,4.0,0,inf,95.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.0,74.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1712902824.237221,9.0,0.0,3.0,99.0,Time,Running,Active,1,Recovery,0 m,0:00.0,0 m,0.0,168.2,0:00.0,0 m,0:00,1,0,0,2:41.3,84.0,0,0:00.0,0 m,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9726516052318672,0.0,0.0,0.0,1.0,4.0,0,inf,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,9.0,84.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1712902825.237221,12.0,0.0,3.0,100.0,Time,Running,Active,1,Driving,0 m,0:00.0,0 m,0.0,168.2,0:00.0,0 m,0:00,1,0,0,2:41.3,84.0,0,0:00.0,0 m,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.9726516052318672,0.0,0.0,0.0,1.0,4.0,0,inf,100.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,12.0,84.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1712902826.237221,15.0,0.0,3.0,100.0,Time,Running,Active,2,Recovery,0 m,0:00.0,0 m,106.0,168.2,0:00.0,0 m,0:00,1,0,0,2:41.3,84.0,0,0:00.0,0 m,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.9726516052318672,0.0,0.0,0.0,1.0,4.0,0,inf,100.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,15.0,84.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1712902827.237221,18.0,19.0,3.1,102.0,Time,Running,Active,2,Recovery,0 m,0:00.0,0 m,106.0,160.7,2:42.1,0 m,0:00,1,82,0,2:42.1,82.0,0,0:00.0,0 m,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.1113876789047916,0.0,0.0,0.0,1.0,4.0,0,258.94736842105266,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,18.0,82.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1712902828.337221,21.0,19.0,3.1,102.0,Time,Running,Active,2,Driving,0 m,0:00.0,0 m,106.0,160.7,2:42.1,0 m,0:00,1,82,0,2:42.1,82.0,0,0:00.0,0 m,0.0,5.099999904632568,0.0,0.0,0.0,0.0,0.0,3.1113876789047916,0.0,0.0,0.0,1.0,4.0,0,258.94736842105266,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,21.0,82.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1712902829.337221,24.0,19.0,3.1,101.0,Time,Running,Active,3,Recovery,0 m,0:00.0,0 m,105.0,160.7,2:42.1,0 m,0:00,1,82,0,2:42.1,82.0,0,0:00.0,0 m,0.0,6.099999904632568,0.0,0.0,0.0,0.0,0.0,3.1113876789047916,0.0,0.0,0.0,1.0,4.0,0,258.94736842105266,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,24.0,82.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1712902830.237221,27.0,18.0,2.9,101.0,Time,Running,Active,3,Recovery,0 m,0:00.0,0 m,105.0,172.4,2:46.4,0 m,0:00,1,76,1,2:46.4,76.0,1,0:00.0,0 m,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.9002320185614847,0.0,0.0,0.0,1.0,4.0,1,253.33333333333334,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.0,76.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1712902831.337221,30.0,18.0,2.9,103.0,Time,Running,Active,3,Driving,0 m,0:00.0,0 m,105.0,172.4,2:46.4,0 m,0:00,1,76,1,2:46.4,76.0,1,0:00.0,0 m,0.0,8.099999904632568,0.0,0.0,0.0,0.0,0.0,2.9002320185614847,0.0,0.0,0.0,1.0,4.0,1,253.33333333333334,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,30.0,76.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1712902832.337221,33.0,18.0,2.9,102.0,Time,Running,Active,4,Recovery,0 m,0:00.0,0 m,105.0,172.4,2:46.4,0 m,0:00,1,76,1,2:46.4,76.0,1,0:00.0,0 m,0.0,9.099999904632568,0.0,0.0,0.0,0.0,0.0,2.9002320185614847,0.0,0.0,0.0,1.0,4.0,1,253.33333333333334,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,33.0,76.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
