index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
0,139.5,0,1.39,780.0,1.11,81,4.8,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.11
1,139.5,0,1.39,780.0,1.11,81,4.8,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.11
2,139.5,0,1.39,780.0,1.49,81,6.5,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.49
3,139.5,0,1.39,780.0,2.35,81,10.1,228.4,198.548788525,120.8,3.25,0.0,0,1464703624.35
4,139.5,0,1.39,780.0,2.73,81,11.6,228.4,198.548788525,120.8,3.25,0.0,0,1464703624.73
5,139.5,0,1.39,780.0,3.17,81,13.5,228.4,198.548788525,120.8,3.25,1750.0,0,1464703625.17
6,142.9,22,1.48,730.0,3.88,81,17.1,211.6,236.240030671,114.0,11.79,1750.0,0,1464703625.88
7,142.9,22,1.48,730.0,4.28,81,19.0,211.6,236.240030671,114.0,11.79,1750.0,0,1464703626.28
8,142.9,22,1.48,730.0,4.64,81,20.6,211.6,236.240030671,114.0,11.79,1750.0,0,1464703626.64
9,142.9,22,1.48,730.0,5.39,85,23.6,211.6,236.240030671,114.0,11.79,1750.0,0,1464703627.39
10,142.9,22,1.48,730.0,5.77,85,25.1,211.6,236.240030671,114.0,11.79,1750.0,0,1464703627.77
11,142.9,22,1.48,730.0,6.17,89,26.7,211.6,236.240030671,114.0,11.79,2220.0,0,1464703628.17
12,131.0,19,1.45,710.0,6.66,89,29.1,196.3,235.619435461,114.1,13.72,2220.0,0,1464703628.66
13,131.0,19,1.45,710.0,7.07,93,31.2,196.3,235.619435461,114.1,13.72,2220.0,0,1464703629.07
14,131.0,19,1.45,710.0,7.85,93,34.6,196.3,235.619435461,114.1,13.72,2220.0,0,1464703629.85
