index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,139.5,0.0,1.39,780.0,1.11,81.0,4.8,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.11,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,inf,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,4.8,0.0,0.0,198.548788525,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,139.5,0.0,1.39,780.0,1.11,81.0,4.8,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.11,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,inf,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,4.8,0.0,0.0,198.548788525,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,139.5,0.0,1.39,780.0,1.49,81.0,6.5,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.49,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,inf,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.5,0.0,0.0,198.548788525,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,139.5,0.0,1.39,780.0,2.35,81.0,10.1,228.4,198.548788525,120.8,3.25,0.0,0,1464703624.35,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,inf,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.1,0.0,0.0,198.548788525,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,139.5,0.0,1.39,780.0,2.73,81.0,11.6,228.4,198.548788525,120.8,3.25,0.0,0,1464703624.73,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,inf,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,11.6,0.0,0.0,198.548788525,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,139.5,0.0,1.39,780.0,3.17,81.0,13.5,228.4,198.548788525,120.8,3.25,1750.0,0,1464703625.17,0.0,4.13907284768212,620.52669,1015.9734480000001,1.0,4.0,0,inf,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,13.5,0.0,0.0,198.548788525,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,142.9,22.0,1.48,730.0,3.88,81.0,17.1,211.6,236.240030671,114.0,11.79,1750.0,0,1464703625.88,0.0,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,644.2909927390909,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,17.1,0.0,0.0,0.0,236.240030671,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,142.9,22.0,1.48,730.0,4.28,81.0,19.0,211.6,236.240030671,114.0,11.79,1750.0,0,1464703626.28,0.0,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,644.2909927390909,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,19.0,0.0,0.0,0.0,236.240030671,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,142.9,22.0,1.48,730.0,4.64,81.0,20.6,211.6,236.240030671,114.0,11.79,1750.0,0,1464703626.64,0.0,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,644.2909927390909,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.6,0.0,0.0,0.0,236.240030671,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,142.9,22.0,1.48,730.0,5.39,85.0,23.6,211.6,236.240030671,114.0,11.79,1750.0,0,1464703627.39,0.0,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,644.2909927390909,85.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.6,0.0,0.0,0.0,236.240030671,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
