index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), longitude,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,0.0,19.0,0.0,0.0,127.0,0.0,0.0,0.0,4830.526785426553,1.7173338239931883,0.0,16.513412,1458984805.0,0.0,0.0,0.10350837956399991,0.0,0.0,0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,0.0,19.0,0.0,0.0,127.0,0.4449193325549716,0.0,0.0,1997.7648029123732,2.520046382975924,0.0,16.513412,1458984806.0,1.0,0.0,0.2502797122419476,0.0,0.0,0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.4449193325549716,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,0.0,19.0,0.0,0.0,127.0,0.5175418978199996,0.0,0.0,767.2995450573993,3.298979095114113,0.0,16.513411,1458984807.0,2.0,0.0,0.6516359917333152,0.0,0.0,0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.5175418978199996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,0.0,30.0,0.0,0.0,98.0,2.719111887989215,0.0,0.0,480.2601790836559,3.9245734815230096,0.0,16.513384,1458984810.0,5.0,0.0,1.04110234780241,0.0,0.0,0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,2.719111887989215,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,0.0,30.0,0.0,0.0,98.0,4.725893285446054,0.0,0.0,355.76641812681373,5.108337547287524,0.0,16.513361,1458984811.0,6.0,0.0,1.4054165163553292,0.0,0.0,0,1.0,4.0,2,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,4.725893285446054,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,0.0,30.0,0.0,0.0,98.0,6.673225065791527,0.0,0.0,271.47994312778764,4.978543419850101,0.0,16.513338,1458984812.0,7.0,0.0,1.8417566846352487,0.0,0.0,0,1.0,4.0,3,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.673225065791527,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,0.0,22.0,0.0,0.0,98.0,8.939715241111095,0.0,0.0,231.77856228252332,5.835668027799159,0.0,16.51331,1458984813.0,8.0,0.0,2.1572314327782043,0.0,0.0,0,1.0,4.0,3,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,8.939715241111095,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,0.0,22.0,0.0,0.0,98.0,11.194038647775718,0.0,0.0,211.46279641313964,6.555568529618842,0.0,16.513283,1458984814.0,9.0,0.0,2.36448211449516,0.0,0.0,0,1.0,4.0,4,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,11.194038647775718,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,0.0,22.0,0.0,0.0,98.0,13.505269051880234,0.0,0.0,204.11110161579268,6.844271050427537,0.0,16.513256,1458984815.0,10.0,0.0,2.449646276179392,0.0,0.0,0,1.0,4.0,4,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,13.505269051880234,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,0.0,19.0,0.0,0.0,98.0,16.54830385792185,0.0,0.0,210.53877422608423,7.15087169228866,0.0,16.51322,1458984816.0,11.0,0.0,2.37485946157871,0.0,0.0,0,1.0,4.0,4,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,16.54830385792185,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,10,0.0,19.0,0.0,0.0,98.0,18.921456446688484,0.0,0.0,207.42858882672652,7.106383724458083,0.0,16.513192,1458984817.0,12.0,0.0,2.410468117380243,0.0,0.0,0,1.0,4.0,5,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,18.921456446688484,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,11,0.0,19.0,0.0,0.0,98.0,20.814012549004644,0.0,0.0,216.1622822018805,6.993893839172134,0.0,16.513169,1458984818.0,13.0,0.0,2.3130769850636335,0.0,0.0,0,1.0,4.0,5,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.814012549004644,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,12,0.0,18.0,0.0,0.0,98.0,23.24637923467693,0.0,0.0,230.55560769574197,6.887240923084911,0.0,16.513141,1458984819.0,14.0,0.0,2.1686742083490613,0.0,0.0,0,1.0,4.0,5,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.24637923467693,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,13,0.0,18.0,0.0,0.0,98.0,25.0706539771984,0.0,0.0,229.22039264737032,7.117734100046856,0.0,16.51312,1458984820.0,15.0,0.0,2.181306794850463,0.0,0.0,0,1.0,4.0,6,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,25.0706539771984,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,0.0,21.0,0.0,0.0,98.0,27.39167489966716,0.0,0.0,217.21916352965988,7.325897064108338,0.0,16.513095,1458984821.0,16.0,0.0,2.3018226931516943,0.0,0.0,0,1.0,4.0,6,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.39167489966716,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,0.0,21.0,0.0,0.0,98.0,29.8279904209408,0.0,0.0,206.11013917567576,7.600857888277693,0.0,16.513068,1458984822.0,17.0,0.0,2.4258874502715773,0.0,0.0,0,1.0,4.0,6,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.8279904209408,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,0.0,21.0,0.0,0.0,98.0,32.32312601476312,0.0,0.0,189.923589066017,7.262777804143338,0.0,16.51304,1458984823.0,18.0,0.0,2.6326376963432443,0.0,0.0,0,1.0,4.0,7,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.32312601476312,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,0.0,23.0,0.0,0.0,98.0,35.375816486034815,0.0,0.0,189.9706198518313,7.433735251216495,0.0,16.513007,1458984824.0,19.0,0.0,2.631985937562229,0.0,0.0,0,1.0,4.0,7,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,35.375816486034815,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,18,0.0,23.0,0.0,0.0,98.0,38.233842458914616,0.0,0.0,182.2206817577754,7.935957122618285,0.0,16.512974,1458984825.0,20.0,0.0,2.743925635535961,0.0,0.0,0,1.0,4.0,7,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,38.233842458914616,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,19,0.0,23.0,0.0,0.0,98.0,40.5516045874783,0.0,0.0,175.10459711560654,7.651971191772967,0.0,16.512946,1458984826.0,21.0,0.0,2.855436169216579,0.0,0.0,0,1.0,4.0,8,0.0,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.5516045874783,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,20,0.0,19.0,0.0,0.0,101.0,43.5476185986206,0.0,0.0,184.6817014198567,7.5055785207070524,0.0,16.512914,1458984827.0,22.0,0.0,2.7073608059484813,0.0,0.0,0,1.0,4.0,8,0.0,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.5476185986206,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,21,0.0,19.0,0.0,0.0,101.0,46.600306860846,0.0,0.0,195.1909991140772,7.944772712133228,0.0,16.512881,1458984828.0,23.0,0.0,2.56159352772092,0.0,0.0,0,1.0,4.0,8,0.0,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,46.600306860846,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,22,0.0,19.0,0.0,0.0,101.0,48.91262051577722,0.0,0.0,186.9157070043594,8.329877713023835,0.0,16.512855,1458984829.0,24.0,0.0,2.6750025881363655,0.0,0.0,0,1.0,4.0,9,0.0,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.91262051577722,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,23,0.0,21.0,0.0,0.0,103.0,51.04181009751922,0.0,0.0,181.3115152313944,7.645155391249643,0.0,16.51283,1458984830.0,25.0,0.0,2.7576847469499506,0.0,0.0,0,1.0,4.0,9,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.04181009751922,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,24,0.0,21.0,0.0,0.0,103.0,53.926617528160136,0.0,0.0,184.731690273962,7.3203135412563745,0.0,16.5128,1458984831.0,26.0,0.0,2.706628187391599,0.0,0.0,0,1.0,4.0,9,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,53.926617528160136,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,25,0.0,27.0,0.0,0.0,103.0,57.33604233337036,0.0,0.0,181.47697179970964,7.353969352625488,0.0,16.512762,1458984832.0,27.0,0.0,2.7551705047835715,0.0,0.0,0,1.0,4.0,10,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.33604233337036,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,26,0.0,27.0,0.0,0.0,103.0,60.133447797804,0.0,0.0,169.51360269121926,7.106578856088303,0.0,16.51273,1458984833.0,28.0,0.0,2.9496157952042616,0.0,0.0,0,1.0,4.0,10,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.133447797804,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,27,0.0,27.0,0.0,0.0,103.0,62.68847303969508,0.0,0.0,170.46911285173334,6.317214339069748,0.0,16.5127,1458984834.0,29.0,0.0,2.933082666036271,0.0,0.0,0,1.0,4.0,11,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.68847303969508,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,28,0.0,24.0,0.0,0.0,103.0,65.78988907354052,0.0,0.0,184.17909008930044,6.533979565536226,0.0,16.512664,1458984835.0,30.0,0.0,2.71474899652057,0.0,0.0,0,1.0,4.0,11,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,65.78988907354052,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,29,0.0,24.0,0.0,0.0,103.0,68.59203085834149,0.0,0.0,182.52901476668956,7.247093453134877,0.0,16.512633,1458984836.0,31.0,0.0,2.739290521230858,0.0,0.0,0,1.0,4.0,12,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.59203085834149,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,30,0.0,24.0,0.0,0.0,103.0,70.9097873159732,0.0,0.0,177.70189412509816,7.450112539230085,0.0,16.512605,1458984837.0,32.0,0.0,2.813701015747256,0.0,0.0,0,1.0,4.0,12,0.0,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,70.9097873159732,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,31,0.0,19.0,0.0,0.0,106.0,73.82990040395829,0.0,0.0,185.58365555061303,8.0087530182786,0.0,16.512572,1458984838.0,33.0,0.0,2.694202776190268,0.0,0.0,0,1.0,4.0,12,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,73.82990040395829,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,32,0.0,19.0,0.0,0.0,106.0,76.75697811843136,0.0,0.0,181.5310533684661,8.61665405276873,0.0,16.51254,1458984839.0,34.0,0.0,2.75434968685559,0.0,0.0,0,1.0,4.0,13,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,76.75697811843136,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,33,0.0,19.0,0.0,0.0,106.0,79.26090295449187,0.0,0.0,175.42145471438096,8.770294643811722,0.0,16.512513,1458984840.0,35.0,0.0,2.850278495376143,0.0,0.0,0,1.0,4.0,13,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,79.26090295449187,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,34,0.0,19.0,0.0,0.0,110.0,82.36377929261944,0.0,0.0,180.03356016495414,8.880399477143943,0.0,16.512478,1458984841.0,36.0,0.0,2.7772599705403787,0.0,0.0,0,1.0,4.0,13,0.0,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,82.36377929261944,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,35,0.0,19.0,0.0,0.0,110.0,85.16117979285391,0.0,0.0,177.8013897330735,9.051038680338952,0.0,16.512446,1458984842.0,37.0,0.0,2.8121265010955825,0.0,0.0,0,1.0,4.0,14,0.0,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,85.16117979285391,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,36,0.0,19.0,0.0,0.0,110.0,87.71620025666017,0.0,0.0,172.689898106974,8.481978430684523,0.0,16.512416,1458984843.0,38.0,0.0,2.8953633390313973,0.0,0.0,0,1.0,4.0,14,0.0,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,87.71620025666017,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,37,0.0,20.0,0.0,0.0,107.0,90.81761062390926,0.0,0.0,182.59247714662695,8.612781046162153,0.0,16.51238,1458984844.0,39.0,0.0,2.7383384453374044,0.0,0.0,0,1.0,4.0,14,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,90.81761062390926,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,38,0.0,20.0,0.0,0.0,107.0,93.73771964964884,0.0,0.0,177.8482443685164,8.825284696100043,0.0,16.512347,1458984845.0,40.0,0.0,2.811385638218381,0.0,0.0,0,1.0,4.0,15,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,93.73771964964884,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
