index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
0,0.0,17,0.0,0.0,136,0.0,0.0,0.0,4111.760645885606,1.6524574688975804,0.0,0.0,50.458694,14.347101,1458889110.0
1,0.0,17,0.0,0.0,136,0.21243819398049224,0.0,0.0,2400.950267242906,2.228722816909159,0.0,0.0,50.458694,14.347098,1458889111.0
2,0.0,17,0.0,0.0,136,0.6080120452783653,0.0,0.0,1419.175616206863,2.9669650164421157,0.0,0.0,50.458691,14.347095,1458889112.0
3,0.0,15,0.0,0.0,88,2.340981414271572,0.0,0.0,931.3106877628524,4.436225305971906,0.0,0.0,50.458683,14.347074,1458889116.0
4,0.0,15,0.0,0.0,88,3.061313099286045,0.0,0.0,556.0533524134001,5.701814669979055,0.0,0.0,50.458679,14.347066,1458889117.0
5,0.0,15,0.0,0.0,88,3.984115848702241,0.0,0.0,397.52644917821397,5.874685644558622,0.0,0.0,50.458673,14.347057,1458889118.0
6,0.0,17,0.0,0.0,88,6.008136675891384,0.0,0.0,319.1414413069379,6.750702765943038,0.0,0.0,50.45866,14.347037,1458889119.0
7,0.0,17,0.0,0.0,88,8.19662879286605,0.0,0.0,272.6107209912569,8.143199878119706,0.0,0.0,50.458645,14.347017,1458889120.0
8,0.0,17,0.0,0.0,88,10.17449870918031,0.0,0.0,221.90011431002625,8.376607449533434,0.0,0.0,50.45863,14.347002,1458889121.0
9,0.0,17,0.0,0.0,88,12.23189887415797,0.0,0.0,205.32816301784996,8.390524249833154,0.0,0.0,50.458615,14.346985,1458889122.0
10,0.0,19,0.0,0.0,98,15.250446232413273,0.0,0.0,200.7204119949469,8.792855756569253,0.0,0.0,50.458594,14.346958,1458889123.0
11,0.0,19,0.0,0.0,98,18.18376793492459,0.0,0.0,187.6193542719639,9.563759407947433,0.0,0.0,50.458574,14.346931,1458889124.0
12,0.0,19,0.0,0.0,98,20.651764646527695,0.0,0.0,173.40681832466228,9.471373339858424,0.0,0.0,50.458555,14.346913,1458889125.0
13,0.0,17,0.0,0.0,105,23.499350026897357,0.0,0.0,174.9954642488653,9.564923772089678,0.0,0.0,50.458534,14.34689,1458889126.0
14,0.0,17,0.0,0.0,105,26.648863697994106,0.0,0.0,177.1812689649168,10.353465721056764,0.0,0.0,50.458512,14.346862,1458889127.0
15,0.0,17,0.0,0.0,105,29.536530793123312,0.0,0.0,167.0324052641873,10.83971658607233,0.0,0.0,50.458492,14.346836,1458889128.0
16,0.0,17,0.0,0.0,105,32.2936115691014,0.0,0.0,162.80000204252258,10.530848072715827,0.0,0.0,50.458472,14.346813,1458889129.0
17,0.0,17,0.0,0.0,106,35.61892024753738,0.0,0.0,167.57490661412956,10.903258296121393,0.0,0.0,50.458448,14.346785,1458889130.0
18,0.0,17,0.0,0.0,106,38.855615190499826,0.0,0.0,161.85124064984305,11.181972629575833,0.0,0.0,50.458425,14.346757,1458889131.0
19,0.0,17,0.0,0.0,106,41.56756513434153,0.0,0.0,157.81704541874578,10.810812484470693,0.0,0.0,50.458406,14.346733,1458889132.0
20,0.0,17,0.0,0.0,107,44.98281337929529,0.0,0.0,163.2352688466174,10.71815201506557,0.0,0.0,50.458381,14.346705,1458889133.0
21,0.0,17,0.0,0.0,107,48.13473946100049,0.0,0.0,164.64646889430642,11.001472124267274,0.0,0.0,50.458358,14.346679,1458889134.0
22,0.0,17,0.0,0.0,107,50.93423793387086,0.0,0.0,158.54337632137484,10.398677297935805,0.0,0.0,50.458338,14.346655,1458889135.0
23,0.0,18,0.0,0.0,107,54.03966387850938,0.0,0.0,165.94469621906273,10.098903666999213,0.0,0.0,50.458316,14.346628,1458889136.0
24,0.0,18,0.0,0.0,107,57.33612045343845,0.0,0.0,168.9074263052599,10.196250396249606,0.0,0.0,50.458291,14.346603,1458889137.0
25,0.0,18,0.0,0.0,107,60.04807341448052,0.0,0.0,165.43469128489423,10.166092325189853,0.0,0.0,50.458272,14.346579,1458889138.0
26,0.0,18,0.0,0.0,107,62.93574646635174,0.0,0.0,163.94368783538877,9.718801963089842,0.0,0.0,50.458252,14.346553,1458889139.0
27,0.0,18,0.0,0.0,107,66.04594141385478,0.0,0.0,171.4889008950228,10.303100578641487,0.0,0.0,50.458231,14.346524,1458889140.0
28,0.0,18,0.0,0.0,107,69.28880236629416,0.0,0.0,161.76360251414962,10.540739954294793,0.0,0.0,50.458207,14.346498,1458889141.0
29,0.0,18,0.0,0.0,107,71.91432339807321,0.0,0.0,159.939807669544,10.291370254969248,0.0,0.0,50.458188,14.346476,1458889142.0
30,0.0,17,0.0,0.0,108,75.50272428244274,0.0,0.0,165.51010390161963,10.390537553249407,0.0,0.0,50.458162,14.346446,1458889143.0
31,0.0,17,0.0,0.0,108,78.56662683582996,0.0,0.0,165.94595139999515,10.769909994858798,0.0,0.0,50.458141,14.346418,1458889144.0
32,0.0,17,0.0,0.0,108,81.1507594344272,0.0,0.0,159.90579888412478,10.08476566465145,0.0,0.0,50.458122,14.346397,1458889145.0
33,0.0,18,0.0,0.0,109,84.3539484509613,0.0,0.0,171.1568144859883,9.93438529971629,0.0,0.0,50.458098,14.346372,1458889146.0
34,0.0,18,0.0,0.0,109,87.54852814515444,0.0,0.0,171.689768276745,10.27066310946677,0.0,0.0,50.458076,14.346343,1458889147.0
