index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,0.0,17.0,0.0,0.0,136.0,0.0,0.0,0.0,4111.760645885606,1.6524574688975804,0.0,0.0,50.458694,14.347101,1458889110.0,0.0,0.0,0.12160240905567307,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,0.0,17.0,0.0,0.0,136.0,0.2124381939804922,0.0,0.0,2400.950267242906,2.228722816909159,0.0,0.0,50.458694,14.347098,1458889111.0,1.0,0.0,0.20825087750533341,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.2124381939804922,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,0.0,17.0,0.0,0.0,136.0,0.6080120452783653,0.0,0.0,1419.175616206863,2.966965016442116,0.0,0.0,50.458691,14.347095,1458889112.0,2.0,0.0,0.352317214508228,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.6080120452783653,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,0.0,15.0,0.0,0.0,88.0,2.340981414271572,0.0,0.0,931.3106877628524,4.436225305971906,0.0,0.0,50.458683,14.347074,1458889116.0,6.0,0.0,0.5368777643914673,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,2.340981414271572,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,0.0,15.0,0.0,0.0,88.0,3.061313099286045,0.0,0.0,556.0533524134001,5.701814669979055,0.0,0.0,50.458679,14.347066,1458889117.0,7.0,0.0,0.8991942910331974,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.061313099286045,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,0.0,15.0,0.0,0.0,88.0,3.984115848702241,0.0,0.0,397.526449178214,5.874685644558622,0.0,0.0,50.458673,14.347057,1458889118.0,8.0,0.0,1.257777944168556,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.984115848702241,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,0.0,17.0,0.0,0.0,88.0,6.008136675891384,0.0,0.0,319.1414413069379,6.750702765943038,0.0,0.0,50.45866,14.347037,1458889119.0,9.0,0.0,1.5667034589817477,0.0,0.0,1.0,4.0,2,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,6.008136675891384,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,0.0,17.0,0.0,0.0,88.0,8.19662879286605,0.0,0.0,272.6107209912569,8.143199878119706,0.0,0.0,50.458645,14.347017,1458889120.0,10.0,0.0,1.8341171549743849,0.0,0.0,1.0,4.0,2,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,8.19662879286605,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,0.0,17.0,0.0,0.0,88.0,10.17449870918031,0.0,0.0,221.90011431002625,8.376607449533434,0.0,0.0,50.45863,14.347002,1458889121.0,11.0,0.0,2.2532660767422064,0.0,0.0,1.0,4.0,3,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.17449870918031,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,0.0,17.0,0.0,0.0,88.0,12.23189887415797,0.0,0.0,205.32816301785,8.390524249833154,0.0,0.0,50.458615,14.346985,1458889122.0,12.0,0.0,2.4351262518066408,0.0,0.0,1.0,4.0,3,0.0,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,12.23189887415797,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
