Stroke count,Interval count,Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (kg,Avg. drive force (kg,Work per stroke (J),Stroke power (W),Stroke calories (cal/hr),Projected work time,Projected work distance,Time to peak (%),Plot
1,1,0.97,1.02,1.9,2.33,37.2,24.1,0,33,413,0:00,4093 m,45,0.0 - 68.0 - 68.0 - 66.0 - 66.0 - 68.0 - 70.0 - 71.0 - 71.0 - 75.0 - 79.0 - 80.0 - 80.0 - 80.0 - 82.0 - 79.0 - 77.0 - 72.0 - 64.0 - 62.0 - 57.0 - 51.0 - 37.0 - 35.0 - 29.0 - 21.0 - 13.0 - 17.0 - 10.0 - 5.0 - 0.0 - 0.0 - 0.0
2,1,1.18,1,2.28,7.92,43,26.7,148,48,466,0:00,4645 m,50,0.0 - 11.0 - 11.0 - 11.0 - 28.0 - 28.0 - 36.0 - 36.0 - 43.0 - 43.0 - 50.0 - 50.0 - 57.0 - 57.0 - 63.0 - 63.0 - 72.0 - 72.0 - 76.0 - 76.0 - 81.0 - 81.0 - 85.0 - 88.0 - 88.0 - 90.0 - 90.0 - 92.0 - 92.0 - 93.0 - 94.0 - 94.0 - 92.0 - 92.0 - 93.0 - 89.0 - 89.0 - 94.0 - 87.0 - 87.0 - 91.0 - 91.0 - 83.0 - 81.0 - 81.0 - 70.0 - 69.0 - 57.0 - 57.0 - 55.0 - 39.0 - 39.0 - 32.0 - 26.0 - 26.0 - 19.0 - 15.0 - 15.0 - 9.0 - 5.0 - 5.0 - 0.0
3,1,1.15,0.87,2.53,9.27,34.8,23.9,202,61,509,0:00,5017 m,47,14.0 - 26.0 - 26.0 - 36.0 - 36.0 - 41.0 - 46.0 - 46.0 - 46.0 - 46.0 - 50.0 - 50.0 - 55.0 - 58.0 - 58.0 - 63.0 - 63.0 - 65.0 - 69.0 - 69.0 - 71.0 - 73.0 - 73.0 - 74.0 - 76.0 - 76.0 - 75.0 - 73.0 - 73.0 - 74.0 - 75.0 - 75.0 - 72.0 - 72.0 - 72.0 - 70.0 - 69.0 - 69.0 - 69.0 - 66.0 - 56.0 - 56.0 - 52.0 - 49.0 - 49.0 - 42.0 - 35.0 - 25.0 - 25.0 - 18.0 - 12.0 - 12.0 - 9.0
4,1,1.12,0.81,2.64,10.16,39.3,27.8,238,68,534,0:00,5208 m,33,21.0 - 36.0 - 51.0 - 51.0 - 57.0 - 57.0 - 63.0 - 70.0 - 70.0 - 76.0 - 76.0 - 78.0 - 84.0 - 84.0 - 79.0 - 86.0 - 86.0 - 82.0 - 83.0 - 83.0 - 82.0 - 79.0 - 79.0 - 78.0 - 81.0 - 81.0 - 82.0 - 78.0 - 74.0 - 74.0 - 76.0 - 78.0 - 78.0 - 77.0 - 74.0 - 66.0 - 66.0 - 64.0 - 58.0 - 51.0 - 51.0 - 43.0 - 35.0 - 24.0 - 24.0 - 19.0 - 11.0 - 7.0 - 7.0
5,1,1.12,0.81,2.76,10.7,33.5,25.4,263,73,551,0:00,5330 m,45,19.0 - 33.0 - 33.0 - 44.0 - 52.0 - 52.0 - 56.0 - 61.0 - 61.0 - 67.0 - 67.0 - 67.0 - 71.0 - 71.0 - 67.0 - 71.0 - 71.0 - 68.0 - 67.0 - 67.0 - 72.0 - 73.0 - 73.0 - 71.0 - 67.0 - 67.0 - 71.0 - 70.0 - 70.0 - 71.0 - 70.0 - 71.0 - 71.0 - 71.0 - 67.0 - 63.0 - 63.0 - 62.0 - 61.0 - 61.0 - 55.0 - 51.0 - 44.0 - 44.0 - 35.0 - 26.0 - 15.0 - 15.0 - 8.0
6,1,1.21,0.84,2.65,11.11,41.1,29,270,72,547,0:00,5302 m,46,13.0 - 31.0 - 31.0 - 40.0 - 40.0 - 53.0 - 57.0 - 57.0 - 66.0 - 66.0 - 69.0 - 69.0 - 69.0 - 76.0 - 77.0 - 77.0 - 86.0 - 83.0 - 83.0 - 89.0 - 89.0 - 89.0 - 88.0 - 90.0 - 90.0 - 89.0 - 86.0 - 86.0 - 85.0 - 83.0 - 83.0 - 83.0 - 86.0 - 85.0 - 82.0 - 82.0 - 78.0 - 78.0 - 70.0 - 70.0 - 68.0 - 64.0 - 56.0 - 56.0 - 51.0 - 38.0 - 32.0 - 23.0 - 23.0 - 16.0 - 8.0 - 0.0
7,1,1.18,0.8,2.78,11.07,43.9,29.7,288,79,573,0:00,5486 m,51,17.0 - 33.0 - 33.0 - 38.0 - 49.0 - 49.0 - 46.0 - 46.0 - 61.0 - 64.0 - 64.0 - 74.0 - 73.0 - 73.0 - 84.0 - 84.0 - 84.0 - 88.0 - 90.0 - 90.0 - 94.0 - 92.0 - 92.0 - 94.0 - 96.0 - 91.0 - 91.0 - 92.0 - 90.0 - 92.0 - 92.0 - 88.0 - 93.0 - 84.0 - 84.0 - 84.0 - 74.0 - 70.0 - 70.0 - 68.0 - 60.0 - 52.0 - 40.0 - 40.0 - 34.0 - 21.0 - 17.0 - 6.0 - 6.0
8,1,1.18,0.8,2.67,11.55,41.7,27.9,305,81,579,0:00,5524 m,40,12.0 - 27.0 - 40.0 - 40.0 - 52.0 - 52.0 - 60.0 - 66.0 - 66.0 - 73.0 - 80.0 - 80.0 - 79.0 - 88.0 - 88.0 - 83.0 - 86.0 - 86.0 - 87.0 - 91.0 - 91.0 - 90.0 - 87.0 - 87.0 - 90.0 - 87.0 - 85.0 - 85.0 - 82.0 - 80.0 - 81.0 - 81.0 - 79.0 - 75.0 - 71.0 - 71.0 - 65.0 - 57.0 - 51.0 - 51.0 - 45.0 - 34.0 - 33.0 - 23.0 - 23.0 - 21.0 - 9.0 - 5.0 - 5.0 - 0.0
9,1,1.18,0.8,2.77,11.12,44.4,29.2,289,79,573,0:00,5483 m,44,13.0 - 34.0 - 34.0 - 48.0 - 59.0 - 59.0 - 65.0 - 66.0 - 66.0 - 75.0 - 75.0 - 70.0 - 78.0 - 78.0 - 80.0 - 87.0 - 87.0 - 88.0 - 93.0 - 93.0 - 97.0 - 93.0 - 97.0 - 97.0 - 97.0 - 92.0 - 89.0 - 89.0 - 86.0 - 83.0 - 82.0 - 82.0 - 79.0 - 74.0 - 73.0 - 73.0 - 69.0 - 63.0 - 54.0 - 54.0 - 49.0 - 40.0 - 36.0 - 24.0 - 24.0 - 22.0 - 14.0 - 12.0
10,1,1.18,0.8,3.05,11.48,39.4,28.8,301,80,576,0:00,5503 m,50,28.0 - 48.0 - 48.0 - 62.0 - 60.0 - 60.0 - 68.0 - 68.0 - 69.0 - 75.0 - 75.0 - 72.0 - 78.0 - 78.0 - 74.0 - 80.0 - 80.0 - 80.0 - 79.0 - 79.0 - 82.0 - 84.0 - 84.0 - 84.0 - 86.0 - 82.0 - 82.0 - 80.0 - 78.0 - 82.0 - 82.0 - 76.0 - 81.0 - 77.0 - 77.0 - 74.0 - 67.0 - 62.0 - 57.0 - 57.0 - 52.0 - 46.0 - 36.0 - 36.0 - 30.0 - 23.0 - 17.0 - 10.0 - 10.0 - 0.0
