index,index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), Stroke500mPace (sec/500m), Power (watts), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, ElapsedTime (sec), latitude, longitude,GPS Speed,catch,slip,finish,wash,driveenergy,peakforceangle, DriveLength (meters), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,1625679208.999,0.0,0.0,94.0,300.0,,0.0,,,,,463464,0.0,52.2455808,6.8084423,0.0,,,,,,,0.0,0.0,1.6666666666666667,,,1.0,4.0,0,94.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,1625679209.726,3.29,32.5,95.0,132.275,331.7,3.3,890.0,940.0,81.1560579287895,139.7412897743367,463464,0.7269999980926514,52.2455755,6.8084898,3.78,-57.0,3.0,47.0,12.0,612.3692307692307,-11.0,0.0,0.0,3.78000378000378,361.0,621.6,1.0,4.0,0,95.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.29,0.0,0.0,0.0,0.0,0.0,331.7,124.30000000000001,169.5,203.4,237.3,271.2
2,2,1625679211.917,12.68,28.5,96.0,119.047,270.9,9.4,1050.0,1100.0,68.00472998188039,135.40247559698037,463464,2.9179999828338623,52.245559,6.8086249,4.2,-60.0,5.0,46.0,12.0,570.3157894736842,-17.0,0.0,0.0,4.2000218401135685,302.5,602.3000000000001,1.0,4.0,1,96.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,12.68,0.0,0.0,0.0,0.0,270.9,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,1625679213.984,20.67,28.5,99.0,116.55,273.7,8.0,950.0,1150.0,73.31022296559074,129.51247914896297,463464,4.984999895095825,52.2455444,6.8087397,4.29,-59.0,4.0,48.0,12.0,576.2105263157895,-24.0,0.0,0.0,4.2900042900042905,326.1,576.1,1.0,4.0,2,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.67,0.0,0.0,0.0,0.0,0.0,273.7,124.30000000000001,169.5,203.4,237.3,271.2
4,4,1625679216.125,30.52,27.5,101.0,116.009,257.5,9.8,970.0,1190.0,70.52259105889546,128.90549478218253,463464,7.125999927520752,52.2455257,6.8088809,4.31,-60.0,4.0,47.0,12.0,561.8181818181819,-26.0,0.0,0.0,4.310010430225241,313.69999999999993,573.4,1.0,4.0,3,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,30.52,0.0,0.0,0.0,0.0,257.5,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,1625679218.14,39.14,27.5,102.0,117.924,267.4,8.6,940.0,1220.0,75.62575592034565,129.51247914896297,463464,9.141000032424929,52.2455098,6.8090047,4.24,-60.0,4.0,48.0,12.0,583.4181818181818,-25.0,0.0,0.0,4.240018995285099,336.3999999999999,576.1,1.0,4.0,4,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,39.14,0.0,0.0,0.0,0.0,267.4,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,1625679220.324,48.29,27.5,102.0,120.192,266.3,9.1,940.0,1230.0,75.19861877335204,129.10782290444266,463464,11.324999809265137,52.2454922,6.8091358,4.16,-61.0,4.0,48.0,12.0,581.0181818181818,-12.0,0.0,0.0,4.160010649627263,334.5,574.3,1.0,4.0,5,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.29,0.0,0.0,0.0,0.0,266.3,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,1625679222.523,57.31,27.5,103.0,119.331,267.0,9.0,960.0,1240.0,75.85056494507914,129.19774651433607,463464,13.5239999294281,52.2454745,6.809265,4.19,-61.0,4.0,49.0,13.0,582.5454545454545,-17.0,0.0,0.0,4.190026061962105,337.3999999999999,574.7,1.0,4.0,6,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.31,0.0,0.0,0.0,0.0,267.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,1625679224.742,66.43,26.5,106.0,120.192,250.6,9.1,990.0,1270.0,70.50011015642212,129.19774651433607,463464,15.743000030517578,52.2454574,6.8093959,4.16,-60.0,4.0,48.0,13.0,567.3962264150944,-19.0,0.0,0.0,4.160010649627263,313.6,574.7,1.0,4.0,7,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.43,0.0,0.0,0.0,0.0,250.6,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,1625679227.125,76.09,26.5,107.0,122.249,260.1,9.7,1030.0,1170.0,70.76988098610231,132.61484369028508,463464,18.125999927520752,52.2454381,6.809534,4.09,-60.0,4.0,49.0,14.0,588.9056603773586,-20.0,0.0,0.0,4.09001300624136,314.8,589.9,1.0,4.0,8,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,76.09,0.0,0.0,0.0,0.0,260.1,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,10,1625679229.117,83.86,27.5,110.0,123.456,266.8,7.8,980.0,1250.0,74.9063670411985,132.36755376307826,463464,20.118000030517575,52.2454237,6.8096456,4.05,-61.0,3.0,46.0,9.0,582.1090909090909,-15.0,0.0,0.0,4.050025920165889,333.2,588.8,1.0,4.0,9,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,83.86,0.0,0.0,0.0,0.0,266.8,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,11,1625679231.515,94.41,27.5,114.0,120.772,259.9,10.5,960.0,1200.0,72.90556672107046,127.48919792636156,463464,22.516000032424927,52.245406,6.8097976,4.14,-61.0,5.0,48.0,14.0,567.0545454545454,-32.0,0.0,0.0,4.14003245785447,324.3,567.1,1.0,4.0,10,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,94.41,0.0,0.0,0.0,0.0,259.9,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,12,1625679232.875,100.65,27.5,119.0,120.772,259.9,6.2,960.0,1200.0,72.90556672107046,127.48919792636156,463464,23.875999927520752,52.2453951,6.8098875,4.14,-61.0,5.0,48.0,14.0,567.0545454545454,-32.0,0.0,0.0,4.14003245785447,324.3,567.1,1.0,4.0,10,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,100.65,0.0,0.0,0.0,0.0,259.9,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,13,1625679233.523,102.97,27.0,119.0,120.192,270.3,2.3,940.0,1230.0,77.28934270337349,132.61484369028508,463464,24.5239999294281,52.2453914,6.8099209,4.16,-61.0,4.0,48.0,13.0,600.6666666666666,-27.0,0.0,0.0,4.160010649627263,343.80000000000007,589.9,1.0,4.0,11,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,102.97,0.0,0.0,0.0,0.0,270.3,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,1625679235.726,112.09,27.5,126.0,121.654,267.6,9.1,980.0,1230.0,74.59163440657161,136.41411620828106,463464,26.72699999809265,52.2453756,6.8100522,4.11,-61.0,3.0,45.0,10.0,583.8545454545455,-28.0,0.0,0.0,4.110016933269765,331.8,606.8,1.0,4.0,12,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,112.09,0.0,0.0,0.0,0.0,267.6,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,1625679237.984,120.6,27.5,132.0,120.481,264.0,8.5,990.0,1200.0,72.45594867160348,134.18850686341952,463464,28.984999895095825,52.2453624,6.8101752,4.15,-61.0,4.0,46.0,11.0,576.0,-22.0,0.0,0.0,4.150031955246056,322.3,596.9,1.0,4.0,13,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,120.6,0.0,0.0,0.0,0.0,264.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,1625679239.0,125.31,27.5,134.0,120.481,264.0,4.7,990.0,1200.0,72.45594867160348,134.18850686341952,463464,30.000999927520752,52.2453548,6.8102432,4.15,-61.0,4.0,46.0,11.0,576.0,-22.0,0.0,0.0,4.150031955246056,322.3,596.9,1.0,4.0,13,134.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,125.31,0.0,0.0,0.0,0.0,264.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,1625679240.125,130.34,27.5,135.0,118.203,245.1,5.0,1050.0,1120.0,65.014769952925,118.09218069250171,463464,31.125999927520752,52.2453474,6.810316,4.23,-60.0,2.0,45.0,11.0,534.7636363636364,-1.0,0.0,0.0,4.230011082629036,289.20000000000005,525.3,1.0,4.0,14,135.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,130.34,0.0,0.0,0.0,0.0,245.1,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,18,1625679242.324,139.59,27.5,139.0,119.904,262.0,9.3,1000.0,1210.0,72.54587228149687,127.37679341399482,463464,33.32499980926514,52.2453321,6.8104494,4.17,-61.0,4.0,47.0,12.0,571.6363636363636,-28.0,0.0,0.0,4.1700026688017084,322.7,566.6,1.0,4.0,15,139.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,139.59,0.0,0.0,0.0,0.0,262.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,19,1625679244.527,148.62,26.5,142.0,121.951,254.1,9.0,1060.0,1130.0,66.38610500379927,124.5666806048262,463464,35.52799987792969,52.2453162,6.8105793,4.1,-61.0,4.0,47.0,11.0,575.3207547169811,-18.0,0.0,0.0,4.100007380013285,295.3,554.1,1.0,4.0,16,142.0,142.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,148.62,0.0,0.0,0.0,0.0,254.1,0.0,124.30000000000001,169.5,203.4,237.3,271.2
