Date,Piece,Distance,Split,Watts,Stroke Rate,Drag Factor,Stroke Length,Potential Split,,,,,,
2021-04-26 06:37:32 -07:00,15',3521.3,2:07.8,167.7,20,106,142,2:07.5,,,,,,
,,,,,,,,,,,,,,
Stroke #,Time,Distance,Split,Watts,Stroke Rate,Drag Factor,Stroke Length,HR,Work (J),Peak Drive Force (N),Average Drive Force (N),Drive Time,Recovery Time,Distance per Stroke
1,0:01.4,2.9,4:12.5,21.7,,108,103,70,,241.1,172.6,1.3,1.75,2.6
2,0:04.7,10.5,3:32.0,36.8,19,108,136,73,119.4,252.7,175.3,1.33,2.08,7.6
3,0:08.0,19.1,3:16.5,46.1,18,107,133,77,155.4,241.1,166.4,1.12,1.99,8.5
4,0:11.2,27.8,3:03.0,57.1,19,107,130,78,183.1,307.8,215.7,1.01,2.1,8.7
5,0:14.4,37.3,2:50.5,70.6,19,107,130,79,230.1,318.5,222.9,0.95,2.09,9.5
6,0:17.6,47.2,2:44.2,79.1,19,107,136,80,255.3,333.2,228.6,0.95,2.03,9.8
7,0:20.8,57,2:39.9,85.5,19,107,136,79,271,350.1,227.3,0.93,2.13,9.8
8,0:23.9,66.8,2:38.9,87.2,19,106,118,79,272.4,466.6,280.7,0.78,2.03,9.8
9,0:26.8,76.3,2:36.1,92.1,20,106,115,78,275.8,386.1,239.8,0.76,1.93,9.5
10,0:29.9,86,2:37.5,89.5,20,106,136,77,272.9,382.1,243.8,0.9,2.1,9.6
11,0:33.0,96.1,2:35.1,93.7,19,106,133,77,297.8,407.5,270.9,0.87,2.09,10.2
12,0:36.1,106.5,2:31.8,100,19,106,136,78,317.7,371.9,251.8,0.88,2.17,10.4
13,0:39.2,116.6,2:33.2,97.3,20,106,112,78,301.1,439.9,283.8,0.72,2.03,10
14,0:42.3,126.6,2:33.0,97.6,20,106,133,81,301.4,408.8,277.1,0.86,2.08,10
15,0:45.4,137,2:29.7,104.4,19,107,133,83,329.1,409.7,282.9,0.84,2.08,10.5
16,0:48.5,147.6,2:28.1,107.8,19,107,133,84,339.1,414.6,283.8,0.84,2.03,10.6
17,0:51.5,158,2:26.7,110.9,20,107,133,85,340.9,441.7,297.1,0.83,2.02,10.4
18,0:54.6,168.6,2:24.6,115.9,20,107,133,87,353.7,467.5,304.7,0.82,2.03,10.5
19,0:57.6,179.3,2:22.8,120.2,20,107,139,88,369.7,500.9,316.3,0.83,1.91,10.7
20,1:00.5,189.6,2:20.1,127.2,21,107,133,88,373.9,446.2,295.4,0.8,1.97,10.4
21,1:03.4,200,2:21.6,123.2,20,107,130,90,365.6,436.4,296.3,0.78,2.05,10.4
22,1:06.5,210.7,2:23.0,119.7,20,107,133,93,368.6,457.7,312.3,0.81,2.06,10.7
23,1:09.5,221.5,2:22.1,122.1,20,107,133,95,375.7,464.4,308.7,0.81,2.05,10.8
24,1:12.6,232.3,2:21.4,123.8,20,107,136,97,379.5,477.7,323.4,0.79,2.04,10.8
25,1:15.6,243.1,2:20.6,126,20,107,136,99,386.5,473.7,314.5,0.8,2.07,10.8
26,1:18.7,254.1,2:20.7,125.6,19,107,139,101,391.1,509.8,330.1,0.81,2.08,11
27,1:21.8,265.1,2:19.2,129.8,20,107,133,102,399.6,497.8,341.2,0.77,2.09,11
28,1:24.9,276.3,2:19.0,130.4,19,107,139,102,408.5,480.9,311.8,0.81,1.97,11.2
29,1:27.8,287,2:19.6,128.7,20,107,136,102,384.2,481.3,316.3,0.79,1.97,10.6
30,1:40.2,307.9,3:02.5,57.5,55,107,145,102,62.8,554.7,385.2,1.08,1.7,3
31,1:42.9,316.8,2:34.8,94.3,22,107,139,101,262.2,506.2,340.3,0.88,2.04,8.9
32,1:46.0,327.6,2:22.1,122,20,107,136,100,373.3,482.2,320.3,0.8,2,10.7
33,1:48.9,338.2,2:20.3,126.7,20,107,133,100,380.2,522.2,345.2,0.77,2,10.6
34,1:51.9,349.1,2:17.7,134.1,20,106,136,100,402.6,576,366.5,0.77,2.21,10.8
35,1:55.0,360.2,2:17.2,135.6,20,106,115,101,419,547.1,353.6,0.65,2.21,11.2
36,1:57.8,370.3,2:18.7,131.1,21,107,136,103,370,476.4,315.8,0.78,1.95,10.1
37,2:00.7,381.1,2:17.9,133.6,20,107,139,104,396.7,510.7,343.8,0.79,2.01,10.7
38,2:03.7,392,2:15.7,140,20,107,139,104,423.2,552,350.5,0.78,2.08,11.1
39,2:06.7,403.3,2:15.6,140.4,20,107,136,105,431.5,525.3,343.8,0.77,2.03,11.2
40,2:09.7,414.5,2:15.9,139.4,20,107,142,105,426.5,563.6,359.9,0.8,2.06,11.2
41,2:12.8,425.8,2:14.2,144.8,20,107,139,105,443.4,533.8,344.7,0.78,2.1,11.3
