index,Stroke #,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts), Cadence (stokes/min), DragFactor, DriveLength (meters), HRCur (bpm),Work (J), PeakDriveForce (lbs), AverageDriveForce (lbs), DriveTime (ms), StrokeRecoveryTime (ms), StrokeDistance (meters), ElapsedTime (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1,1619444253.4,2.9,252.5,21.7,,108.0,1.03,70.0,,54.20145586324417,38.802037669000185,1300.0,1750.0,2.6,1.4,1.9801980198019802,172.6,241.1,0,1.0,4.0,,70.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,2.9,21.7,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,2,1619444256.7,10.5,212.0,36.8,19.0,108.0,1.36,73.0,119.4,56.809240550152644,39.40902203578061,1330.0,2080.0,7.6,4.7,2.358490566037736,175.3,252.7,0,1.0,4.0,116.21052631578948,73.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.5,36.8,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,3,1619444260.0,19.1,196.5,46.1,18.0,107.0,1.33,77.0,155.4,54.20145586324417,37.40822171565255,1120.0,1990.0,8.5,8.0,2.544529262086514,166.4,241.1,0,1.0,4.0,153.66666666666666,77.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,19.1,46.1,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,4,1619444263.2,27.8,183.0,57.1,19.0,107.0,1.3,78.0,183.1,69.19621781296789,48.49130663501355,1010.0,2100.0,8.7,11.2,2.73224043715847,215.7,307.8,0,1.0,4.0,180.31578947368422,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.8,57.1,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,5,1619444266.4,37.3,170.5,70.6,19.0,107.0,1.3,79.0,230.1,71.60167437761622,50.10993161309467,950.0,2090.0,9.5,14.4,2.932551319648094,222.89999999999998,318.5,0,1.0,4.0,222.94736842105263,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,37.3,70.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,6,1619444269.6,47.2,164.2,79.1,19.0,107.0,1.36,80.0,255.3,74.9063670411985,51.39134305407556,950.0,2029.9999999999998,9.8,17.6,3.0450669914738127,228.6,333.2,0,1.0,4.0,249.78947368421052,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,47.2,79.1,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,7,1619444272.8,57.0,159.9,85.5,19.0,107.0,1.36,79.0,271.0,78.70563955919447,51.09909132192203,930.0,2130.0,9.8,20.8,3.1269543464665417,227.3,350.1,0,1.0,4.0,270.0,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.0,85.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,8,1619444275.9,66.8,158.9,87.2,19.0,106.0,1.18,79.0,272.4,104.89589094064593,63.10389324269033,780.0,2029.9999999999998,9.8,23.9,3.146633102580239,280.7,466.6,0,1.0,4.0,275.36842105263156,79.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.8,87.2,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,9,1619444278.8,76.3,156.1,92.1,20.0,106.0,1.15,78.0,275.8,86.79876444960007,53.90920413109064,760.0,1930.0,9.5,26.8,3.2030749519538757,239.8,386.1,0,1.0,4.0,276.3,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,76.3,92.1,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,10,1619444281.9,86.0,157.5,89.5,20.0,106.0,1.36,77.0,272.9,85.89952835066612,54.808440230024594,900.0,2100.0,9.6,29.9,3.1746031746031744,243.8,382.1,0,1.0,4.0,268.5,77.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,86.0,89.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,11,1619444285.0,96.1,155.1,93.7,19.0,106.0,1.33,77.0,297.8,91.60967757889672,60.900764800302134,870.0,2090.0,10.2,33.0,3.2237266279819474,270.9,407.5,0,1.0,4.0,295.89473684210526,77.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,96.1,93.7,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,12,1619444288.1,106.5,151.8,100.0,19.0,106.0,1.36,78.0,317.7,83.60647629838452,56.60691242789251,880.0,2170.0,10.4,36.1,3.2938076416337285,251.8,371.9,0,1.0,4.0,315.7894736842105,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,106.5,100.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,13,1619444291.2,116.6,153.2,97.3,20.0,106.0,1.12,78.0,301.1,98.89348998026176,63.80080121936415,720.0,2029.9999999999998,10.0,39.2,3.2637075718015667,283.8,439.9,0,1.0,4.0,291.9,78.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,116.6,97.3,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,14,1619444294.3,126.6,153.0,97.6,20.0,106.0,1.33,81.0,301.4,91.90192931105027,62.294580753649775,860.0,2080.0,10.0,42.3,3.2679738562091503,277.1,408.8,0,1.0,4.0,292.8,81.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,126.6,97.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,15,1619444297.4,137.0,149.7,104.4,19.0,107.0,1.33,83.0,329.1,92.1042574333104,63.598473097104005,840.0,2080.0,10.5,45.4,3.3400133600534403,282.9,409.7,0,1.0,4.0,329.6842105263158,83.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,137.0,104.4,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,16,1619444300.5,147.6,148.1,107.8,19.0,107.0,1.33,84.0,339.1,93.2058216545045,63.80080121936415,840.0,2029.9999999999998,10.6,48.5,3.37609723160027,283.8,414.6,0,1.0,4.0,340.42105263157896,84.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,147.6,107.8,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,17,1619444303.5,158.0,146.7,110.9,20.0,107.0,1.33,85.0,340.9,99.29814622478204,66.79076124831955,830.0,2020.0,10.4,51.5,3.408316291751875,297.1,441.7,0,1.0,4.0,332.7,85.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,158.0,110.9,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,18,1619444306.6,168.6,144.6,115.9,20.0,107.0,1.33,87.0,353.7,105.09821906290605,68.49930983629406,820.0,2029.9999999999998,10.5,54.6,3.4578146611341634,304.7,467.5,0,1.0,4.0,347.7,87.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,168.6,115.9,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,19,1619444309.6,179.3,142.8,120.2,20.0,107.0,1.39,88.0,369.7,112.60684048900458,71.10709452320255,830.0,1910.0,10.7,57.6,3.501400560224089,316.30000000000007,500.9,0,1.0,4.0,360.6,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,179.3,120.2,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,20,1619444312.5,189.6,140.1,127.2,21.0,107.0,1.33,88.0,373.9,100.30978683608275,66.40858590627262,800.0,1970.0,10.4,60.5,3.5688793718772307,295.4,446.20000000000005,0,1.0,4.0,363.42857142857144,88.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,189.6,0.0,127.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,21,1619444315.4,200.0,141.6,123.2,20.0,107.0,1.3,90.0,365.6,98.10665839369454,66.61091402853276,780.0,2050.0,10.4,63.4,3.531073446327684,296.3,436.4,0,1.0,4.0,369.6,90.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,200.0,123.2,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,22,1619444318.5,210.7,143.0,119.7,20.0,107.0,1.33,93.0,368.6,102.89509062051786,70.20785842426858,810.0,2060.0,10.7,66.5,3.4965034965034967,312.3,457.7,0,1.0,4.0,359.1,93.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,210.7,119.7,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,23,1619444321.5,221.5,142.1,122.1,20.0,107.0,1.33,95.0,375.7,104.40131108623224,69.39854593522801,810.0,2050.0,10.8,69.5,3.518648838845883,308.7,464.4,0,1.0,4.0,366.3,95.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,221.5,122.1,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,24,1619444324.6,232.3,141.4,123.8,20.0,107.0,1.36,97.0,379.5,107.39127111518765,72.7032385988103,790.0,2040.0,10.8,72.6,3.536067892503536,323.4,477.7,0,1.0,4.0,371.4,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,232.3,123.8,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
