Workout UUID: c0df472c-d531-49a6-bf8c-af58572e9fb5
Mon Jan 21 2019 12:47:40 GMT-0500 (EST)
Time [seconds],smo2 [%],hgb [g/dL],altitude [meters],speed [meters/sec],latitude [degrees],longitude [degrees],distance [meters],heartRate [bpm]
0,70.2,13.27,33.770,0.250,42.3579267646,-71.0665838700,0.000,75.000
1,70.2,13.27,33.770,0.250,42.3579267646,-71.0665838700,0.000,76.000
2,70.1,13.27,33.770,0.250,42.3579267646,-71.0665838700,0.000,77.000
3,70.0,13.27,33.770,0.250,42.3579267646,-71.0665838700,0.000,77.000
4,70.0,13.26,33.770,0.250,42.3579267646,-71.0665838700,0.000,77.000
5,69.9,13.26,33.770,0.250,42.3579267646,-71.0665838700,0.000,77.000
6,69.9,13.26,33.770,0.250,42.3579267646,-71.0665838700,0.000,76.000
7,69.9,13.26,33.770,0.250,42.3579267646,-71.0665838700,0.000,75.000
8,69.9,13.25,33.770,0.250,42.3579267646,-71.0665838700,0.000,74.000
9,69.9,13.25,33.770,0.250,42.3579267646,-71.0665838700,0.000,73.000
10,69.9,13.24,33.770,0.250,42.3579267646,-71.0665838700,0.000,73.000
11,69.9,13.24,33.770,0.250,42.3579267646,-71.0665838700,0.000,73.000
12,69.9,13.23,33.770,0.250,42.3579267646,-71.0665838700,0.000,74.000
13,69.9,13.23,33.770,0.250,42.3579267646,-71.0665838700,0.000,75.000
14,69.9,13.23,33.770,0.250,42.3579267646,-71.0665838700,0.000,78.000
15,69.9,13.23,33.770,0.250,42.3579267646,-71.0665838700,0.000,79.000
16,69.9,13.23,33.770,0.250,42.3579267646,-71.0665838700,0.000,80.000
17,69.9,13.22,33.770,0.250,42.3579267646,-71.0665838700,0.000,81.000
18,69.9,13.22,33.770,0.250,42.3579267646,-71.0665838700,0.000,83.000
19,69.9,13.22,33.770,0.250,42.3579267646,-71.0665838700,0.000,85.000
20,70.0,13.22,33.770,0.250,42.3579267646,-71.0665838700,0.000,87.000
21,69.9,13.22,33.770,0.250,42.3579267646,-71.0665838700,0.000,88.000
22,69.9,13.22,33.770,0.250,42.3579267646,-71.0665838700,0.000,89.000
23,69.9,13.21,33.770,0.250,42.3579267646,-71.0665838700,0.000,88.000
24,69.9,13.21,33.770,0.250,42.3579267646,-71.0665838700,0.000,82.000
25,69.9,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,76.000
26,69.9,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,75.000
27,69.9,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,74.000
28,69.9,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,72.000
29,69.9,13.19,33.770,0.250,42.3579267646,-71.0665838700,0.000,70.000
30,69.9,13.19,33.770,0.250,42.3579267646,-71.0665838700,0.000,70.000
31,69.9,13.19,33.770,0.250,42.3579267646,-71.0665838700,0.000,71.000
32,69.9,13.19,33.770,0.250,42.3579267646,-71.0665838700,0.000,72.000
33,69.8,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,80.000
34,69.9,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,81.000
35,69.9,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,84.000
36,69.8,13.20,33.770,0.250,42.3579267646,-71.0665838700,0.000,85.000
37,69.7,13.18,33.770,0.250,42.3579267646,-71.0665838700,0.000,87.000
38,69.6,13.18,33.770,0.250,42.3579267646,-71.0665838700,0.000,88.000
39,69.6,13.17,33.770,0.250,42.3579267646,-71.0665838700,0.000,89.000
40,69.6,13.16,33.770,0.250,42.3579267646,-71.0665838700,0.000,90.000
41,69.5,13.15,33.770,0.250,42.3579267646,-71.0665838700,0.000,92.000
42,69.5,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,93.000
43,69.5,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,95.000
44,69.4,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,96.000
45,69.4,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,96.000
46,69.3,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,96.000
47,69.3,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,96.000
48,69.2,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,94.000
49,69.1,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,94.000
50,69.0,13.13,33.770,0.250,42.3579267646,-71.0665838700,0.000,93.000
51,69.0,13.13,33.770,0.250,42.3579267646,-71.0665838700,0.000,91.000
52,68.8,13.13,33.770,0.250,42.3579267646,-71.0665838700,0.000,89.000
53,68.8,13.12,33.770,0.250,42.3579267646,-71.0665838700,0.000,87.000
54,68.6,13.12,33.770,0.250,42.3579267646,-71.0665838700,0.000,87.000
55,68.5,13.12,33.770,0.250,42.3579267646,-71.0665838700,0.000,86.000
56,68.5,13.12,33.770,0.250,42.3579267646,-71.0665838700,0.000,86.000
57,68.5,13.13,33.770,0.250,42.3579267646,-71.0665838700,0.000,85.000
58,68.4,13.13,33.770,0.250,42.3579267646,-71.0665838700,0.000,85.000
59,68.3,13.14,33.770,0.250,42.3579267646,-71.0665838700,0.000,86.000
60,68.3,13.15,33.770,0.250,42.3579267646,-71.0665838700,0.000,86.000
