index,TimeStamp (sec), latitude, longitude,Altitude, Horizontal (meters), Stroke500mPace (sec/500m), HRCur (bpm), Power (watts), Cadence (stokes/min), ElapsedTime (sec),cumdist, DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1496572053.0,49.2671,16.4541,229.0,0.0,,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,1.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1496572054.0,49.2671,16.4541,229.0,0.0,,86.0,0.0,,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,1.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1496572055.0,49.2671,16.4541,229.0,3.0,148.7603305785124,87.0,106.0,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.361111111111111,0.0,0.0,0.0,0,1.0,4.0,inf,87.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.0,106.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1496572056.0,49.2671,16.4541,229.0,7.0,148.7603305785124,89.0,106.0,0.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,3.361111111111111,0.0,0.0,0.0,0,1.0,4.0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,7.0,106.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1496572057.0,49.2671,16.4541,229.0,10.0,148.7603305785124,89.0,106.0,0.0,4.0,10,0.0,0.0,0.0,0.0,0.0,0.0,3.361111111111111,0.0,0.0,0.0,0,1.0,4.0,inf,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,106.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1496572058.0,49.267,16.4541,229.0,14.0,138.46153846153845,91.0,133.0,21.0,5.0,14,0.0,0.0,0.0,0.0,0.0,0.0,3.611111111111111,0.0,0.0,0.0,0,1.0,4.0,380.0,91.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,14.0,0.0,133.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1496572059.0,49.267,16.4541,229.0,17.0,138.46153846153845,94.0,133.0,21.0,6.0,17,0.0,0.0,0.0,0.0,0.0,0.0,3.611111111111111,0.0,0.0,0.0,0,1.0,4.0,380.0,94.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,17.0,0.0,133.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1496572060.0,49.267,16.4542,229.0,21.0,138.46153846153845,96.0,133.0,21.0,7.0,21,0.0,0.0,0.0,0.0,0.0,0.0,3.611111111111111,0.0,0.0,0.0,0,1.0,4.0,380.0,96.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,21.0,0.0,133.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1496572061.0,49.267,16.4542,229.0,24.0,139.53488372093022,98.0,129.0,22.0,8.0,24,0.0,0.0,0.0,0.0,0.0,0.0,3.5833333333333335,0.0,0.0,0.0,0,1.0,4.0,351.8181818181818,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,24.0,0.0,129.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1496572062.0,49.267,16.4542,229.0,28.0,139.53488372093022,100.0,129.0,22.0,9.0,28,0.0,0.0,0.0,0.0,0.0,0.0,3.5833333333333335,0.0,0.0,0.0,0,1.0,4.0,351.8181818181818,100.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,28.0,0.0,129.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
