,id,timestamp,sessionId,sessionIntervalId,type,elapsedTime,latitude,longitude,gpsInstaSpeed,impellerInstaSpeed,gpsTotalDistance,impellerTotalDistance,heartRate,strokeCount,strokeRate,totalCaloriesBurned,caloriesPerHour,caloriesPerStroke,gpsDistStroke,impellerDistStroke,gpsPace,impellerPace,sessionStrokeIndex,oarlockStrokes,id,sessionStrokeId,oarlockSessionId,catchAngle,cycleTime,driveTime,effectiveLength,finishAngle,handleForceAvg,maxHandleForce,positionOfMaxForce,power,realWorkPerStroke,slip,ts,totalLength,wash
0,338951,1617103135492,469,622,0,350492,52.2236513,6.8539648,3.31,0,1137.95,0,140,110,17.5,0,0,0,11.1,0,151057,0,253,"[{'id': 7972, 'sessionStrokeId': 338951, 'oarlockSessionId': 69, 'catchAngle': -62, 'cycleTime': 3340, 'driveTime': 1170, 'effectiveLength': 87, 'finishAngle': 48, 'handleForceAvg': 273.7, 'maxHandleForce': 518.8, 'positionOfMaxForce': -21, 'power': 148.3, 'realWorkPerStroke': 495.5, 'slip': 8, 'timestamp': 1617103135492, 'totalLength': 110, 'wash': 15, 'seatIndex': 1}]",7972.0,338951.0,69.0,-62.0,3340.0,1170.0,87.0,48.0,273.7,518.8,-21.0,148.3,495.5,8.0,1617103135492.0,110.0,15.0
1,338952,1617103138898,469,622,0,353898,52.2235832,6.8540789,3.32,0,1148.81,0,140,111,17.5,0,0,0,10.9,0,150602,0,255,"[{'id': 7973, 'sessionStrokeId': 338952, 'oarlockSessionId': 69, 'catchAngle': -63, 'cycleTime': 3570, 'driveTime': 1320, 'effectiveLength': 90, 'finishAngle': 46, 'handleForceAvg': 241.4, 'maxHandleForce': 503.4, 'positionOfMaxForce': -19, 'power': 137.6, 'realWorkPerStroke': 491.2, 'slip': 8, 'timestamp': 1617103138898, 'totalLength': 109, 'wash': 11, 'seatIndex': 1}]",7973.0,338952.0,69.0,-63.0,3570.0,1320.0,90.0,46.0,241.4,503.4,-19.0,137.6,491.2,8.0,1617103138898.0,109.0,11.0
2,338953,1617103142496,469,622,0,357496,52.2235107,6.8541996,3.22,0,1160.34,0,139,112,17.5,0,0,0,11.5,0,155279,0,257,"[{'id': 7974, 'sessionStrokeId': 338953, 'oarlockSessionId': 69, 'catchAngle': -63, 'cycleTime': 3450, 'driveTime': 1280, 'effectiveLength': 88, 'finishAngle': 47, 'handleForceAvg': 252.1, 'maxHandleForce': 496.9, 'positionOfMaxForce': -21, 'power': 142.4, 'realWorkPerStroke': 491.5, 'slip': 7, 'timestamp': 1617103142496, 'totalLength': 110, 'wash': 15, 'seatIndex': 1}]",7974.0,338953.0,69.0,-63.0,3450.0,1280.0,88.0,47.0,252.1,496.9,-21.0,142.4,491.5,7.0,1617103142496.0,110.0,15.0
3,338955,1617103145710,469,622,0,360710,52.2234443,6.8543054,3.2,0,1170.67,0,139,113,17.5,0,0,0,2.3,0,156250,0,260,"[{'id': 7975, 'sessionStrokeId': 338955, 'oarlockSessionId': 69, 'catchAngle': -63, 'cycleTime': 3360, 'driveTime': 1260, 'effectiveLength': 91, 'finishAngle': 48, 'handleForceAvg': 259.2, 'maxHandleForce': 522.7, 'positionOfMaxForce': -21, 'power': 152.4, 'realWorkPerStroke': 512.3, 'slip': 7, 'timestamp': 1617103145710, 'totalLength': 111, 'wash': 13, 'seatIndex': 1}]",7975.0,338955.0,69.0,-63.0,3360.0,1260.0,91.0,48.0,259.2,522.7,-21.0,152.4,512.3,7.0,1617103145710.0,111.0,13.0
4,338956,1617103149292,469,622,0,364292,52.2233696,6.8544229,3.22,0,1182.22,0,139,114,17.5,0,0,0,11.5,0,155279,0,262,"[{'id': 7976, 'sessionStrokeId': 338956, 'oarlockSessionId': 69, 'catchAngle': -62, 'cycleTime': 3430, 'driveTime': 1250, 'effectiveLength': 90, 'finishAngle': 47, 'handleForceAvg': 262, 'maxHandleForce': 503.7, 'positionOfMaxForce': -18, 'power': 146.3, 'realWorkPerStroke': 502, 'slip': 7, 'timestamp': 1617103149292, 'totalLength': 109, 'wash': 12, 'seatIndex': 1}]",7976.0,338956.0,69.0,-62.0,3430.0,1250.0,90.0,47.0,262.0,503.7,-18.0,146.3,502.0,7.0,1617103149292.0,109.0,12.0
5,338957,1617103152710,469,622,0,367710,52.2232986,6.8545346,3.21,0,1193.19,0,140,115,17.5,0,0,0,11.0,0,155763,0,264,"[{'id': 7977, 'sessionStrokeId': 338957, 'oarlockSessionId': 69, 'catchAngle': -62, 'cycleTime': 3420, 'driveTime': 1200, 'effectiveLength': 88, 'finishAngle': 47, 'handleForceAvg': 265.3, 'maxHandleForce': 507.8, 'positionOfMaxForce': -17, 'power': 142.9, 'realWorkPerStroke': 489, 'slip': 8, 'timestamp': 1617103152710, 'totalLength': 109, 'wash': 13, 'seatIndex': 1}]",7977.0,338957.0,69.0,-62.0,3420.0,1200.0,88.0,47.0,265.3,507.8,-17.0,142.9,489.0,8.0,1617103152710.0,109.0,13.0
6,338959,1617103156125,469,622,0,371125,52.2232301,6.8546431,3.2,0,1203.82,0,139,116,17.0,0,0,0,3.8,0,156250,0,267,"[{'id': 7978, 'sessionStrokeId': 338959, 'oarlockSessionId': 69, 'catchAngle': -62, 'cycleTime': 3600, 'driveTime': 1300, 'effectiveLength': 87, 'finishAngle': 46, 'handleForceAvg': 238, 'maxHandleForce': 502.1, 'positionOfMaxForce': -21, 'power': 132.8, 'realWorkPerStroke': 478.1, 'slip': 7, 'timestamp': 1617103156125, 'totalLength': 108, 'wash': 14, 'seatIndex': 1}]",7978.0,338959.0,69.0,-62.0,3600.0,1300.0,87.0,46.0,238.0,502.1,-21.0,132.8,478.1,7.0,1617103156125.0,108.0,14.0
7,338960,1617103159691,469,622,0,374691,52.2231523,6.8547645,3.25,0,1215.8,0,138,117,17.5,0,0,0,12.0,0,153846,0,269,"[{'id': 7979, 'sessionStrokeId': 338960, 'oarlockSessionId': 69, 'catchAngle': -63, 'cycleTime': 3530, 'driveTime': 1320, 'effectiveLength': 89, 'finishAngle': 45, 'handleForceAvg': 224.1, 'maxHandleForce': 437, 'positionOfMaxForce': -5, 'power': 125.5, 'realWorkPerStroke': 443.2, 'slip': 8, 'timestamp': 1617103159691, 'totalLength': 108, 'wash': 11, 'seatIndex': 1}]",7979.0,338960.0,69.0,-63.0,3530.0,1320.0,89.0,45.0,224.1,437.0,-5.0,125.5,443.2,8.0,1617103159691.0,108.0,11.0
8,338961,1617103163093,469,622,0,378093,52.2230825,6.8548739,3.25,0,1226.57,0,138,118,17.5,0,0,0,10.8,0,153846,0,271,"[{'id': 7980, 'sessionStrokeId': 338961, 'oarlockSessionId': 69, 'catchAngle': -62, 'cycleTime': 3420, 'driveTime': 1320, 'effectiveLength': 89, 'finishAngle': 46, 'handleForceAvg': 237, 'maxHandleForce': 493.8, 'positionOfMaxForce': -27, 'power': 141.6, 'realWorkPerStroke': 484.2, 'slip': 7, 'timestamp': 1617103163093, 'totalLength': 108, 'wash': 12, 'seatIndex': 1}]",7980.0,338961.0,69.0,-62.0,3420.0,1320.0,89.0,46.0,237.0,493.8,-27.0,141.6,484.2,7.0,1617103163093.0,108.0,12.0
9,338962,1617103166691,469,622,0,381691,52.2230082,6.8549885,3.22,0,1237.95,0,137,119,17.0,0,0,0,11.4,0,155279,0,273,"[{'id': 7981, 'sessionStrokeId': 338962, 'oarlockSessionId': 69, 'catchAngle': -61, 'cycleTime': 3360, 'driveTime': 1210, 'effectiveLength': 89, 'finishAngle': 49, 'handleForceAvg': 257.9, 'maxHandleForce': 490.3, 'positionOfMaxForce': -20, 'power': 142.1, 'realWorkPerStroke': 477.5, 'slip': 6, 'timestamp': 1617103166691, 'totalLength': 110, 'wash': 15, 'seatIndex': 1}]",7981.0,338962.0,69.0,-61.0,3360.0,1210.0,89.0,49.0,257.9,490.3,-20.0,142.1,477.5,6.0,1617103166691.0,110.0,15.0
