index,index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), Stroke500mPace (sec/500m), Power (watts), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, ElapsedTime (sec), latitude, longitude,GPS Speed,catch,slip,finish,wash,driveenergy,peakforceangle, DriveLength (meters), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1280,1617102784.999,0.0,0.0,91.0,300.0,3.6,0.0,510.0,100.0,1.1465260261407932,4.7209895194032665,622,0.0,52.2253125,6.8455583,0.0,13.0,11.0,33.0,17.0,inf,15.0,0.0,0.0,1.6666666666666667,5.1,21.0,1.0,4.0,0,91.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,185,1617102787.097,4.85,28.5,91.0,406.504,128.8,4.9,850.0,1000.0,48.28897851275342,89.31662552661514,622,2.0979998111724854,52.2253125,6.8455583,1.23,-19.0,8.0,49.0,11.0,271.15789473684214,12.0,0.0,0.0,1.2300001968000314,214.8,397.3,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,4.85,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,186,1617102789.66,11.82,25.0,92.0,204.918,116.5,7.0,920.0,1420.0,45.32149938627136,89.02437379446161,622,4.66100001335144,52.2253681,6.8455115,2.44,-32.0,10.0,46.0,11.0,279.6,2.0,0.0,0.0,2.4400003904000624,201.6,396.00000000000006,1.0,4.0,2,92.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,11.82,116.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,187,1617102792.062,18.27,25.0,94.0,190.839,116.0,6.4,880.0,1480.0,47.18741429155932,88.84452657467482,622,7.062999963760376,52.2254193,6.845467,2.62,-33.0,12.0,45.0,9.0,278.4,6.0,0.0,0.0,2.620009536834714,209.9,395.2,1.0,4.0,3,94.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,18.27,116.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,188,1617102794.464,24.8,23.5,95.0,186.567,131.8,6.5,920.0,1650.0,53.95416593603733,96.62291883045351,622,9.464999914169312,52.2254703,6.8454198,2.68,-38.0,10.0,46.0,9.0,336.5106382978724,-2.0,0.0,0.0,2.680002358402075,239.99999999999997,429.79999999999995,1.0,4.0,4,95.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,24.8,0.0,131.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,189,1617102797.257,32.52,21.5,95.0,181.818,117.5,7.7,990.0,1820.0,50.46962605266826,100.71444308060305,622,12.257999897003174,52.22553,6.8453623,2.75,-43.0,11.0,48.0,14.0,327.90697674418607,-4.0,0.0,0.0,2.75000275000275,224.5,448.0000000000001,1.0,4.0,5,95.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.52,117.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,190,1617102800.082,40.58,22.0,95.0,177.304,121.8,8.1,1070.0,1730.0,45.99592646047183,98.24154380853464,622,15.08299994468689,52.2255928,6.8453034,2.82,-42.0,8.0,44.0,11.0,332.1818181818182,-12.0,0.0,0.0,2.8200153408834545,204.6,437.0,1.0,4.0,6,95.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.58,121.8,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,191,1617102802.863,48.82,21.0,96.0,173.01,124.0,8.2,1030.0,1830.0,49.32310002652746,100.197382323716,622,17.863999843597412,52.2256569,6.8452429,2.89,-45.0,9.0,43.0,11.0,354.2857142857143,-9.0,0.0,0.0,2.890006358013988,219.4,445.7,1.0,4.0,7,96.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.82,124.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,192,1617102806.082,58.35,19.5,98.0,168.918,132.2,9.5,1280.0,2020.0,51.12157222439538,107.61608013992114,622,21.08299994468689,52.225731,6.8451729,2.96,-57.0,9.0,45.0,13.0,406.7692307692307,-16.0,0.0,0.0,2.9600161024875975,227.4,478.7,1.0,4.0,8,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,58.35,0.0,132.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,193,1617102809.667,69.57,16.5,101.0,165.016,112.5,11.2,1330.0,2310.0,47.816879560813085,101.5237555696436,622,24.667999982833862,52.2258188,6.8450922,3.03,-60.0,8.0,44.0,14.0,409.09090909090907,-19.0,0.0,0.0,3.0300092112280024,212.7,451.6,1.0,4.0,9,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,69.57,112.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,194,1617102812.882,79.85,17.5,104.0,160.256,132.2,10.3,1260.0,2040.0,51.211495834288776,99.16326080994196,622,27.88299989700317,52.2258996,6.8450191,3.12,-61.0,8.0,45.0,13.0,453.2571428571428,-11.0,0.0,0.0,3.1200079872204474,227.8,441.1,1.0,4.0,9,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,79.85,0.0,132.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,1529,1617102815.011,86.45,17.5,105.0,160.256,3.6,6.6,510.0,100.0,1.1465260261407932,4.7209895194032665,622,30.01199984550476,52.2259519,6.8449737,3.12,13.0,11.0,33.0,17.0,12.342857142857143,15.0,0.0,0.0,3.1200079872204474,5.1,21.0,1.0,4.0,10,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,86.45,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,195,1617102816.46,90.67,17.5,106.0,160.256,92.7,4.2,1290.0,2130.0,40.78035708665489,87.74296235348072,622,31.460999965667725,52.2259868,6.8449495,3.12,-60.0,7.0,42.0,26.0,317.8285714285714,-24.0,0.0,0.0,3.1200079872204474,181.4,390.3,1.0,4.0,11,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,90.67,92.7,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,1335,1617102819.214,100.2,17.5,106.0,160.256,3.6,9.5,510.0,100.0,1.1465260261407932,4.7209895194032665,622,34.21499991416931,52.2260651,6.844893,3.12,13.0,11.0,33.0,17.0,12.342857142857143,15.0,0.0,0.0,3.1200079872204474,5.1,21.0,1.0,4.0,11,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,100.2,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,196,1617102819.683,101.23,18.5,106.0,162.337,93.3,1.0,1280.0,1920.0,38.26249600963981,75.17613787087868,622,34.68400001525879,52.2260733,6.8448859,3.08,-60.0,8.0,41.0,19.0,302.5945945945946,-26.0,0.0,0.0,3.080012566451271,170.20000000000002,334.4,1.0,4.0,11,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,101.23,93.3,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
