# RitmoTime: Sat Apr 6, 2019 - 7:22:46 AM
# Full Workout
# Boating: M2x
# Duration: 1h 31m,  Strokes: 1012,  Intervals: 8
#
"Stroke Count","Time","Rate (spm)","Distance (m)","Split (/500m)","Heart Rate (bpm)","State","Piece#","Count","Piece Time","Piece Distance (m)","Total Time (sec)","Distance (m)","Speed (m/s)","Latitude (deg)","Longitude (deg)"
0,0:00:00.0,0.0,0,0:00,0,"-",0,0,0:00:00.0,0,0.0,0,0.00,0,0,
1,0:00:02.2,34.5,0,0:00,0,"-",0,0,0:00:00.0,0,2.2,0,0.00,0,0,
2,0:00:05.7,17.0,0,0:00,0,"-",0,0,0:00:00.0,0,5.7,0,0.00,0,0,
2,0:00:11.7,0.0,7,6:06,0,"-",0,0,0:00:00.0,0,11.7,7,1.37,37.80189132,-122.26105500,
2,0:00:16.6,0.0,6,0:00,0,"-",0,0,0:00:00.0,0,16.6,6,0.00,37.80187988,-122.26110077,
3,0:00:19.6,19.5,9,0:00,0,"-",0,0,0:00:00.0,0,19.6,9,0.67,37.80187988,-122.26113129,
3,0:00:25.6,0.0,9,0:00,0,"-",0,0,0:00:00.0,0,25.6,9,0.00,37.80187988,-122.26113129,
3,0:00:41.9,0.0,9,0:00,0,"-",0,0,0:00:00.0,0,41.9,9,0.00,37.80187988,-122.26116181,
4,0:00:42.9,57.0,9,0:00,0,"-",0,0,0:00:00.0,0,42.9,9,0.00,37.80187988,-122.26116181,
4,0:00:48.9,0.0,9,0:00,0,"-",0,0,0:00:00.0,0,48.9,9,0.00,37.80187606,-122.26116944,
4,0:08:06.3,0.0,39,0:00,0,"-",0,0,0:00:00.0,0,486.3,39,0.00,37.80181121,-122.26079560,
5,0:08:10.8,13.5,39,0:00,0,"-",0,0,0:00:00.0,0,490.8,39,0.00,37.80182647,-122.26080323,
6,0:08:14.5,16.0,44,6:20,0,"-",0,0,0:00:00.0,0,494.5,44,1.32,37.80177688,-122.26077271,
7,0:08:18.5,15.5,59,2:39,0,"-",0,0,0:00:00.0,0,498.5,59,3.13,37.80165100,-122.26069642,
8,0:08:22.3,15.5,69,3:08,0,"-",0,0,0:00:00.0,0,502.3,69,2.66,37.80158233,-122.26063538,
8,0:08:28.3,0.0,86,2:33,0,"-",0,0,0:00:00.0,0,508.3,86,3.25,37.80144119,-122.26055909,
8,0:09:13.5,0.0,122,0:00,0,"-",0,0,0:00:00.0,0,553.5,122,0.00,37.80116653,-122.26040650,
9,0:09:17.8,14.0,122,0:00,0,"-",0,0,0:00:00.0,0,557.8,122,0.00,37.80116653,-122.26041413,
10,0:09:21.4,16.5,127,5:29,0,"-",0,0,0:00:00.0,0,561.4,127,1.52,37.80111312,-122.26039124,
11,0:09:25.0,17.0,140,2:54,0,"-",0,0,0:00:00.0,0,565.0,140,2.87,37.80100631,-122.26033783,
12,0:09:28.5,17.0,152,2:40,0,"-",0,0,0:00:00.0,0,568.5,152,3.12,37.80090332,-122.26030732,
13,0:09:32.0,17.0,168,2:08,0,"-",0,0,0:00:00.0,0,572.0,168,3.89,37.80076980,-122.26024628,
14,0:09:35.4,17.5,182,2:05,0,"-",0,0,0:00:00.0,0,575.4,182,3.97,37.80065536,-122.26016999,
15,0:09:38.9,17.0,197,2:03,0,"-",0,0,0:00:00.0,0,578.9,197,4.04,37.80053329,-122.26009369,
16,0:09:42.4,17.5,210,2:11,0,"-",0,0,0:00:00.0,0,582.4,210,3.80,37.80043411,-122.26001740,
17,0:09:45.9,17.0,223,2:13,0,"-",0,0,0:00:00.0,0,585.9,223,3.75,37.80034255,-122.25992585,
18,0:09:49.5,17.0,237,2:11,0,"-",0,0,0:00:00.0,0,589.5,237,3.80,37.80025100,-122.25981904,
19,0:09:52.8,17.5,250,2:12,0,"-",0,0,0:00:00.0,0,592.8,250,3.77,37.80017471,-122.25970459,
20,0:09:56.4,17.5,259,2:58,0,"-",0,0,0:00:00.0,0,596.4,259,2.80,37.80015182,-122.25960541,
21,0:10:00.2,16.5,273,2:20,0,"-",0,0,0:00:00.0,0,600.2,273,3.55,37.80010986,-122.25945282,
22,0:10:03.7,16.5,285,2:29,0,"-",0,0,0:00:00.0,0,603.7,285,3.34,37.80007553,-122.25932313,
23,0:10:07.3,16.5,296,2:38,0,"-",0,0,0:00:00.0,0,607.3,296,3.16,37.80006408,-122.25920105,
24,0:10:10.9,17.0,310,2:14,0,"-",0,0,0:00:00.0,0,610.9,310,3.71,37.80008316,-122.25904084,
25,0:10:14.5,16.5,325,2:12,0,"-",0,0,0:00:00.0,0,614.5,325,3.79,37.80011367,-122.25888062,
26,0:10:18.1,17.0,339,2:12,0,"-",0,0,0:00:00.0,0,618.1,339,3.77,37.80017471,-122.25873566,
27,0:10:21.7,17.0,354,2:10,0,"-",0,0,0:00:00.0,0,621.7,354,3.84,37.80025100,-122.25859833,
28,0:10:25.2,17.0,368,2:07,0,"-",0,0,0:00:00.0,0,625.2,368,3.94,37.80033874,-122.25846863,
29,0:10:29.0,16.5,385,2:03,0,"-",0,0,0:00:00.0,0,629.0,385,4.06,37.80043792,-122.25833130,
30,0:10:32.7,16.0,400,2:05,0,"-",0,0,0:00:00.0,0,632.7,400,3.99,37.80054473,-122.25821686,
31,0:10:36.3,16.5,415,2:07,0,"-",0,0,0:00:00.0,0,636.3,415,3.92,37.80065155,-122.25812531,
32,0:10:39.9,16.5,428,2:12,0,"-",0,0,0:00:00.0,0,639.9,428,3.79,37.80074691,-122.25803376,
33,0:10:43.6,16.5,442,2:12,0,"-",0,0,0:00:00.0,0,643.6,442,3.79,37.80083847,-122.25793458,
34,0:10:47.2,16.5,456,2:06,0,"-",0,0,0:00:00.0,0,647.2,456,3.94,37.80093383,-122.25782013,
35,0:10:50.9,16.5,470,2:14,0,"-",0,0,0:00:00.0,0,650.9,470,3.73,37.80102920,-122.25772095,
36,0:10:54.5,16.5,482,2:17,0,"-",0,0,0:00:00.0,0,654.5,482,3.63,37.80112838,-122.25765992,
37,0:10:58.1,16.5,496,2:16,0,"-",0,0,0:00:00.0,0,658.1,496,3.67,37.80123138,-122.25757599,
38,0:11:01.7,16.5,510,2:10,0,"-",0,0,0:00:00.0,0,661.7,510,3.82,37.80133438,-122.25748444,
39,0:11:05.3,16.5,523,2:13,0,"-",0,0,0:00:00.0,0,665.3,523,3.73,37.80142211,-122.25737763,
40,0:11:08.9,16.5,538,2:09,0,"-",0,0,0:00:00.0,0,668.9,538,3.86,37.80150222,-122.25724030,
