index,Stroke Number, ElapsedTime (sec), Horizontal (meters), Cadence (stokes/min), Stroke500mPace (sec/500m), Power (watts), HRCur (bpm), PeakDriveForce (lbs), AverageDriveForce (lbs), DriveLength (meters), DriveTime (ms),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (N•s),Work Per Stroke (Joules),Force Curve Data Points (Newtons),TimeStamp (sec), StrokeDistance (meters), DragFactor, StrokeRecoveryTime (ms), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1,3.0,12.0,0.0,146.0,138.0,0.0,676.78,444.82,1.21,700.0000000000001,9.3,311.37,151,31.37 31.37 183.76 430.27 430.27 528.88 564.73 564.73 591.62 591.62 596.11 605.07 614.03 614.03 631.96 640.93 645.41 645.41 667.82 654.37 676.78 672.3 667.82 667.82 578.18 519.91 506.47 479.57 430.27 372.01 349.6 349.6 291.33 228.58 219.62 165.83 116.53 71.71 44.82 ,1712902822.111983,0.0,0.0,0.0,3.4246575342465753,1978.6572204,3010.4663316,0,1.0,4.0,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,12.0,0.0,138.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,2,6.0,22.0,23.0,137.0,132.0,0.0,631.96,427.03,1.18,640.0,51.28,273.3,141,103.09 250.99 250.99 398.9 493.02 528.88 528.88 537.84 560.25 560.25 573.7 587.14 605.07 609.55 618.52 618.52 631.96 631.96 605.07 600.59 605.07 582.66 542.32 542.32 479.57 421.31 394.42 354.08 313.74 268.92 242.03 192.73 112.05 98.6 58.27 22.41 ,1712902825.111983,0.0,0.0,0.0,3.6496350364963503,1899.5233865999999,2811.0971112,0,1.0,4.0,1,344.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,22.0,0.0,132.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,3,9.0,33.0,21.0,135.0,144.0,0.0,614.03,431.48,1.18,630.0,44.44,271.83,137,161.35 309.26 309.26 439.24 497.5 524.39 524.39 519.91 555.77 564.73 582.66 582.66 578.18 578.18 582.66 596.11 614.03 614.03 609.55 591.62 587.14 587.14 533.36 497.5 439.24 389.93 376.49 331.67 309.26 264.44 228.58 228.58 129.98 85.16 58.27 ,1712902828.111983,0.0,0.0,0.0,3.7037037037037037,1919.3179656000002,2731.3405266,0,1.0,4.0,2,411.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,33.0,0.0,144.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,4,11.0,44.0,21.0,135.0,149.0,0.0,631.96,422.58,1.21,640.0,45.71,270.45,141,98.6 98.6 242.03 407.86 493.02 493.02 533.36 528.88 542.32 573.7 573.7 578.18 582.66 587.14 582.66 600.59 627.48 631.96 614.03 596.11 596.11 587.14 555.77 506.47 448.2 412.34 380.97 345.11 318.22 259.96 259.96 246.51 170.32 125.5 89.64 49.3 ,1712902830.111983,0.0,0.0,0.0,3.7037037037037037,1879.7288076,2811.0971112,0,1.0,4.0,2,425.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,44.0,0.0,149.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,5,14.0,55.0,21.0,133.0,153.0,0.0,649.89,431.48,1.21,630.0,47.22,271.83,145,112.05 112.05 237.55 403.38 488.54 488.54 533.36 546.8 564.73 564.73 569.21 587.14 587.14 614.03 623.0 631.96 640.93 649.89 645.41 627.48 614.03 605.07 569.21 528.88 457.16 434.75 394.42 345.11 327.19 268.92 237.55 201.69 129.98 76.19 17.93 ,1712902833.111983,0.0,0.0,0.0,3.7593984962406015,1919.3179656000002,2890.8536958,0,1.0,4.0,3,437.14285714285717,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,55.0,0.0,153.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,6,17.0,66.0,21.0,132.0,158.0,0.0,672.3,475.96,1.18,600.0,48.57,285.57,150,197.21 372.01 372.01 506.47 573.7 605.07 587.14 587.14 631.96 649.89 649.89 658.85 658.85 658.85 649.89 667.82 663.34 658.85 636.44 627.48 618.52 573.7 528.88 506.47 434.75 385.45 340.63 322.7 264.44 250.99 174.8 143.42 76.19 ,1712902836.111983,0.0,0.0,0.0,3.787878787878788,2117.1747912,2990.538306,0,1.0,4.0,5,451.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.0,0.0,158.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,7,20.0,77.0,21.0,130.0,162.0,0.0,676.78,475.96,1.21,620.0,45.45,295.09,151,138.94 295.81 295.81 430.27 515.43 551.29 551.29 587.14 631.96 627.48 645.41 654.37 654.37 658.85 658.85 672.3 658.85 667.82 649.89 654.37 640.93 614.03 569.21 560.25 461.65 425.79 398.9 389.93 318.22 304.78 264.44 219.62 121.01 85.16 ,1712902839.111983,0.0,0.0,0.0,3.8461538461538463,2117.1747912,3010.4663316,0,1.0,4.0,6,462.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,77.0,0.0,162.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,8,23.0,89.0,20.0,129.0,169.0,0.0,649.89,462.61,1.18,600.0,44.12,277.57,145,170.32 318.22 318.22 443.72 510.95 533.36 546.8 573.7 591.62 600.59 609.55 609.55 623.0 627.48 640.93 640.93 649.89 636.44 649.89 631.96 627.48 587.14 546.8 497.5 457.16 389.93 385.45 331.67 309.26 268.92 219.62 170.32 67.23 ,1712902842.111983,0.0,0.0,0.0,3.875968992248062,2057.7910542,2890.8536958,0,1.0,4.0,7,507.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,89.0,0.0,169.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,9,26.0,100.0,21.0,128.0,169.0,0.0,654.37,449.27,1.21,620.0,48.48,278.55,146,143.42 143.42 304.78 430.27 519.91 542.32 564.73 564.73 591.62 591.62 591.62 600.59 609.55 609.55 627.48 636.44 631.96 654.37 640.93 623.0 609.55 591.62 560.25 515.43 448.2 394.42 385.45 313.74 309.26 268.92 246.51 201.69 112.05 44.82 ,1712902845.111983,0.0,0.0,0.0,3.90625,1998.4517994,2910.7817214,0,1.0,4.0,8,482.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,100.0,0.0,169.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,10,29.0,111.0,21.0,128.0,169.0,0.0,658.85,458.16,1.21,620.0,50.0,284.06,147,98.6 98.6 242.03 398.9 506.47 551.29 551.29 582.66 596.11 618.52 596.11 596.11 631.96 636.44 658.85 631.96 640.93 640.93 645.41 631.96 609.55 605.07 573.7 524.39 448.2 430.27 430.27 340.63 327.19 327.19 255.47 197.21 112.05 76.19 ,1712902848.111983,0.0,0.0,0.0,3.90625,2037.9964752,2930.7097470000003,0,1.0,4.0,9,482.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,111.0,0.0,169.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
