index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
0,0.0,-1,0.0,0.0,0.0,14445.0,112,0.0,0.0,0.0,474.389860756,-68.7266272088,0.0,0.0,42.356375,-71.115917,1445082399.0
1,0.0,-1,0.0,0.0,0.0,14446.0,113,1.78157443798,0.0,0.0,306.260975538,-69.9598556255,0.0,0.0,42.356391,-71.115916,1445082400.0
2,0.0,-1,0.0,0.0,0.0,14447.0,114,3.89653907832,0.0,0.0,266.236452548,-79.1840008819,0.0,0.0,42.35641,-71.115915,1445082401.0
3,0.0,18,0.0,0.0,0.0,14448.0,114,7.18917971266,0.0,0.0,230.402516127,-47.1261513864,0.0,0.0,42.356438,-71.115928,1445082402.0
4,0.0,18,0.0,0.0,0.0,14449.0,115,9.41984207221,0.0,0.0,231.365235714,-33.1759593408,0.0,0.0,42.356458,-71.115926,1445082403.0
5,0.0,18,0.0,0.0,0.0,14450.0,115,13.2540414678,0.0,0.0,211.894875086,-25.0196964148,0.0,0.0,42.356485,-71.115955,1445082404.0
6,0.0,16,0.0,0.0,0.0,14451.0,115,14.8134268936,0.0,0.0,227.004561603,-18.4998082277,0.0,0.0,42.356499,-71.115954,1445082405.0
7,0.0,16,0.0,0.0,0.0,14452.0,116,17.4702547668,0.0,0.0,220.07040384,-14.1937445452,0.0,0.0,42.356515,-71.115978,1445082406.0
8,0.0,16,0.0,0.0,0.0,14453.0,116,19.130367109,0.0,0.0,227.42477062,-10.6987071022,0.0,0.0,42.356529,-71.115985,1445082407.0
9,0.0,16,0.0,0.0,0.0,14454.0,118,20.8911995569,0.0,0.0,227.923530261,-7.8452804111,0.0,0.0,42.356543,-71.115995,1445082408.0
10,0.0,17,0.0,0.0,0.0,14455.0,118,22.9871505129,0.0,0.0,225.535734328,-5.55196740267,0.0,0.0,42.35656,-71.116006,1445082409.0
11,0.0,17,0.0,0.0,0.0,14456.0,119,25.388464807,0.0,0.0,222.563309201,-3.7879469919,0.0,0.0,42.35658,-71.116017,1445082410.0
12,0.0,17,0.0,0.0,0.0,14457.0,119,27.4502923537,0.0,0.0,223.62643538,-2.3409385353,0.0,0.0,42.356597,-71.116027,1445082411.0
13,0.0,18,0.0,0.0,0.0,14458.0,119,29.2006490478,0.0,0.0,224.813777477,-0.873158703006,0.0,0.0,42.35661,-71.116039,1445082412.0
14,0.0,18,0.0,0.0,0.0,14459.0,120,31.9424906348,0.0,0.0,217.892956064,0.299774655943,0.0,0.0,42.356633,-71.116051,1445082413.0
15,0.0,18,0.0,0.0,0.0,14460.0,120,34.984307723,0.0,0.0,214.718124248,1.08783895308,0.0,0.0,42.356658,-71.116066,1445082414.0
16,0.0,18,0.0,0.0,0.0,14461.0,121,37.2829588156,0.0,0.0,217.916848374,1.96015256398,0.0,0.0,42.356677,-71.116077,1445082415.0
17,0.0,18,0.0,0.0,0.0,14462.0,121,40.0530765529,0.0,0.0,215.289644354,2.49400188213,0.0,0.0,42.356701,-71.116086,1445082416.0
18,0.0,13,0.0,0.0,0.0,14463.0,121,42.0878040253,0.0,0.0,219.212536192,3.21652372295,0.0,0.0,42.356717,-71.116098,1445082417.0
