index,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts),Cals, Cadence (stokes/min), HRCur (bpm),DutyCycle,Rowfile_Id, lapIdx, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1483307406.947,2.75441360474,174.033358693,66.4003753662,0.14128036797,0.0,0.0,0.333333343267,917293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873012414143054,0.0,0.0,0.0,1.0,4.0,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,2.75441360474,66.4003753662,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1483307412.811,16.84034729,174.32439327249998,66.0683670044,0.860420703888,12.0,0.0,0.333333343267,917293,0.0,5.864000082015991,0.0,0.0,0.0,0.0,0.0,0.0,2.8682159198363664,0.0,0.0,0.0,1.0,4.0,1,330.341835022,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,16.84034729,66.0683670044,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1483307416.814,29.7668190002,155.665501952,92.7878112793,1.54741978645,15.0,0.0,0.333333343267,917293,0.0,9.866999864578247,0.0,0.0,0.0,0.0,0.0,0.0,3.212015467333133,0.0,0.0,0.0,1.0,4.0,2,371.1512451172,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.7668190002,92.7878112793,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1483307420.514,42.8133239746,141.721814871,122.958320618,2.27177834511,16.0,0.0,0.333333343267,917293,0.0,13.566999912261963,0.0,0.0,0.0,0.0,0.0,0.0,3.52803836484254,0.0,0.0,0.0,1.0,4.0,3,461.0937023175,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.8133239746,122.958320618,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1483307423.917,55.073184967,138.7657523155,130.98487854,2.9667236805,18.0,0.0,0.333333343267,917293,0.0,16.97000002861023,0.0,0.0,0.0,0.0,0.0,0.0,3.6031945322012313,0.0,0.0,0.0,1.0,4.0,4,436.6162618000001,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,55.073184967,0.0,130.98487854,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1483307427.416,68.0632095337,134.9790990355,142.320831299,3.72015857697,17.0,0.0,0.333333343267,917293,0.0,20.4689998626709,0.0,0.0,0.0,0.0,0.0,0.0,3.704277207158555,0.0,0.0,0.0,1.0,4.0,5,502.3088163494117,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.0632095337,0.0,142.320831299,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1483307430.928,81.3406677246,131.9727152585,152.270431519,4.50327777863,17.0,0.0,0.333333343267,917293,0.0,23.98099994659424,0.0,0.0,0.0,0.0,0.0,0.0,3.78866191409816,0.0,0.0,0.0,1.0,4.0,6,537.42505242,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,81.3406677246,0.0,152.270431519,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1483307434.607,95.332611084,131.7717134955,152.968307495,5.33622598648,17.0,0.0,0.333333343267,917293,0.0,27.66000008583069,0.0,0.0,0.0,0.0,0.0,0.0,3.7944410582251025,0.0,0.0,0.0,1.0,4.0,7,539.8881441000001,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,95.332611084,0.0,152.968307495,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1483307438.1,108.603729248,131.08056783700002,155.400741577,6.12900972366,17.0,0.0,0.333333343267,917293,0.0,31.152999877929688,0.0,0.0,0.0,0.0,0.0,0.0,3.814447925048318,0.0,0.0,0.0,1.0,4.0,8,548.4732055658823,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,108.603729248,0.0,155.400741577,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1483307441.713,122.45236969,130.552083254,157.295623779,6.96345281601,17.0,0.0,0.333333343267,917293,0.0,34.76600003242493,0.0,0.0,0.0,0.0,0.0,0.0,3.829889095122352,0.0,0.0,0.0,1.0,4.0,9,555.161025102353,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,122.45236969,0.0,157.295623779,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
