index,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts),Cals, Cadence (stokes/min), HRCur (bpm),DutyCycle,Rowfile_Id,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17, lapIdx, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1642613581.337,2.17014408111572,313.081383705139,11.4050264358521,0.126725092530251,0.0,110.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5970288430528388,0.0,0.0,0.0,1.0,4.0,0,inf,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,2.17014408111572,11.4050264358521,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1642613584.932,7.51141881942749,216.57747030258201,34.4530944824219,0.387380838394165,27.0,110.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,3.5950000286102295,0.0,0.0,0.0,0.0,0.0,0.0,2.30864271939942,0.0,0.0,0.0,1.0,4.0,1,76.56243218315979,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,7.51141881942749,34.4530944824219,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1642613587.062,13.8807716369629,167.9019778966905,73.943603515625,0.695513248443604,27.0,109.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,5.7250001430511475,0.0,0.0,0.0,0.0,0.0,0.0,2.9779279926508564,0.0,0.0,0.0,1.0,4.0,2,164.31911892361111,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,13.880771636962898,73.943603515625,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1642613589.335,23.0051116943359,124.041736125946,183.385299682617,1.17594683170319,27.0,109.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,7.998000144958496,0.0,0.0,0.0,0.0,0.0,0.0,4.030901337049363,0.0,0.0,0.0,1.0,4.0,3,407.5228881835933,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.0051116943359,0.0,0.0,183.385299682617,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1642613591.791,31.2144641876221,150.319129228592,103.044609069824,1.61606228351593,25.0,109.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,10.453999996185303,0.0,0.0,0.0,0.0,0.0,0.0,3.3262566285868003,0.0,0.0,0.0,1.0,4.0,4,247.3070617675776,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,31.2144641876221,103.044609069824,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1642613594.198,39.3442192077637,147.657707333565,108.717559814453,2.0573627948761,24.0,108.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,12.861000061035156,0.0,0.0,0.0,0.0,0.0,0.0,3.386209965122097,0.0,0.0,0.0,1.0,4.0,5,271.7938995361325,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,39.3442192077637,108.717559814453,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1642613596.65,47.5674133300781,148.8764733076095,106.069328308105,2.50471711158752,24.0,108.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,15.313000202178955,0.0,0.0,0.0,0.0,0.0,0.0,3.3584890136865138,0.0,0.0,0.0,1.0,4.0,6,265.1733207702625,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,47.5674133300781,106.069328308105,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1642613599.246,56.3014221191406,149.032026529312,105.737548828125,2.98183369636536,24.0,108.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,17.909000158309937,0.0,0.0,0.0,0.0,0.0,0.0,3.3549835672512898,0.0,0.0,0.0,1.0,4.0,7,264.3438720703125,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,56.3014221191406,105.737548828125,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1642613601.803,64.8916091918945,148.796498775482,106.240447998047,3.4517023563385,23.0,108.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,20.466000080108643,0.0,0.0,0.0,0.0,0.0,0.0,3.360294120592491,0.0,0.0,0.0,1.0,4.0,8,277.1489947775139,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,64.8916091918945,106.240447998047,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1642613604.412,73.787971496582,146.6833651065825,110.898445129395,3.94256639480591,23.0,107.0,0.333333343267441,2136017.0,,,,,,,,,,0.0,23.075000047683716,0.0,0.0,0.0,0.0,0.0,0.0,3.4087028180509216,0.0,0.0,0.0,1.0,4.0,9,289.3002916419,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,73.787971496582,110.898445129395,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
