index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,0.0,0.0,0.0,0.0,98.0,3.338683,0.0,153.0634,131.74445,0.0,0.0,0.0,863.0,0.0,0.0,3.795226288469837,0.0,0.0,1.0,4.0,0,inf,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,3.338683,0.0,153.0634,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,0.0,43.0,0.0,0.0,98.0,9.699512,0.0,257.8919,110.71595,0.0,0.0,0.0,2267.0,1404.0,0.0,4.516061145661488,0.0,0.0,1.0,4.0,1006,359.8491627906977,98.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,9.699512,0.0,0.0,0.0,0.0,257.8919,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,0.0,35.0,0.0,0.0,101.0,17.68869,0.0,287.3182,106.79925,0.0,0.0,0.0,3967.0,3104.0,0.0,4.681680817046936,0.0,0.0,1.0,4.0,1997,492.54548571428575,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,17.68869,0.0,0.0,0.0,0.0,0.0,287.3182,124.30000000000001,169.5,203.4,237.3,271.2
3,3,0.0,31.0,0.0,0.0,105.0,26.69126,0.0,305.0308,104.6907,0.0,0.0,0.0,5859.0,4996.0,0.0,4.775973415021582,0.0,0.0,1.0,4.0,2975,590.382193548387,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.69126,0.0,0.0,0.0,0.0,0.0,305.0308,124.30000000000001,169.5,203.4,237.3,271.2
4,4,0.0,27.0,0.0,0.0,110.0,36.86143,0.0,277.4944,108.045,0.0,0.0,0.0,8059.0,7196.0,0.0,4.627701420704336,0.0,0.0,1.0,4.0,3965,616.6542222222223,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,36.86143,0.0,0.0,0.0,0.0,0.0,277.4944,124.30000000000001,169.5,203.4,237.3,271.2
5,5,0.0,25.0,0.0,0.0,116.0,47.896370000000005,0.0,239.7697,113.43785,0.0,0.0,0.0,10554.0,9691.0,0.0,4.407699899107749,0.0,0.0,1.0,4.0,5004,575.44728,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,47.896370000000005,0.0,0.0,0.0,0.0,239.7697,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,0.0,25.0,0.0,0.0,121.0,58.43509,0.0,234.7164,114.24615,0.0,0.0,0.0,12961.0,12098.0,0.0,4.376515094819387,0.0,0.0,1.0,4.0,6007,563.31936,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,58.43509,0.0,0.0,0.0,234.7164,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,0.0,26.0,0.0,0.0,125.0,68.52561,0.0,240.9479,113.25260000000002,0.0,0.0,0.0,15254.0,14391.0,0.0,4.414909679777771,0.0,0.0,1.0,4.0,7001,556.0336153846154,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.52561,0.0,0.0,0.0,0.0,240.9479,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,0.0,25.0,0.0,0.0,129.0,78.98391,0.0,232.0831,114.6766,0.0,0.0,0.0,17653.0,16790.0,0.0,4.360087411032417,0.0,0.0,1.0,4.0,8001,556.99944,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,78.98391,0.0,0.0,0.0,232.0831,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,0.0,25.0,0.0,0.0,132.0,89.50284,0.0,233.8488,114.38725,0.0,0.0,0.0,20057.0,19194.0,0.0,4.371116536152412,0.0,0.0,1.0,4.0,9002,561.23712,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,89.50284,0.0,0.0,0.0,233.8488,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
