Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
1, , , , , , , , ,82
2,3,7,221.0, , , , , ,82
3,6,16,198.1, , , , , ,84
4,9,25,210.6, , , , , ,85
5,13,36,227.3,67,65.4, ,176,19.1,87
6,16,45,240.5,67,67.7,173,175,17.8,89
7,19,54,233.4,77,68.2,165,173,19.1,91
8,22,63,241.3,71,69.2,170,172,18.1,92
9,25,72,240.4,76,69.2,166,171,18.9,93
10,29,84,242.7,77,71.1,165,170,19.2,94
11,32,93,266.7,80,72.5,163,170,19.6,95
12,34,101,264.4,86,72.5,159,169,19.2,96
13,37,110,263.2,94,74.3,154,167,21.4,96
14,40,119,241.3,88,75.3,158,167,20.0,97
15,43,129,244.9,80,75.7,163,167,19.8,98
16,46,138,267.8,84,76.1,160,166,20.5,99
17,49,147,246.0,89,77.4,157,165,19.9,99
18,52,157,271.4,83,78.2,161,165,20.2,99
19,55,167,270.8,92,79.0,156,164,20.2,99
20,58,176,291.0,94,79.9,154,164,20.9,101
21,61,186,280.5,99,80.7,152,164,20.3,102
22,64,196,272.8,94,81.1,154,163,20.0,103
23,67,205,262.4,91,81.5,156,162,20.0,104
24,70,215,274.6,89,81.5,157,162,20.4,104
25,73,224,280.1,95,82.0,154,162,20.8,105
26,76,234,283.3,97,83.1,153,162,20.6,106
27,79,244,265.5,97,83.5,153,161,20.6,106
28,82,253,266.9,92,83.7,156,161,20.6,107
29,85,263,260.2,90,83.8,157,161,20.2,107
30,87,270,262.0,88,83.8,158,161,20.2,108
31,90,279,272.8,90,84.0,157,160,20.6,108
32,93,289,264.7,92,84.6,156,160,20.3,109
33,95,299,288.7,91,84.9,156,160,20.6,109
34,99,308,272.2,99,85.1,152,160,20.4,110
35,102,318,265.8,89,85.2,157,160,19.5,110
36,105,327,289.5,90,85.2,157,160,20.3,110
37,108,337,302.4,93,85.5,155,160,19.3,111
38,112,349,278.0,100,86.0,151,160,19.8,112
39,115,359,262.3,88,85.9,158,159,19.0,112
40,118,368,275.0,85,86.0,160,160,19.4,113
41,121,378,312.1,91,86.5,156,159,19.9,114
42,124,388,292.3,102,86.7,150,159,19.6,114
43,127,398,290.7,95,86.9,154,159,19.5,113
44,130,408,283.2,95,86.9,154,159,19.6,114
45,133,417,275.0,93,87.0,155,159,19.8,114
46,136,427,283.3,92,87.3,156,159,20.1,114
47,139,437,287.1,95,87.5,154,159,20.2,114
48,142,446,275.7,97,87.6,153,159,20.2,115
49,145,456,295.8,93,87.8,155,159,20.1,115
50,148,466,289.5,98,87.8,152,159,19.9,115
51,151,475,261.4,93,88.0,155,159,19.2,115
52,154,485,286.2,90,88.2,157,158,20.6,115
53,157,495,277.1,99,88.3,152,158,20.6,115
54,160,504,283.0,94,88.4,154,158,20.2,115
55,163,514,297.2,96,88.6,153,158,20.2,115
56,166,524,293.9,98,88.7,152,158,19.8,115
57,169,533,261.9,96,88.7,153,158,19.5,116
58,172,543,280.7,87,88.7,159,158,20.0,116
59,175,553,272.5,91,88.8,156,158,19.5,116
60,178,562,286.3,92,88.9,156,158,20.2,116
61,181,572,277.3,94,89.0,154,158,19.8,117
62,184,582,295.0,95,89.1,154,157,20.4,117
63,187,592,292.6,99,89.3,152,157,20.2,117
64,190,601,283.3,97,89.4,153,157,19.8,117
65,193,611,284.6,93,89.4,155,157,19.7,118
66,196,621,294.3,95,89.6,154,157,20.0,118
67,199,631,287.5,100,89.7,151,157,20.4,118
68,202,640,283.3,96,89.8,153,157,20.1,119
69,205,650,292.3,95,89.9,154,157,20.1,119
70,208,660,291.1,97,90.0,153,157,19.8,119
71,211,670,285.9,97,90.0,153,157,20.0,119
72,214,679,282.8,93,90.1,155,157,19.5,119
73,217,689,292.2,96,90.2,153,157,20.4,119
74,219,699,294.2,97,90.3,153,157,20.0,120
75,223,709,273.1,99,90.4,152,157,20.2,120
76,226,718,269.5,91,90.3,156,157,20.0,120
77,229,728,281.9,89,90.4,157,157,19.8,121
78,232,737,293.5,96,90.4,153,157,20.3,121
79,235,747,283.9,97,90.5,153,157,19.7,121
80,238,757,285.9,93,90.6,155,157,19.6,108
81,298,774,262.3,98,89.1,152,157,20.4,107
82,301,782,201.2,98,89.1,152,157,20.4,107
83,304,791,256.5,78,88.8,164,158,23.1,100
84,307,801,296.6,93,89.1,155,158,21.6,100
85,309,809,289.5,120,89.1,142,157,24.2,102
86,312,819,296.3,111,89.5,146,157,22.9,103
87,315,828,300.7,111,89.8,146,157,22.3,105
88,317,837,323.7,116,90.1,144,157,23.1,106
89,320,846,299.7,122,90.3,142,157,22.6,106
90,323,856,292.3,108,90.5,147,157,21.6,107
